Date,Handymax Bulkcarrier 63.5k dwt (Ultramax) 5 Year Old (Eco) Secondhand Prices $m [SIN 542021]
2019-01-01,22.5
2019-02-01,22.5
2019-03-01,22.5
2019-04-01,22.5
2019-05-01,22.5
2019-06-01,22.5
2019-07-01,22.5
2019-08-01,22
2019-09-01,22
2019-10-01,22
2019-11-01,22
2019-12-01,22
2020-01-01,21
2020-02-01,20
2020-03-01,20
2020-04-01,20
2020-05-01,19
2020-06-01,19
2020-07-01,18
2020-08-01,18
2020-09-01,18
2020-10-01,17.75
2020-11-01,17.75
2020-12-01,17.75
2021-01-01,20
2021-02-01,20.5
2021-03-01,22.5
2021-04-01,22.5
2021-05-01,24
2021-06-01,26.5
2021-07-01,28.5
2021-08-01,30
2021-09-01,31
2021-10-01,31.5
2021-11-01,30
2021-12-01,30
2022-01-01,30.5
2022-02-01,32.5
2022-03-01,33
2022-04-01,34
2022-05-01,34
2022-06-01,34.5
2022-07-01,33
2022-08-01,31.5
2022-09-01,30
2022-10-01,30
2022-11-01,27.5
2022-12-01,28
2023-01-01,28.5
2023-02-01,28.5
2023-03-01,31.5
2023-04-01,32
2023-05-01,31
2023-06-01,29.5
2023-07-01,29.5
2023-08-01,27.5
2023-09-01,28.5
2023-10-01,29.5
2023-11-01,30
2023-12-01,30.5
2024-01-01,31
2024-02-01,34
2024-03-01,34
2024-04-01,35.5
2024-05-01,36.25
2024-06-01,36.75
2024-07-01,36.75
2024-08-01,36.25
2024-09-01,35.75
2024-10-01,35.75
2024-11-01,33
2024-12-01,32.5
2025-01-01,30.5
2025-02-01,30.5
2025-03-01,31.5
2025-04-01,31
2025-05-01,30.5
2025-06-01,30.5
2025-07-01,31
2025-08-01,31.75
2025-09-01,31.75
2025-10-01,32
2025-11-01,32
2025-12-01,32
2026-01-01,33
2026-02-01,35
2026-03-01,37
2026-04-01,37
2026-05-01,38
2026-06-01,38
2026-07-01,38.5
2026-08-01,38.5
2026-09-01,39
