Date,Suezmax Tanker D/H 160K dwt 5 Year Old (Eco) Secondhand Prices $m [SIN 87302]
1981-01-01,19
1981-02-01,19
1981-03-01,18.5
1981-04-01,18
1981-05-01,15
1981-06-01,13
1981-07-01,12.25
1981-08-01,11.5
1981-09-01,10.75
1981-10-01,10.5
1981-11-01,10.5
1981-12-01,10.5
1982-01-01,10
1982-02-01,10
1982-03-01,10
1982-04-01,9
1982-05-01,9
1982-06-01,8
1982-07-01,8
1982-08-01,9
1982-09-01,9.5
1982-10-01,8
1982-11-01,7
1982-12-01,7
1983-01-01,6
1983-02-01,6
1983-03-01,6
1983-04-01,8
1983-05-01,9
1983-06-01,9
1983-07-01,9.5
1983-08-01,10
1983-09-01,11
1983-10-01,11.5
1983-11-01,11.5
1983-12-01,11
1984-01-01,11.5
1984-02-01,11
1984-03-01,10
1984-04-01,11
1984-05-01,10.5
1984-06-01,10.5
1984-07-01,10
1984-08-01,11.5
1984-09-01,11.5
1984-10-01,10.5
1984-11-01,10.5
1984-12-01,10.5
1985-01-01,10
1985-02-01,9.5
1985-03-01,9
1985-04-01,8.5
1985-05-01,8.5
1985-06-01,8.5
1985-07-01,8
1985-08-01,8
1985-09-01,8.5
1985-10-01,9
1985-11-01,9.25
1985-12-01,9.25
1986-01-01,9.5
1986-02-01,9.5
1986-03-01,9
1986-04-01,10
1986-05-01,11
1986-06-01,13
1986-07-01,14
1986-08-01,15
1986-09-01,14.5
1986-10-01,17.5
1986-11-01,19
1986-12-01,20
1987-01-01,20
1987-02-01,20
1987-03-01,20
1987-04-01,20
1987-05-01,22
1987-06-01,24
1987-07-01,24
1987-08-01,24
1987-09-01,24
1987-10-01,24
1987-11-01,25
1987-12-01,25
1988-01-01,26
1988-02-01,27
1988-03-01,27
1988-04-01,28.5
1988-05-01,30
1988-06-01,32
1988-07-01,32
1988-08-01,32
1988-09-01,32
1988-10-01,33
1988-11-01,34
1988-12-01,35
1989-01-01,36
1989-02-01,37
1989-03-01,38
1989-04-01,38
1989-05-01,39
1989-06-01,39
1989-07-01,39
1989-08-01,40
1989-09-01,40
1989-10-01,40
1989-11-01,41
1989-12-01,42
1990-01-01,43
1990-02-01,44
1990-03-01,44
1990-04-01,44.5
1990-05-01,44.5
1990-06-01,44.5
1990-07-01,44
1990-08-01,42
1990-09-01,40
1990-10-01,40
1990-11-01,40
1990-12-01,39
1991-01-01,39
1991-02-01,39
1991-03-01,39
1991-04-01,39
1991-05-01,39
1991-06-01,39
1991-07-01,39
1991-08-01,39
1991-09-01,39
1991-10-01,39
1991-11-01,39
1991-12-01,40
1992-01-01,40
1992-02-01,40
1992-03-01,37.5
1992-04-01,37.5
1992-05-01,37.5
1992-06-01,37.5
