Date,Panamax Bulkcarrier (Kamsarmax) 82k dwt 5 Year Old (Eco) Secondhand Prices $m [SIN 540721]
2017-02-01,17
2017-03-01,21
2017-04-01,21
2017-05-01,21
2017-06-01,21
2017-07-01,21
2017-08-01,21.5
2017-09-01,21.5
2017-10-01,21.5
2017-11-01,21.5
2017-12-01,22.5
2018-01-01,23.5
2018-02-01,23.5
2018-03-01,23.5
2018-04-01,23.5
2018-05-01,24
2018-06-01,24
2018-07-01,24
2018-08-01,23
2018-09-01,23
2018-10-01,23
2018-11-01,23.5
2018-12-01,23.5
2019-01-01,24.5
2019-02-01,24.5
2019-03-01,24.5
2019-04-01,24.5
2019-05-01,24
2019-06-01,24
2019-07-01,24
2019-08-01,23.5
2019-09-01,23.5
2019-10-01,23.5
2019-11-01,23.5
2019-12-01,23.5
2020-01-01,23
2020-02-01,23
2020-03-01,23
2020-04-01,23
2020-05-01,22.5
2020-06-01,22.5
2020-07-01,22.5
2020-08-01,23
2020-09-01,22.5
2020-10-01,22
2020-11-01,22
2020-12-01,22
2021-01-01,24
2021-02-01,25
2021-03-01,27
2021-04-01,27
2021-05-01,28
2021-06-01,29.5
2021-07-01,30.5
2021-08-01,31.5
2021-09-01,33
2021-10-01,35
2021-11-01,32
2021-12-01,33
2022-01-01,34
2022-02-01,34.5
2022-03-01,35.5
2022-04-01,36.5
2022-05-01,38
2022-06-01,38
2022-07-01,36
2022-08-01,33
2022-09-01,31
2022-10-01,31
2022-11-01,30.5
2022-12-01,30
2023-01-01,30
2023-02-01,30
2023-03-01,32.5
2023-04-01,34
2023-05-01,33
2023-06-01,31.5
2023-07-01,31.5
2023-08-01,31.5
2023-09-01,32
2023-10-01,32
2023-11-01,33
2023-12-01,34
2024-01-01,34.5
2024-02-01,35.5
2024-03-01,37.5
2024-04-01,37
2024-05-01,38.5
2024-06-01,38.5
2024-07-01,38.5
2024-08-01,38
2024-09-01,36.5
2024-10-01,36
2024-11-01,34.5
2024-12-01,34
2025-01-01,33
2025-02-01,32
2025-03-01,32.5
2025-04-01,32.5
2025-05-01,31.5
2025-06-01,30.5
2025-07-01,32
2025-08-01,32
2025-09-01,32.5
2025-10-01,32.5
2025-11-01,33
2025-12-01,33
2026-01-01,34
2026-02-01,36
2026-03-01,37.5
2026-04-01,37.5
2026-05-01,38.5
2026-06-01,40
2026-07-01,40
2026-08-01,41
2026-09-01,42
