Date,Products Tanker 47-51K DWT (MR) NB Prices $m [71267],Handymax 61-64.5k dwt (Ultramax) NB Prices $m [23357],Suezmax Tanker 156-158K dwt NB Prices $m [53070],Aframax Tanker 113-115K dwt NB Prices $m [35905],Panamax 82-84k dwt (Kamsarmax) NB Prices $m [70747]
1976-01-01,18,,,20,
1976-02-01,18,,,20,
1976-03-01,18,,,20,
1976-04-01,15,,,20,
1976-05-01,15,,,20,
1976-06-01,15,,,20,
1976-07-01,15,,,20,
1976-08-01,15,,,20,
1976-09-01,15,,,20,
1976-10-01,15,,,18,
1976-11-01,15,,,18,
1976-12-01,15,,,18,
1977-01-01,14.5,,,17.5,
1977-02-01,14.5,,,17.5,
1977-03-01,14.5,,,18.25,
1977-04-01,14.5,,,18,
1977-05-01,14.5,,,18,
1977-06-01,15,,,19,
1977-07-01,15,,,19,
1977-08-01,15,,,19,
1977-09-01,13,,,17.8,
1977-10-01,13,,,18,
1977-11-01,12,,,17.4,
1977-12-01,12,,,17.4,
1978-01-01,12,,,16,
1978-02-01,11,,,16,
1978-03-01,11,,,18,
1978-04-01,11,,,18,
1978-05-01,11,,,18,
1978-06-01,12,,,19.25,
1978-07-01,13,,,19.25,
1978-08-01,14,,,19.25,
1978-09-01,18,,,20,
1978-10-01,18,,,18.5,
1978-11-01,17,,,18.5,
1978-12-01,17,,,18.5,
1979-01-01,17,,,21,
1979-02-01,17,,,21,
1979-03-01,18.5,,,24,
1979-04-01,18.5,,,24,
1979-05-01,19.5,,,25,
1979-06-01,19.5,,,26.5,
1979-07-01,19.5,,,26.5,
1979-08-01,21,,,28,
1979-09-01,22,,,28,
1979-10-01,25,,,28,
1979-11-01,25,,,27,
1979-12-01,25,,,30,
1980-01-01,25,,,30,
1980-02-01,25,,,30,
1980-03-01,25,,,30,
1980-04-01,25,,,32,
1980-05-01,26,,,32,
1980-06-01,26,,,34,
1980-07-01,26,,,34,
1980-08-01,26,,,34,
1980-09-01,26,,,34,
1980-10-01,26,,,34,
1980-11-01,26,,,34,
1980-12-01,26,,,34,
1981-01-01,26,,50,36,
1981-02-01,26,,50,36,
1981-03-01,26,,50,36,
1981-04-01,26,,50,36,
1981-05-01,25,,47.5,34,
1981-06-01,25,,45,34,
1981-07-01,25,,45,34,
1981-08-01,25,,45,34,
1981-09-01,25,,45,34,
1981-10-01,25,,45,34,
1981-11-01,25,,45,34,
1981-12-01,23.75,,43.5,32,
1982-01-01,23.75,,43.5,32,
1982-02-01,22.75,,43.5,31,
1982-03-01,22.75,,43.5,31,
1982-04-01,22.75,,43.5,31,
1982-05-01,22.75,,43.5,31,
1982-06-01,22,,41,30,
1982-07-01,22,,41,30,
1982-08-01,22,,38,28,
1982-09-01,20,,38,28,
1982-10-01,18,,36,26,
1982-11-01,18,,36,26.5,
1982-12-01,18,,36,26,
1983-01-01,18,,32,23,
1983-02-01,17.5,,32,23,
1983-03-01,17.5,,32,23,
1983-04-01,18,,36.5,26,
1983-05-01,18,,36.5,26,
1983-06-01,18,,36.5,26,
1983-07-01,18,,36.5,26,
1983-08-01,18,,36.5,26,
1983-09-01,16.75,,36.5,26,
1983-10-01,16.75,,34,25,
1983-11-01,16.75,,34,25,
1983-12-01,16.75,,34,25,
1984-01-01,16.75,,34,25,
1984-02-01,16,,34,25,
1984-03-01,15.5,,32,25,
1984-04-01,15.5,,30,23.5,
1984-05-01,15,,30,23,
1984-06-01,15,,30,23,
1984-07-01,15,,30,23,
1984-08-01,14.5,,29,22,
1984-09-01,14.5,,29,22,
1984-10-01,14.5,,28,21.5,
1984-11-01,14.5,,28,21.5,
1984-12-01,14.25,,27,21,
1985-01-01,14.25,,27,21,
1985-02-01,14,,26,20.5,
1985-03-01,14,,26,20,
1985-04-01,14,,26,20,
1985-05-01,13.5,,25,19,
1985-06-01,13,,23,18,
1985-07-01,13,,23,18,
1985-08-01,13,,28,18,
1985-09-01,13,,28,18,
1985-10-01,13,,28,18,
1985-11-01,13,,28,18,
1985-12-01,13,,28,18,
1986-01-01,13,11.5,28,18,
1986-02-01,13,11.5,28,18,
1986-03-01,13,11.5,28,19,
1986-04-01,13.5,13,28.5,19,
1986-05-01,13.5,13,28.5,20,
1986-06-01,13.5,14,28.5,21,
1986-07-01,13.5,14,29,22,
1986-08-01,14,14,29,23,
1986-09-01,14,15,29,23,
1986-10-01,14,14.5,29.5,23,
1986-11-01,14,14.5,29.5,23,
1986-12-01,14.5,14.5,30,22,
1987-01-01,14.5,14.5,30,22,
1987-02-01,14.5,15,30,22,
1987-03-01,14.5,15,31,23,
1987-04-01,14.5,15,31,24,
1987-05-01,14.5,15,31,24,
1987-06-01,14.5,15,31,24,
1987-07-01,16,15,31,24,
1987-08-01,17,16,32,25,
1987-09-01,17.5,17,32,25,
1987-10-01,18,18.5,34,26,
1987-11-01,20,18.5,35,28,
1987-12-01,20,18.5,36,30,
1988-01-01,20,18.5,36,30,
1988-02-01,21,18.5,36,31,
1988-03-01,21,19,37.5,32,
1988-04-01,22,20,39,33,
1988-05-01,22,20,39,33,
1988-06-01,22,20,38,32,
1988-07-01,22,20,38,32,
1988-08-01,22,20,38,32,
1988-09-01,23,20,39,33,
1988-10-01,24,21,41,34,
1988-11-01,25,23,42,35,
1988-12-01,25,23,45,35,
1989-01-01,26,23,46,36,
1989-02-01,26,24,46,36,
1989-03-01,26,24,50,37,
1989-04-01,26,24,50,37,
1989-05-01,27.5,24,52,39,
1989-06-01,27.5,24,52,39,
1989-07-01,27.5,24,52,39,
1989-08-01,28.5,24,52,40,
1989-09-01,28.5,24,52,40,
1989-10-01,28.5,24,52,40,
1989-11-01,28.5,24,52,40,
1989-12-01,28.5,24,54,40,
1990-01-01,28.5,25,54,40,
1990-02-01,30,25,56,42,
1990-03-01,30,25,57,42,
1990-04-01,30,25,57,42,
1990-05-01,30,25,57,42,
1990-06-01,30,25,57,43,
1990-07-01,30,25,64,50,
1990-08-01,30,25,64,52,
1990-09-01,30,25,64,52,
1990-10-01,30,25,64,52,
1990-11-01,31,25,65,52,
1990-12-01,32,25,66,53,
1991-01-01,32,25,66,53,
1991-02-01,32,25,66,53,
1991-03-01,32,25,67,53,
1991-04-01,32,25,68,53,
1991-05-01,33,25,68,53,
1991-06-01,33,25,68,53,
1991-07-01,34,25,68,53,
1991-08-01,34,26,68,53,
1991-09-01,34,27,68,53,
1991-10-01,32,27.5,68,53,
1991-11-01,32,28,68,53,
1991-12-01,34,28,68,52,
1992-01-01,34,27,66,52,
1992-02-01,34,27,65,52,
1992-03-01,34,27,65,52,
1992-04-01,34,26,65,52,
1992-05-01,34,25,65,52,
1992-06-01,34,25,64,51,
1992-07-01,34,25,64,50,
1992-08-01,32,24,62.5,48,
1992-09-01,32,24,62.5,48,
1992-10-01,32,24,62.5,48,
1992-11-01,32,24,62.5,48,
1992-12-01,32,24,62.5,48,
1993-01-01,32,24,62.5,48,
1993-02-01,30,24,60,42,
1993-03-01,30,24,60,42,
1993-04-01,30,24,60,42,
1993-05-01,32,24.5,60,43,
1993-06-01,33,25,62.5,44.5,
1993-07-01,33,25,62.5,44.5,
1993-08-01,33,25,62.5,44.5,
1993-09-01,33,25,65,47,
1993-10-01,33,25,63,47,
1993-11-01,32,25,62,46,
1993-12-01,32,25,62,44,
1994-01-01,32,24,62,44,
1994-02-01,32,24,62,44,
1994-03-01,32,23.5,57,42,
1994-04-01,32,23.5,55,42,
1994-05-01,32,23.5,55,41.5,
1994-06-01,32,23.5,55,42.5,
1994-07-01,30,23,53,41,
1994-08-01,30,23,53,41,
1994-09-01,30,23.5,51,40,
1994-10-01,30,23.5,51,40,
1994-11-01,31.5,24,51,41,
1994-12-01,32,24,51,41,
1995-01-01,33,24.25,52,42,
1995-02-01,33,25,52,42,
1995-03-01,33,25,52,42,
1995-04-01,33,25,52,42,
1995-05-01,34,25.5,54,43,
1995-06-01,34,25.5,54,43,
1995-07-01,34,25.5,54,43,
1995-08-01,34,25.5,54,43,
1995-09-01,33.5,24,53,42.5,
1995-10-01,33.5,24,53,42.5,
1995-11-01,33.5,24,54,43.5,
1995-12-01,33.5,24,54,43.5,
1996-01-01,33,23.5,52,41.5,
1996-02-01,33,23.5,52,41.5,
1996-03-01,33,23.5,52,41.5,
1996-04-01,32,23.5,52,41.5,
1996-05-01,32,23.5,51,41,
1996-06-01,32,23.5,51,41,
1996-07-01,32,23.5,52,41,
1996-08-01,32,23.5,52,41,
1996-09-01,32,23.5,52,41,
1996-10-01,32,23.5,52,41,
1996-11-01,32,23.5,52,41,
1996-12-01,31.5,23,51,40.5,
1997-01-01,31,22.5,49,39,
1997-02-01,31,22.5,49,39,
1997-03-01,31,22.5,49,39,
1997-04-01,32,23,50,40,
1997-05-01,32,23,50,40,
1997-06-01,32,23.5,52,41.5,
1997-07-01,32,23.5,52,41.5,
1997-08-01,32,23.5,52,41.5,
1997-09-01,32,23.5,53,42,
1997-10-01,32,23.5,53,42,
1997-11-01,31.5,23,53,41.5,
1997-12-01,31.5,22.5,52,41,
1998-01-01,30,22.5,50,39.5,
1998-02-01,30,22,49,38.5,
1998-03-01,29.5,21.5,48,38,
1998-04-01,29,21,47,37.5,
1998-05-01,29,21,47,36.5,
1998-06-01,28.5,21,46.5,36,
1998-07-01,28.5,21,46.5,36,
1998-08-01,28,19.5,46,35.5,
1998-09-01,27.5,19,45.5,35,
1998-10-01,27.5,18.5,45,35,
1998-11-01,27.5,18,44.5,34.5,
1998-12-01,26,18,44,34.5,
1999-01-01,26,18,44.5,34.5,
1999-02-01,26,17.5,44,34.5,
1999-03-01,26,17.5,44,34.5,
1999-04-01,25.5,17.5,43.5,34,
1999-05-01,25.5,18.5,43.5,34,
1999-06-01,26,18.75,44,34.5,
1999-07-01,26,19,44,34.5,
1999-08-01,26,19,44,34.5,
1999-09-01,26,19,43,34,
1999-10-01,26,20,42.5,33,
1999-11-01,26,20,42.5,33,
1999-12-01,26,20,42.5,33,
2000-01-01,26.5,20.5,44,34,
2000-02-01,27.5,20.5,45,35.5,
2000-03-01,28,20.5,45.5,36,
2000-04-01,28,20.25,45.5,36,
2000-05-01,28.5,20.5,47.5,37,
2000-06-01,28.5,20.5,48,37.5,
2000-07-01,29,21,49.5,39,
2000-08-01,29.5,20.5,50.5,40,
2000-09-01,29.5,20.5,51,40.5,
2000-10-01,29.5,20.5,52,41,
2000-11-01,29.5,20.5,52.5,41.5,
2000-12-01,29.5,20.5,52.5,41.5,
2001-01-01,29,20.5,52,41,
2001-02-01,29.5,20.5,52,41,
2001-03-01,30.5,20.5,52.5,42.5,
2001-04-01,30.5,20.5,52.5,42.5,
2001-05-01,30,20.5,52,42,
2001-06-01,29,20,51,40.5,
2001-07-01,29,20,51,40.5,
2001-08-01,28.5,19.5,50,39.5,
2001-09-01,28,19.5,49.5,38.5,
2001-10-01,28,19.5,49.5,38.5,
2001-11-01,27,18.5,48,37,
2001-12-01,26.25,18.5,46.5,36,
2002-01-01,26,18.25,46.5,36,
2002-02-01,26,18.25,45.5,35.25,
2002-03-01,26,18.5,45.5,35.25,
2002-04-01,26.5,18.5,44,34.5,
2002-05-01,26.5,18.5,44.5,35,
2002-06-01,26.25,19,44,34.5,
2002-07-01,26.25,19,43.5,34,
2002-08-01,26.25,19,43,33.5,
2002-09-01,26.5,19,43,33.5,
2002-10-01,26.5,19,43.5,33.5,
2002-11-01,26.5,19,43,34,
2002-12-01,27,19,43.75,34.75,
2003-01-01,28,19.5,45,36,
2003-02-01,28.5,19.5,45.5,36.5,
2003-03-01,28.75,19.75,46.5,37,
2003-04-01,28.75,19.75,46.5,37,
2003-05-01,29,19.75,46.75,37,
2003-06-01,29,19.75,46.25,37,
2003-07-01,29.25,20.25,46.5,37.25,
2003-08-01,29,21,46.5,37.25,
2003-09-01,29.5,21,48.5,38.5,
2003-10-01,30.5,22,49,39,
2003-11-01,31.5,23,51,41,
2003-12-01,31.5,24,51.5,41.5,
2004-01-01,34,25,53,44.5,
2004-02-01,34,25.5,54.5,45,
2004-03-01,35,28.25,57,47,
2004-04-01,36.5,29,58.5,48,
2004-05-01,36.5,27.5,60,49.5,
2004-06-01,36,25.5,60,51,
2004-07-01,36,27,62.5,53,
2004-08-01,36,27.5,63,53.5,
2004-09-01,36.5,28,64,54,
2004-10-01,38.5,29,68,57.5,
2004-11-01,39,30,70,58.5,
2004-12-01,40,30,71,59,
2005-01-01,41,31.5,74,62.5,
2005-02-01,41.5,32,74,62.5,
2005-03-01,43.5,34.5,77,65,
2005-04-01,44.5,35,77,65,
2005-05-01,44.5,35,79,65,
2005-06-01,44,34,75,61.5,
2005-07-01,44,34,75,60.5,
2005-08-01,43.5,31,72.5,59.5,
2005-09-01,43,30.5,71,58.5,
2005-10-01,43,30.5,71,58.5,
2005-11-01,43,30.5,71,58.5,
2005-12-01,43,30.5,71,58.5,
2006-01-01,43.5,29.5,73,61,
2006-02-01,44.5,29,73.5,61.5,
2006-03-01,44.5,29,74.5,62,
2006-04-01,44.5,29,74.5,62,
2006-05-01,45.5,29.5,77,63.5,
2006-06-01,46,30,78,63.5,
2006-07-01,46.5,32,79,64,
2006-08-01,46.5,34,80,65,
2006-09-01,47,35.5,80,65,
2006-10-01,47,36.5,80.5,65.5,
2006-11-01,47,36.5,80.5,65.5,
2006-12-01,47,36.5,80.5,65.5,
2007-01-01,47,37,80.5,65.5,
2007-02-01,46.5,38.5,81,65.5,
2007-03-01,46.5,39.5,81,65.5,
