Date,1 Year Timecharter Rate 50000 dwt D/H Eco MR Tanker $/day [SIN 541552]
2014-05-01,17000
2014-06-01,16812.5
2014-07-01,16562.5
2014-08-01,16400
2014-09-01,15500
2014-10-01,16600
2014-11-01,16750
2014-12-01,16750
2015-01-01,16750
2015-02-01,16687.5
2015-03-01,17000
2015-04-01,17187.5
2015-05-01,18000
2015-06-01,19312.5
2015-07-01,20600
2015-08-01,21000
2015-09-01,21000
2015-10-01,20400
2015-11-01,19937.5
2015-12-01,19500
2016-01-01,18775
2016-02-01,17500
2016-03-01,17812.5
2016-04-01,17475
2016-05-01,16812.5
2016-06-01,16375
2016-07-01,15700
2016-08-01,14375
2016-09-01,14075
2016-10-01,12625
2016-11-01,12625
2016-12-01,12725
2017-01-01,13031.25
2017-02-01,13000
2017-03-01,13150
2017-04-01,13968.75
2017-05-01,13750
2017-06-01,13675
2017-07-01,13750
2017-08-01,13937.5
2017-09-01,14000
2017-10-01,14500
2017-11-01,14500
2017-12-01,14850
2018-01-01,14968.75
2018-02-01,14875
2018-03-01,14900
2018-04-01,14906.25
2018-05-01,14875
2018-06-01,14875
2018-07-01,14718.75
2018-08-01,14175
2018-09-01,13812.5
2018-10-01,13562.5
2018-11-01,13750
2018-12-01,15500
2019-01-01,14656.25
2019-02-01,15000
2019-03-01,15350
2019-04-01,15906.25
2019-05-01,16375
2019-06-01,17000
2019-07-01,16937.5
2019-08-01,16575
2019-09-01,16625
2019-10-01,17875
2019-11-01,17450
2019-12-01,17250
2020-01-01,18550
2020-02-01,16906.25
2020-03-01,17000
2020-04-01,16625
2020-05-01,17875
2020-06-01,15375
2020-07-01,14050
2020-08-01,14562.5
2020-09-01,15250
2020-10-01,15000
2020-11-01,13406.25
2020-12-01,13125
2021-01-01,13950
2021-02-01,14250
2021-03-01,14343.75
2021-04-01,14625
2021-05-01,14593.75
2021-06-01,14500
2021-07-01,14000
2021-08-01,14000
2021-09-01,14000
2021-10-01,14700
2021-11-01,15250
2021-12-01,15500
2022-01-01,15375
2022-02-01,14812.5
2022-03-01,15593.75
2022-04-01,17525
2022-05-01,20187.5
2022-06-01,23062.5
2022-07-01,25300
2022-08-01,28000
2022-09-01,28900
2022-10-01,32500
2022-11-01,32500
2022-12-01,34500
2023-01-01,31625
2023-02-01,33312.5
2023-03-01,33450
2023-04-01,32875
2023-05-01,29875
2023-06-01,29250
2023-07-01,27312.5
2023-08-01,27562.5
2023-09-01,27750
2023-10-01,28500
2023-11-01,28625
2023-12-01,30450
2024-01-01,31312.5
2024-02-01,33000
2024-03-01,31700
2024-04-01,32562.5
2024-05-01,33950
2024-06-01,34125
2024-07-01,33875
2024-08-01,31350
2024-09-01,29437.5
2024-10-01,28625
2024-11-01,24500
2024-12-01,22250
2025-01-01,21425
2025-02-01,21875
2025-03-01,21218.75
2025-04-01,21125
2025-05-01,21025
2025-06-01,20593.75
2025-07-01,20562.5
2025-08-01,20775
2025-09-01,21000
2025-10-01,22900
2025-11-01,23750
2025-12-01,23687.5
2026-01-01,23250
2026-02-01,24875
2026-03-01,35187.5
2026-04-01,36250
2026-05-01,32200
2026-06-01,28750
2026-07-01,27550
2026-08-01,29000
2026-09-01,29000
