Date,1 Year TC Rate Supramax/Ultramax Bulkcarrier Long Run $/day [SIN 534415],1 Year TC Rate 61000 dwt Bulkcarrier Pacific $/day [SIN 546069]
1989-01-01,10425,
1989-02-01,10500,
1989-03-01,10550,
1989-04-01,10500,
1989-05-01,10650,
1989-06-01,10530,
1989-07-01,10375,
1989-08-01,10137.5,
1989-09-01,10000,
1989-10-01,10000,
1989-11-01,10312.5,
1989-12-01,10250,
1990-01-01,10000,
1990-02-01,10000,
1990-03-01,9960,
1990-04-01,9375,
1990-05-01,9100,
1990-06-01,8960,
1990-07-01,8437.5,
1990-08-01,8200,
1990-09-01,8225,
1990-10-01,7750,
1990-11-01,7710,
1990-12-01,7737.5,
1991-01-01,7750,
1991-02-01,7875,
1991-03-01,8650,
1991-04-01,8750,
1991-05-01,9380,
1991-06-01,9312.5,
1991-07-01,9725,
1991-08-01,9860,
1991-09-01,10400,
1991-10-01,10500,
1991-11-01,10390,
1991-12-01,10075,
1992-01-01,9690,
1992-02-01,9187.5,
1992-03-01,8562.5,
1992-04-01,8500,
1992-05-01,8360,
1992-06-01,8275,
1992-07-01,8150,
1992-08-01,8387.5,
1992-09-01,8362.5,
1992-10-01,8360,
1992-11-01,8387.5,
1992-12-01,8500,
1993-01-01,8720,
1993-02-01,9375,
1993-03-01,9612.5,
1993-04-01,10020,
1993-05-01,10237.5,
1993-06-01,10125,
1993-07-01,9850,
1993-08-01,10025,
1993-09-01,10125,
1993-10-01,9660,
1993-11-01,9350,
1993-12-01,9250,
1994-01-01,9550,
1994-02-01,9625,
1994-03-01,9450,
1994-04-01,9680,
1994-05-01,9975,
1994-06-01,9700,
1994-07-01,9340,
1994-08-01,9475,
1994-09-01,9640,
1994-10-01,10037.5,
1994-11-01,10350,
1994-12-01,10850,
1995-01-01,10937.5,
1995-02-01,11150,
1995-03-01,11640,
1995-04-01,12000,
1995-05-01,12000,
1995-06-01,11850,
1995-07-01,12000,
1995-08-01,12812.5,
1995-09-01,12810,
1995-10-01,12187.5,
1995-11-01,11062.5,
1995-12-01,10750,
1996-01-01,10500,
1996-02-01,9900,
1996-03-01,9720,
1996-04-01,9325,
1996-05-01,9050,
1996-06-01,8775,
1996-07-01,8037.5,
1996-08-01,7930,
1996-09-01,7825,
1996-10-01,7662.5,
1996-11-01,7800,
1996-12-01,7975,
1997-01-01,8120,
1997-02-01,8275,
1997-03-01,8487.5,
1997-04-01,8500,
1997-05-01,8420,
1997-06-01,8275,
1997-07-01,8275,
1997-08-01,8520,
1997-09-01,8525,
1997-10-01,8550,
1997-11-01,8200,
1997-12-01,7950,
1998-01-01,7640,
1998-02-01,7000,
1998-03-01,7212.5,
1998-04-01,7250,
1998-05-01,7250,
1998-06-01,7212.5,
1998-07-01,6910,
1998-08-01,6475,
1998-09-01,6512.5,
1998-10-01,6720,
1998-11-01,6750,
1998-12-01,6475,
1999-01-01,6140,
1999-02-01,5825,
1999-03-01,5812.5,
1999-04-01,5830,
1999-05-01,6087.5,
1999-06-01,6112.5,
1999-07-01,6200,
1999-08-01,6837.5,
1999-09-01,7175,
1999-10-01,7500,
1999-11-01,7725,
1999-12-01,7720,
2000-01-01,8025,
2000-02-01,8237.5,
2000-03-01,8460,
2000-04-01,8950,
2000-05-01,8950,
2000-06-01,8680,
2000-07-01,8637.5,
2000-08-01,8675,
2000-09-01,9050,
2000-10-01,9437.5,
2000-11-01,9187.5,
2000-12-01,8820,
2001-01-01,8850,
2001-02-01,8637.5,
2001-03-01,8920,
2001-04-01,8925,
2001-05-01,9000,
2001-06-01,8850,
2001-07-01,8725,
2001-08-01,8100,
2001-09-01,7475,
2001-10-01,7037.5,
2001-11-01,6660,
2001-12-01,6525,
2002-01-01,7225,
2002-02-01,7275,
2002-03-01,7890,
2002-04-01,8325,
2002-05-01,8160,
2002-06-01,8250,
2002-07-01,8200,
2002-08-01,8210,
2002-09-01,8412.5,
2002-10-01,8975,
2002-11-01,9370,
2002-12-01,9825,
2003-01-01,10070,
2003-02-01,10587.5,
2003-03-01,11450,
2003-04-01,11750,
2003-05-01,11780,
2003-06-01,12075,
2003-07-01,12512.5,
2003-08-01,12690,
2003-09-01,14250,
2003-10-01,19600,
2003-11-01,23250,
2003-12-01,26062.5,
2004-01-01,31100,
2004-02-01,39750,
2004-03-01,38000,
2004-04-01,32900,
2004-05-01,24625,
2004-06-01,17187.5,
2004-07-01,24300,
2004-08-01,27375,
2004-09-01,27500,
2004-10-01,29500,
2004-11-01,29625,
2004-12-01,31100,
2005-01-01,30000,
2005-02-01,29625,
2005-03-01,29937.5,
2005-04-01,27750,
2005-05-01,24250,
2005-06-01,21562.5,
2005-07-01,17600,
2005-08-01,17562.5,
2005-09-01,19450,
2005-10-01,19375,
2005-11-01,16937.5,
2005-12-01,15600,
2006-01-01,15537.5,
2006-02-01,15362.5,
2006-03-01,16380,
2006-04-01,16825,
2006-05-01,18250,
2006-06-01,19800,
2006-07-01,22187.5,
2006-08-01,24937.5,
2006-09-01,27750,
2006-10-01,28250,
2006-11-01,28250,
2006-12-01,27950,
2007-01-01,29187.5,
2007-02-01,29312.5,
2007-03-01,30950,
2007-04-01,34437.5,
2007-05-01,41125,
2007-06-01,39500,
2007-07-01,43375,
2007-08-01,48550,
2007-09-01,57062.5,
2007-10-01,65875,
2007-11-01,66300,
2007-12-01,62125,
2008-01-01,52375,
2008-02-01,55300,
2008-03-01,60250,
2008-04-01,57625,
2008-05-01,61800,
2008-06-01,61750,
2008-07-01,59625,
2008-08-01,53600,
2008-09-01,44437.5,
2008-10-01,17650,
2008-11-01,10562.5,
2008-12-01,9562.5,
2009-01-01,9700,
2009-02-01,12625,
2009-03-01,12750,
2009-04-01,11937.5,
2009-05-01,13850,
2009-06-01,14562.5,
2009-07-01,16350,
2009-08-01,15687.5,
2009-09-01,15875,
2009-10-01,16200,
2009-11-01,18312.5,
2009-12-01,18937.5,
2010-01-01,20250,
2010-02-01,20875,
2010-03-01,23125,
2010-04-01,23100,
2010-05-01,24375,
2010-06-01,21937.5,
2010-07-01,20150,
2010-08-01,21375,
2010-09-01,21718.75,
2010-10-01,20200,
2010-11-01,17750,
2010-12-01,16350,
2011-01-01,15187.5,
2011-02-01,15000,
2011-03-01,15687.5,
2011-04-01,15025,
2011-05-01,14437.5,
2011-06-01,14062.5,
2011-07-01,13500,
2011-08-01,13437.5,
2011-09-01,13900,
2011-10-01,14000,
2011-11-01,13062.5,
2011-12-01,12400,
2012-01-01,11250,
2012-02-01,10250,
2012-03-01,11050,
2012-04-01,11312.5,
2012-05-01,11375,
2012-06-01,10500,
2012-07-01,10500,
2012-08-01,9650,
2012-09-01,9500,
2012-10-01,9000,
2012-11-01,8600,
2012-12-01,8750,
2013-01-01,8750,
2013-02-01,8937.5,
2013-03-01,9650,
2013-04-01,9500,
2013-05-01,9500,
2013-06-01,9500,
2013-07-01,9500,
2013-08-01,9650,
2013-09-01,10225,
2013-10-01,11125,
2013-11-01,11625,
2013-12-01,12375,
2014-01-01,12400,
2014-02-01,12812.5,
2014-03-01,13625,
2014-04-01,12375,
2014-05-01,12200,
2014-06-01,10937.5,
2014-07-01,10687.5,
2014-08-01,11450,
2014-09-01,12187.5,
2014-10-01,10950,
2014-11-01,10187.5,
2014-12-01,10125,
2015-01-01,9550,
2015-02-01,8125,
2015-03-01,8500,
2015-04-01,8187.5,
2015-05-01,7750,
2015-06-01,7937.5,
2015-07-01,8300,
2015-08-01,8937.5,
2015-09-01,8687.5,
2015-10-01,8100,
2015-11-01,6875,
2015-12-01,6000,
2016-01-01,5200,
2016-02-01,4875,
2016-03-01,5375,
2016-04-01,5950,
2016-05-01,6250,
2016-06-01,6312.5,
2016-07-01,6900,
2016-08-01,7062.5,
2016-09-01,7150,
2016-10-01,7250,
2016-11-01,7562.5,
2016-12-01,7900,
2017-01-01,7562.5,
2017-02-01,8437.5,
2017-03-01,10050,
2017-04-01,10250,
2017-05-01,9062.5,
2017-06-01,8950,
2017-07-01,9812.5,
2017-08-01,10000,
2017-09-01,10750,
2017-10-01,11250,
2017-11-01,10625,
2017-12-01,10800,
2018-01-01,11562.5,
2018-02-01,12125,12750
2018-03-01,13250,14050
2018-04-01,13062.5,14062.5
2018-05-01,13250,14125
2018-06-01,13250,14000
2018-07-01,13000,13750
2018-08-01,13100,13850
2018-09-01,13250,14000
2018-10-01,13250,14000
2018-11-01,12250,13150
2018-12-01,12187.5,13000
2019-01-01,11000,11731.25
2019-02-01,10156.25,10843.75
2019-03-01,10750,11450
2019-04-01,10281.25,10843.75
2019-05-01,10425,11450
2019-06-01,9843.75,11500
2019-07-01,11062.5,12718.75
2019-08-01,11925,12780
2019-09-01,11218.75,12843.75
2019-10-01,10937.5,12781.25
2019-11-01,9875,11550
2019-12-01,9406.25,11062.5
2020-01-01,8975,10850
2020-02-01,8812.5,10593.75
2020-03-01,8862.5,10781.25
2020-04-01,7906.25,9437.5
2020-05-01,7650,8925
2020-06-01,9156.25,10437.5
2020-07-01,9250,10625
2020-08-01,9656.25,10875
2020-09-01,9656.25,10781.25
2020-10-01,9375,10500
2020-11-01,8843.75,10031.25
2020-12-01,9593.75,10937.5
2021-01-01,10675,12200
2021-02-01,13031.25,14468.75
2021-03-01,16562.5,18843.75
2021-04-01,16600,18550
2021-05-01,19343.75,22656.25
2021-06-01,21468.75,25593.75
2021-07-01,24275,27300
2021-08-01,26718.75,29812.5
2021-09-01,28125,30937.5
2021-10-01,27700,30700
2021-11-01,18625,22187.5
2021-12-01,22450,25225
2022-01-01,21500,24187.5
2022-02-01,24875,28500
2022-03-01,29000,32625
2022-04-01,25700,29100
2022-05-01,26125,30000
2022-06-01,25375,28000
2022-07-01,18250,21500
2022-08-01,16875,18656.25
2022-09-01,14700,16650
2022-10-01,14625,16500
2022-11-01,11625,13937.5
2022-12-01,12300,14250
2023-01-01,12562.5,14187.5
2023-02-01,13093.75,15125
2023-03-01,15300,17425
2023-04-01,14937.5,17000
2023-05-01,13031.25,14875
2023-06-01,11145,13220
2023-07-01,10406.25,11968.75
2023-08-01,11000,13031.25
2023-09-01,12000,13950
2023-10-01,11562.5,13843.75
2023-11-01,11687.5,13250
2023-12-01,13200,14650
2024-01-01,13125,15187.5
2024-02-01,14687.5,16750
2024-03-01,15000,17150
2024-04-01,15593.75,17000
2024-05-01,16100,17800
2024-06-01,15375,17250
2024-07-01,15062.5,16750
2024-08-01,15000,16600
2024-09-01,14625,16187.5
2024-10-01,15000,15875
2024-11-01,13050,14300
2024-12-01,12000,13125
2025-01-01,11100,12500
2025-02-01,11437.5,13125
2025-03-01,12625,13750
2025-04-01,11812.5,13562.5
2025-05-01,11500,13250
2025-06-01,11500,13000
2025-07-01,12062.5,13625
2025-08-01,12850,13850
2025-09-01,13375,14750
2025-10-01,13100,14600
2025-11-01,13562.5,15187.5
2025-12-01,13375,14937.5
2026-01-01,14800,14800
2026-02-01,16125,16125
2026-03-01,16375,16375
2026-04-01,17187.5,17187.5
2026-05-01,19500,19500
2026-06-01,19437.5,19437.5
2026-07-01,18100,18100
2026-08-01,18750,18750
2026-09-01,19500,19500
