Date,1 Year Timecharter Rate 150000 dwt D/H Suezmax $/day [SIN 48989]
2000-03-01,25000
2000-04-01,25500
2000-05-01,25500
2000-06-01,27400
2000-07-01,30750
2000-08-01,31875
2000-09-01,33700
2000-10-01,39375
2000-11-01,42500
2000-12-01,42300
2001-01-01,42250
2001-02-01,39750
2001-03-01,40200
2001-04-01,39000
2001-05-01,38750
2001-06-01,34400
2001-07-01,31000
2001-08-01,30100
2001-09-01,30500
2001-10-01,30375
2001-11-01,22600
2001-12-01,19750
2002-01-01,19000
2002-02-01,18250
2002-03-01,18250
2002-04-01,18687.5
2002-05-01,18750
2002-06-01,18750
2002-07-01,18500
2002-08-01,18000
2002-09-01,18000
2002-10-01,18500
2002-11-01,20000
2002-12-01,25125
2003-01-01,28200
2003-02-01,29250
2003-03-01,29250
2003-04-01,26750
2003-05-01,26600
2003-06-01,26750
2003-07-01,26000
2003-08-01,25400
2003-09-01,25750
2003-10-01,26200
2003-11-01,28000
2003-12-01,30250
2004-01-01,35800
2004-02-01,33250
2004-03-01,33000
2004-04-01,34200
2004-05-01,34500
2004-06-01,35000
2004-07-01,36200
2004-08-01,37625
2004-09-01,38875
2004-10-01,54000
2004-11-01,58750
2004-12-01,54900
2005-01-01,47000
2005-02-01,47500
2005-03-01,45000
2005-04-01,41000
2005-05-01,42500
2005-06-01,41875
2005-07-01,41000
2005-08-01,41250
2005-09-01,41100
2005-10-01,44000
2005-11-01,46000
2005-12-01,43000
2006-01-01,42000
2006-02-01,41000
2006-03-01,39800
2006-04-01,39000
2006-05-01,39000
2006-06-01,40600
2006-07-01,44250
2006-08-01,47500
2006-09-01,50000
2006-10-01,46500
2006-11-01,44250
2006-12-01,44000
2007-01-01,45000
2007-02-01,43500
2007-03-01,42600
2007-04-01,43375
2007-05-01,45500
2007-06-01,45900
2007-07-01,47500
2007-08-01,46100
2007-09-01,43000
2007-10-01,42500
2007-11-01,41600
2007-12-01,47250
2008-01-01,43000
2008-02-01,40800
2008-03-01,42500
2008-04-01,42500
2008-05-01,44400
2008-06-01,48500
2008-07-01,53750
2008-08-01,55500
2008-09-01,55625
2008-10-01,51300
2008-11-01,45625
2008-12-01,42000
2009-01-01,41800
2009-02-01,40000
2009-03-01,36250
2009-04-01,33000
2009-05-01,31200
2009-06-01,30750
2009-07-01,28900
2009-08-01,25125
2009-09-01,24000
2009-10-01,24000
2009-11-01,27000
2009-12-01,24000
2010-01-01,27600
2010-02-01,25625
2010-03-01,25000
2010-04-01,26000
2010-05-01,31000
2010-06-01,32375
2010-07-01,32400
2010-08-01,31750
2010-09-01,29750
2010-10-01,27500
2010-11-01,26000
2010-12-01,26100
2011-01-01,24375
2011-02-01,21750
2011-03-01,21000
2011-04-01,21000
2011-05-01,21500
2011-06-01,21000
2011-07-01,18600
2011-08-01,17000
2011-09-01,17700
2011-10-01,18250
2011-11-01,17750
2011-12-01,16300
2012-01-01,16000
2012-02-01,16000
2012-03-01,16400
2012-04-01,17000
2012-05-01,17250
2012-06-01,18200
2012-07-01,19000
2012-08-01,18800
2012-09-01,18375
2012-10-01,16750
2012-11-01,17000
2012-12-01,17250
2013-01-01,16875
2013-02-01,16687.5
2013-03-01,16100
2013-04-01,15750
2013-05-01,15246
2013-06-01,15750
2013-07-01,16000
2013-08-01,16000
2013-09-01,16000
2013-10-01,15875
2013-11-01,15650
2013-12-01,16500
2014-01-01,21100
2014-02-01,20250
2014-03-01,20000
2014-04-01,19750
2014-05-01,19000
2014-06-01,19000
2014-07-01,20750
2014-08-01,23800
2014-09-01,24250
2014-10-01,24900
2014-11-01,28250
2014-12-01,32000
2015-01-01,32000
2015-02-01,33000
2015-03-01,33000
2015-04-01,33000
2015-05-01,33800
2015-06-01,34250
2015-07-01,40000
2015-08-01,40875
2015-09-01,36000
2015-10-01,37800
2015-11-01,38750
2015-12-01,38000
2016-01-01,36250
2016-02-01,34062.5
2016-03-01,32625
2016-04-01,30500
2016-05-01,28750
2016-06-01,27875
2016-07-01,26050
2016-08-01,23375
2016-09-01,21350
2016-10-01,21750
2016-11-01,22500
2016-12-01,22500
2017-01-01,22000
2017-02-01,20750
2017-03-01,18600
2017-04-01,18000
2017-05-01,18000
2017-06-01,18000
2017-07-01,18000
2017-08-01,18000
2017-09-01,18000
2017-10-01,17812.5
2017-11-01,17750
2017-12-01,17500
2018-01-01,17125
2018-02-01,17000
2018-03-01,16700
2018-04-01,15500
2018-05-01,15500
2018-06-01,15600
2018-07-01,16000
2018-08-01,16600
2018-09-01,17000
2018-10-01,17250
2018-11-01,21450
2018-12-01,24000
2019-01-01,23812.5
2019-02-01,23750
2019-03-01,23150
2019-04-01,22937.5
2019-05-01,22900
2019-06-01,23750
2019-07-01,24625
