Date,1 Year TC Rate 110000 dwt D/H Aframax $/day [SIN 49000],1 Year TC Rate 110000 dwt Eco Aframax $/day [SIN 542244]
2000-03-01,19000,
2000-04-01,19000,
2000-05-01,18812.5,
2000-06-01,20160,
2000-07-01,22000,
2000-08-01,22750,
2000-09-01,23900,
2000-10-01,26375,
2000-11-01,28500,
2000-12-01,29900,
2001-01-01,31000,
2001-02-01,29125,
2001-03-01,28500,
2001-04-01,28000,
2001-05-01,27750,
2001-06-01,25800,
2001-07-01,25000,
2001-08-01,23300,
2001-09-01,22750,
2001-10-01,21250,
2001-11-01,19700,
2001-12-01,18750,
2002-01-01,18125,
2002-02-01,18000,
2002-03-01,17900,
2002-04-01,17000,
2002-05-01,17450,
2002-06-01,17500,
2002-07-01,17500,
2002-08-01,16900,
2002-09-01,16625,
2002-10-01,15937.5,
2002-11-01,16900,
2002-12-01,19250,
2003-01-01,19450,
2003-02-01,22562.5,
2003-03-01,24500,
2003-04-01,20250,
2003-05-01,20100,
2003-06-01,19625,
2003-07-01,19500,
2003-08-01,19200,
2003-09-01,19375,
2003-10-01,20100,
2003-11-01,22250,
2003-12-01,25500,
2004-01-01,26000,
2004-02-01,25750,
2004-03-01,26500,
2004-04-01,26500,
2004-05-01,25875,
2004-06-01,27000,
2004-07-01,28000,
2004-08-01,29000,
2004-09-01,30000,
2004-10-01,36500,
2004-11-01,42250,
2004-12-01,39400,
2005-01-01,36000,
2005-02-01,34500,
2005-03-01,36000,
2005-04-01,35600,
2005-05-01,34500,
2005-06-01,33500,
2005-07-01,33400,
2005-08-01,34250,
2005-09-01,35000,
2005-10-01,35375,
2005-11-01,37500,
2005-12-01,35600,
2006-01-01,33750,
2006-02-01,34000,
2006-03-01,31600,
2006-04-01,30000,
2006-05-01,30000,
2006-06-01,31000,
2006-07-01,33625,
2006-08-01,35000,
2006-09-01,36000,
2006-10-01,35250,
2006-11-01,34125,
2006-12-01,33400,
2007-01-01,34000,
2007-02-01,34000,
2007-03-01,32700,
2007-04-01,32625,
2007-05-01,33500,
2007-06-01,34000,
2007-07-01,34750,
2007-08-01,33200,
2007-09-01,32250,
2007-10-01,32000,
2007-11-01,31400,
2007-12-01,33625,
2008-01-01,33250,
2008-02-01,31900,
2008-03-01,30625,
2008-04-01,31125,
2008-05-01,33200,
2008-06-01,40375,
2008-07-01,43125,
2008-08-01,43500,
2008-09-01,41375,
2008-10-01,38400,
2008-11-01,33000,
2008-12-01,28687.5,
2009-01-01,27800,
2009-02-01,26000,
2009-03-01,23625,
2009-04-01,20375,
2009-05-01,18400,
2009-06-01,17500,
2009-07-01,17800,
2009-08-01,18000,
2009-09-01,18000,
2009-10-01,18000,
2009-11-01,18000,
2009-12-01,17000,
2010-01-01,18200,
2010-02-01,18625,
2010-03-01,18500,
2010-04-01,18500,
2010-05-01,19062.5,
2010-06-01,19625,
2010-07-01,19700,
2010-08-01,19000,
2010-09-01,19000,
2010-10-01,18300,
2010-11-01,18000,
2010-12-01,18400,
2011-01-01,17875,
2011-02-01,16875,
2011-03-01,16125,
2011-04-01,16000,
2011-05-01,15812.5,
2011-06-01,15375,
2011-07-01,15450,
2011-08-01,15312.5,
2011-09-01,15050,
2011-10-01,14500,
2011-11-01,13937.5,
2011-12-01,13600,
2012-01-01,13625,
2012-02-01,13937.5,
2012-03-01,13650,
2012-04-01,13750,
2012-05-01,13750,
2012-06-01,13550,
2012-07-01,13500,
2012-08-01,13400,
2012-09-01,13125,
2012-10-01,13500,
2012-11-01,13900,
2012-12-01,14000,
2013-01-01,14000,
2013-02-01,13562.5,
2013-03-01,13100,
2013-04-01,13062.5,
2013-05-01,13000,
2013-06-01,13000,
2013-07-01,13000,
2013-08-01,13000,
2013-09-01,13000,
2013-10-01,13500,
2013-11-01,13500,
2013-12-01,13875,
2014-01-01,16000,
2014-02-01,15875,
2014-03-01,15375,
2014-04-01,15250,
2014-05-01,15250,
2014-06-01,15437.5,
2014-07-01,17000,
2014-08-01,18000,
2014-09-01,18625,
2014-10-01,19700,
2014-11-01,21250,
2014-12-01,23000,
2015-01-01,23000,
2015-02-01,23000,
2015-03-01,23000,
2015-04-01,23000,
2015-05-01,25000,
2015-06-01,27000,
2015-07-01,28600,
2015-08-01,29000,
2015-09-01,29000,
2015-10-01,30000,
2015-11-01,30000,
2015-12-01,30000,
2016-01-01,27800,
2016-02-01,26750,
2016-03-01,25750,
2016-04-01,25350,
2016-05-01,23656.25,
2016-06-01,21750,
2016-07-01,19750,
2016-08-01,19125,
2016-09-01,16400,
2016-10-01,16312.5,
2016-11-01,17250,
2016-12-01,18000,
2017-01-01,17718.75,
2017-02-01,16875,
2017-03-01,16000,
2017-04-01,15812.5,
2017-05-01,15500,
2017-06-01,15000,
2017-07-01,14625,
2017-08-01,14500,
2017-09-01,14725,
2017-10-01,15000,
2017-11-01,15125,
2017-12-01,15250,
2018-01-01,15125,
2018-02-01,15000,
2018-03-01,13975,15500
2018-04-01,13343.75,15187.5
2018-05-01,13562.5,15250
2018-06-01,13800,15250
2018-07-01,14000,15250
2018-08-01,14200,15450
2018-09-01,14250,15750
2018-10-01,15218.75,17343.75
2018-11-01,17850,19550
2018-12-01,18750,20500
2019-01-01,19000,21000
2019-02-01,18812.5,20500
2019-03-01,19500,21250
2019-04-01,20500,22250
2019-05-01,21350,22850
2019-06-01,21625,23250
2019-07-01,21562.5,23187.5
2019-08-01,21500,23125
2019-09-01,21500,23125
2019-10-01,27000,29687.5
2019-11-01,25400,28050
2019-12-01,27500,30000
2020-01-01,28300,31300
2020-02-01,22000,26750
2020-03-01,24187.5,28125
2020-04-01,31250,33625
2020-05-01,30050,32050
2020-06-01,22000,24000
2020-07-01,20050,22300
2020-08-01,19750,21500
2020-09-01,19000,20500
2020-10-01,17500,18600
2020-11-01,16343.75,17343.75
2020-12-01,15875,16875
2021-01-01,15625,16625
2021-02-01,14500,16500
2021-03-01,15125,18000
2021-04-01,16000,18750
2021-05-01,16000,18750
2021-06-01,16000,18750
2021-07-01,15800,18750
2021-08-01,15250,18750
2021-09-01,14875,18437.5
2021-10-01,15300,18400
2021-11-01,16500,19500
2021-12-01,16500,19500
2022-01-01,16125,18937.5
2022-02-01,15937.5,18750
2022-03-01,17000,22000
2022-04-01,17700,21800
2022-05-01,20625,24625
2022-06-01,20750,25000
2022-07-01,22650,26500
2022-08-01,25500,29125
2022-09-01,32850,36050
2022-10-01,32500,36250
2022-11-01,33750,38437.5
2022-12-01,42300,47800
2023-01-01,42062.5,46437.5
2023-02-01,41937.5,46937.5
2023-03-01,46900,53200
2023-04-01,47500,55437.5
2023-05-01,41125,46500
2023-06-01,43300,49650
2023-07-01,40625,47000
2023-08-01,38875,42875
2023-09-01,38500,41750
2023-10-01,36812.5,41625
2023-11-01,41687.5,45437.5
2023-12-01,42000,45750
2024-01-01,42750,46875
2024-02-01,42750,47000
2024-03-01,42500,47500
2024-04-01,42500,47500
2024-05-01,44300,48500
2024-06-01,47375,51312.5
2024-07-01,45000,49562.5
2024-08-01,41650,45250
2024-09-01,37312.5,41125
2024-10-01,38750,43250
2024-11-01,35600,38200
2024-12-01,32437.5,34437.5
2025-01-01,29850,31450
2025-02-01,29375,31375
2025-03-01,28812.5,31500
2025-04-01,26250,30000
2025-05-01,29150,31700
2025-06-01,30000,32562.5
2025-07-01,29250,32250
2025-08-01,29850,32300
2025-09-01,31750,34500
2025-10-01,33650,36350
2025-11-01,37500,40000
2025-12-01,37500,40000
2026-01-01,38000,41150
2026-02-01,41750,45687.5
2026-03-01,56250,63750
2026-04-01,57937.5,66750
2026-05-01,56950,61700
2026-06-01,48125,54375
2026-07-01,48300,54650
2026-08-01,54500,59812.5
2026-09-01,60250,66500
