Date,1 Year TC Panamax/Kamsarmax Bulkcarrier Long Run $/day [SIN 540614],1 Year TC 82000 dwt Bulkcarrier Atlantic $/day [SIN 551145],1 Year TC 82000 dwt Bulkcarrier Pacific $/day [SIN 551149]
1989-01-01,13750,,
1989-02-01,13062.5,,
1989-03-01,13800,,
1989-04-01,13375,,
1989-05-01,13562.5,,
1989-06-01,12700,,
1989-07-01,13000,,
1989-08-01,12687.5,,
1989-09-01,12800,,
1989-10-01,12625,,
1989-11-01,13000,,
1989-12-01,13050,,
1990-01-01,13125,,
1990-02-01,13187.5,,
1990-03-01,13350,,
1990-04-01,12125,,
1990-05-01,11437.5,,
1990-06-01,10420,,
1990-07-01,9812.5,,
1990-08-01,9850,,
1990-09-01,9312.5,,
1990-10-01,9062.5,,
1990-11-01,8550,,
1990-12-01,9500,,
1991-01-01,9750,,
1991-02-01,10187.5,,
1991-03-01,10790,,
1991-04-01,10812.5,,
1991-05-01,11770,,
1991-06-01,12687.5,,
1991-07-01,12687.5,,
1991-08-01,13000,,
1991-09-01,13375,,
1991-10-01,13550,,
1991-11-01,13250,,
1991-12-01,12612.5,,
1992-01-01,12460,,
1992-02-01,11562.5,,
1992-03-01,10000,,
1992-04-01,10000,,
1992-05-01,10230,,
1992-06-01,9500,,
1992-07-01,8850,,
1992-08-01,9062.5,,
1992-09-01,8500,,
1992-10-01,8510,,
1992-11-01,9012.5,,
1992-12-01,9350,,
1993-01-01,9270,,
1993-02-01,9587.5,,
1993-03-01,10512.5,,
1993-04-01,11180,,
1993-05-01,11525,,
1993-06-01,11487.5,,
1993-07-01,11000,,
1993-08-01,11137.5,,
1993-09-01,11275,,
1993-10-01,10750,,
1993-11-01,10162.5,,
1993-12-01,9350,,
1994-01-01,9662.5,,
1994-02-01,9200,,
1994-03-01,9075,,
1994-04-01,9800,,
1994-05-01,10587.5,,
1994-06-01,10125,,
1994-07-01,10170,,
1994-08-01,10587.5,,
1994-09-01,10670,,
1994-10-01,11887.5,,
1994-11-01,11937.5,,
1994-12-01,12940,,
1995-01-01,13250,,
1995-02-01,13550,,
1995-03-01,14470,,
1995-04-01,14750,,
1995-05-01,15000,,
1995-06-01,14200,,
1995-07-01,14000,,
1995-08-01,14500,,
1995-09-01,14480,,
1995-10-01,13025,,
1995-11-01,12500,,
1995-12-01,12240,,
1996-01-01,11600,,
1996-02-01,11162.5,,
1996-03-01,10370,,
1996-04-01,10000,,
1996-05-01,9400,,
1996-06-01,8375,,
1996-07-01,7875,,
1996-08-01,7860,,
1996-09-01,7600,,
1996-10-01,7750,,
1996-11-01,8950,,
1996-12-01,9487.5,,
1997-01-01,9650,,
1997-02-01,10375,,
1997-03-01,10875,,
1997-04-01,10025,,
1997-05-01,9350,,
1997-06-01,9250,,
1997-07-01,9312.5,,
1997-08-01,9450,,
1997-09-01,9812.5,,
1997-10-01,9690,,
1997-11-01,8937.5,,
1997-12-01,8437.5,,
1998-01-01,7650,,
1998-02-01,6475,,
1998-03-01,7000,,
1998-04-01,6900,,
1998-05-01,6660,,
1998-06-01,6437.5,,
1998-07-01,6000,,
1998-08-01,5575,,
1998-09-01,5800,,
1998-10-01,6000,,
1998-11-01,6212.5,,
1998-12-01,5925,,
1999-01-01,5150,,
1999-02-01,5687.5,,
1999-03-01,6187.5,,
1999-04-01,6120,,
1999-05-01,6437.5,,
1999-06-01,6537.5,,
1999-07-01,7000,,
1999-08-01,7562.5,,
1999-09-01,7750,,
1999-10-01,8600,,
1999-11-01,8475,,
1999-12-01,8250,,
2000-01-01,8587.5,,
2000-02-01,9125,,
2000-03-01,9700,,
2000-04-01,9975,,
2000-05-01,9850,,
2000-06-01,9970,,
2000-07-01,10187.5,,
2000-08-01,10062.5,,
2000-09-01,10500,,
2000-10-01,10000,,
2000-11-01,9787.5,,
2000-12-01,9300,,
2001-01-01,9000,,
2001-02-01,8975,,
2001-03-01,10950,,
2001-04-01,10062.5,,
2001-05-01,9587.5,,
2001-06-01,9500,,
2001-07-01,9162.5,,
2001-08-01,8000,,
2001-09-01,7687.5,,
2001-10-01,7162.5,,
2001-11-01,6760,,
2001-12-01,7062.5,,
2002-01-01,7637.5,,
2002-02-01,7812.5,,
2002-03-01,8640,,
2002-04-01,8900,,
2002-05-01,8660,,
2002-06-01,8062.5,,
2002-07-01,8325,,
2002-08-01,8660,,
2002-09-01,9512.5,,
2002-10-01,9500,,
2002-11-01,9700,,
2002-12-01,11125,,
2003-01-01,12050,,
2003-02-01,12375,,
2003-03-01,12000,,
2003-04-01,12750,,
2003-05-01,13000,,
2003-06-01,12875,,
2003-07-01,14150,,
2003-08-01,15130,,
2003-09-01,16400,,
2003-10-01,24850,,
2003-11-01,28500,,
2003-12-01,31875,,
2004-01-01,40400,,
2004-02-01,44750,,
2004-03-01,44937.5,,
2004-04-01,35600,,
2004-05-01,25000,,
2004-06-01,19750,,
2004-07-01,26800,,
2004-08-01,30875,,
2004-09-01,30875,,
2004-10-01,32600,,
2004-11-01,35250,,
2004-12-01,37200,,
2005-01-01,36125,,
2005-02-01,35500,,
2005-03-01,37125,,
2005-04-01,32600,,
2005-05-01,27250,,
2005-06-01,24375,,
2005-07-01,19100,,
2005-08-01,18125,,
2005-09-01,20200,,
2005-10-01,20625,,
2005-11-01,18000,,
2005-12-01,16800,,
2006-01-01,15937.5,,
2006-02-01,15437.5,,
2006-03-01,16500,,
2006-04-01,15650,,
2006-05-01,15875,,
2006-06-01,18400,,
2006-07-01,21250,,
2006-08-01,27500,,
2006-09-01,29700,,
2006-10-01,29125,,
2006-11-01,29000,,
2006-12-01,29600,,
2007-01-01,31000,,
2007-02-01,30625,,
2007-03-01,33300,,
2007-04-01,38250,,
2007-05-01,42375,,
2007-06-01,41000,,
2007-07-01,48625,,
2007-08-01,54700,,
2007-09-01,71125,,
2007-10-01,80250,,
2007-11-01,79300,,
2007-12-01,71250,,
2008-01-01,62000,,
2008-02-01,65000,,
2008-03-01,71000,,
2008-04-01,69750,,
2008-05-01,73500,,
2008-06-01,78000,,
2008-07-01,72750,,
2008-08-01,64400,,
2008-09-01,47500,,
2008-10-01,20700,,
2008-11-01,12750,,
2008-12-01,10500,,
2009-01-01,11000,,
2009-02-01,14000,,
2009-03-01,14375,,
2009-04-01,12437.5,,
2009-05-01,15150,,
2009-06-01,18875,,
2009-07-01,19700,,
2009-08-01,17875,,
2009-09-01,18250,,
2009-10-01,17950,,
2009-11-01,22125,,
2009-12-01,22000,,
2010-01-01,23750,,
2010-02-01,23500,,
2010-03-01,26625,,
2010-04-01,27900,,
2010-05-01,27750,,
2010-06-01,23000,,
2010-07-01,20300,,
2010-08-01,24375,,
2010-09-01,24562.5,,
2010-10-01,21650,,
2010-11-01,20250,,
2010-12-01,16650,,
2011-01-01,15937.5,,
2011-02-01,16500,,
2011-03-01,16800,,
2011-04-01,15150,,
2011-05-01,13937.5,,
2011-06-01,13687.5,,
2011-07-01,12280,,
2011-08-01,11875,,
2011-09-01,12850,,
2011-10-01,13562.5,,
2011-11-01,12562.5,,
2011-12-01,12050,,
2012-01-01,10625,,
2012-02-01,10625,,
2012-03-01,10650,,
2012-04-01,10687.5,,
2012-05-01,10375,,
2012-06-01,9450,,
2012-07-01,9500,,
2012-08-01,8950,,
2012-09-01,7250,,
2012-10-01,7750,,
2012-11-01,7730,,
2012-12-01,7375,,
2013-01-01,7625,,
2013-02-01,8000,,
2013-03-01,9250,,
2013-04-01,9000,,
2013-05-01,8100,,
2013-06-01,7375,,
2013-07-01,8062.5,,
2013-08-01,8750,,
2013-09-01,11562.5,,
2013-10-01,12562.5,,
2013-11-01,11600,,
2013-12-01,13187.5,,
2014-01-01,13700,,
2014-02-01,14437.5,,
2014-03-01,14375,,
2014-04-01,12812.5,,
2014-05-01,12200,,
2014-06-01,9812.5,,
2014-07-01,10062.5,11625,10062.5
2014-08-01,10250,11450,10250
2014-09-01,10437.5,12125,10437.5
2014-10-01,10470,11300,10470
2014-11-01,10800,11562.5,10800
2014-12-01,9450,11000,9450
2015-01-01,7850,9650,7850
2015-02-01,7537.5,8250,7537.5
2015-03-01,8025,8250,8025
2015-04-01,7462.5,8500,7462.5
2015-05-01,6550,7850,6550
2015-06-01,7175,8500,7175
2015-07-01,8300,9300,8300
2015-08-01,8500,8812.5,8500
2015-09-01,8287.5,9437.5,8287.5
2015-10-01,7820,8900,7820
2015-11-01,6675,7937.5,6675
2015-12-01,5825,7125,5825
2016-01-01,5380,6300,5380
2016-02-01,5100,5625,5100
2016-03-01,5450,5600,5450
2016-04-01,6060,6090,6060
2016-05-01,5912.5,6287.5,5912.5
2016-06-01,5987.5,6162.5,5987.5
2016-07-01,6580,6520,6580
2016-08-01,6312.5,7062.5,6312.5
2016-09-01,6760,7050,6760
2016-10-01,7650,7387.5,7650
2016-11-01,8025,9950,8025
2016-12-01,8140,10000,8140
2017-01-01,8262.5,9300,8262.5
2017-02-01,9275,9625,9275
2017-03-01,10850,11060,10850
2017-04-01,11925,13100,11925
2017-05-01,9450,11125,9450
2017-06-01,9380,10550,9380
2017-07-01,10812.5,11500,10812.5
2017-08-01,11412.5,12500,11412.5
2017-09-01,12860,13280,12860
2017-10-01,13587.5,13500,13587.5
2017-11-01,11925,13250,11925
2017-12-01,12530,13900,12530
2018-01-01,13125,14625,13125
2018-02-01,13375,14500,13375
2018-03-01,14700,15750,14700
2018-04-01,13900,14250,13900
2018-05-01,13512.5,13062.5,13512.5
2018-06-01,14020,14350,14020
2018-07-01,13837.5,15312.5,13837.5
2018-08-01,13520,14800,13520
2018-09-01,14100,15312.5,14100
2018-10-01,14050,16250,14050
2018-11-01,12840,15150,12840
2018-12-01,12900,15875,12900
2019-01-01,12312.5,14625,12312.5
2019-02-01,11062.5,12000,11062.5
2019-03-01,11970,12300,11970
2019-04-01,11300,13000,11300
2019-05-01,12040,13400,12040
2019-06-01,12250,13500,12250
2019-07-01,13862.5,16000,13862.5
2019-08-01,14410,15900,14410
2019-09-01,14387.5,15000,14387.5
2019-10-01,13587.5,14750,13587.5
2019-11-01,11850,13250,11850
2019-12-01,12125,13375,12125
2020-01-01,10590,12600,10590
2020-02-01,10337.5,12750,10337.5
2020-03-01,10962.5,12125,10962.5
2020-04-01,10100,11062.5,10100
2020-05-01,9770,9800,9770
2020-06-01,10987.5,11687.5,10987.5
2020-07-01,11660,14050,11660
2020-08-01,13012.5,14687.5,13012.5
2020-09-01,12575,13562.5,12575
2020-10-01,12110,12730,12110
2020-11-01,11100,11887.5,11100
2020-12-01,11525,13075,11525
2021-01-01,13080,15110,13080
2021-02-01,15387.5,17187.5,15387.5
2021-03-01,20125,20000,20125
2021-04-01,20600,20450,20600
2021-05-01,24062.5,24625,24062.5
2021-06-01,26437.5,27975,26437.5
2021-07-01,26550,29550,26550
2021-08-01,28187.5,31250,28187.5
2021-09-01,29812.5,31875,29812.5
2021-10-01,31310,32300,31310
2021-11-01,21000,22875,21000
2021-12-01,23490,24900,23490
2022-01-01,23775,25125,23775
2022-02-01,25337.5,26375,25337.5
2022-03-01,29750,29500,29750
2022-04-01,27970,29200,27970
2022-05-01,29375,29787.5,29375
2022-06-01,25500,27000,25500
2022-07-01,20100,20150,20100
2022-08-01,17062.5,17625,17062.5
2022-09-01,16050,16300,16050
2022-10-01,16350,18000,16350
2022-11-01,14750,16250,14750
2022-12-01,15240,16830,15240
2023-01-01,14812.5,16375,14812.5
2023-02-01,15562.5,15875,15562.5
2023-03-01,16950,18200,16950
2023-04-01,17437.5,19000,17437.5
2023-05-01,14875,16250,14875
2023-06-01,13480,14050,13480
2023-07-01,12362.5,12687.5,12362.5
2023-08-01,13043.75,14062.5,13043.75
2023-09-01,13980,15550,13980
2023-10-01,13750,14950,13750
2023-11-01,13875,15050,13875
2023-12-01,15620,16400,15620
2024-01-01,15512.5,16375,15512.5
2024-02-01,16037.5,18000,16037.5
2024-03-01,18130,19560,18130
2024-04-01,16900,18500,16900
2024-05-01,17590,18650,17590
2024-06-01,17237.5,17625,17237.5
2024-07-01,17162.5,17875,17162.5
2024-08-01,16270,17200,16270
2024-09-01,15562.5,16175,15562.5
2024-10-01,15187.5,15500,15187.5
2024-11-01,14860,14650,14860
2024-12-01,12875,12750,12875
2025-01-01,12600,12800,12600
2025-02-01,12812.5,14750,12812.5
2025-03-01,13000,15425,13000
2025-04-01,13000,13687.5,13000
2025-05-01,12700,13660,12700
2025-06-01,12625,13650,12625
2025-07-01,13750,14875,13750
2025-08-01,14000,15600,14000
2025-09-01,14250,16875,14250
2025-10-01,14550,16920,14550
2025-11-01,16000,17125,16000
2025-12-01,14562.5,16375,14562.5
2026-01-01,15150,16700,15150
2026-02-01,17250,18737.5,17250
2026-03-01,17625,18037.5,17625
2026-04-01,17500,18250,17500
2026-05-01,18850,19500,18850
2026-06-01,17937.5,19437.5,17937.5
2026-07-01,17980,19550,17980
2026-08-01,19437.5,20500,19437.5
2026-09-01,20250,21250,20250
