Date,3 Year TC 50000 dwt D/H Eco MR $/day [541556],3 Year TC 150000 dwt D/H Suezmax $/day [49108],3 Year TC 110000 dwt D/H Aframax $/day [49138],3 Year TC 82000 dwt Bulkcarrier Pacific $/day [551189],3 Years TC 61000 dwt Bulkcarrier Pacific $/day [541652]
2001-12-01,,20666.66667,18166.66667,,
2002-01-01,,20000,18125,,
2002-02-01,,19250,18500,,
2002-03-01,,19050,18450,,
2002-04-01,,19687.5,18000,,
2002-05-01,,19750,18450,,
2002-06-01,,19750,18500,,
2002-07-01,,19500,18250,,
2002-08-01,,18850,17500,,
2002-09-01,,19000,17000,,
2002-10-01,,19000,16375,,
2002-11-01,,19400,16400,,
2002-12-01,,22250,18250,,
2003-01-01,,23300,18400,,
2003-02-01,,22750,19500,,
2003-03-01,,24250,19750,,
2003-04-01,,23500,17937.5,,
2003-05-01,,23000,18000,,
2003-06-01,,23375,18000,,
2003-07-01,,24000,18000,,
2003-08-01,,23400,17400,,
2003-09-01,,23250,17250,,
2003-10-01,,24000,18050,,
2003-11-01,,24250,19125,,
2003-12-01,,25625,19750,,
2004-01-01,,26900,20000,,
2004-02-01,,26625,21000,,
2004-03-01,,26500,21750,,
2004-04-01,,28500,22900,,
2004-05-01,,29000,22625,,
2004-06-01,,29000,23000,,
2004-07-01,,29600,24000,,
2004-08-01,,30750,24375,,
2004-09-01,,33000,24500,,
2004-10-01,,37400,27800,,
2004-11-01,,39500,31500,,
2004-12-01,,38600,30400,,
2005-01-01,,35500,27750,,
2005-02-01,,36750,27250,,
2005-03-01,,37500,28250,,
2005-04-01,,35500,29000,,
2005-05-01,,35000,29000,,
2005-06-01,,35000,28500,,
2005-07-01,,35000,28400,,
2005-08-01,,35000,28750,,
2005-09-01,,35000,28000,,
2005-10-01,,36125,27750,,
2005-11-01,,37000,28000,,
2005-12-01,,37000,29000,,
2006-01-01,,37375,29000,,
2006-02-01,,37500,29000,,
2006-03-01,,37100,28700,,
2006-04-01,,36500,27500,,
2006-05-01,,36375,27500,,
2006-06-01,,36800,27900,,
2006-07-01,,37500,28500,,
2006-08-01,,40250,29250,,
2006-09-01,,42000,30000,,
2006-10-01,,39500,29000,,
2006-11-01,,38000,28500,,
2006-12-01,,38000,28500,,
2007-01-01,,38000,29625,,
2007-02-01,,38000,29750,,
2007-03-01,,38000,29400,,
2007-04-01,,38000,29000,,
2007-05-01,,38500,29375,,
2007-06-01,,39000,29750,,
2007-07-01,,41000,30375,,
2007-08-01,,40000,30400,,
2007-09-01,,38000,29687.5,,
2007-10-01,,38000,29625,,
2007-11-01,,37600,29100,,
2007-12-01,,38750,29375,,
2008-01-01,,38250,29500,,
2008-02-01,,37900,29050,,
2008-03-01,,37500,28375,,
2008-04-01,,37500,28125,,
2008-05-01,,39200,28650,,
2008-06-01,,42500,31625,,
2008-07-01,,44500,34375,,
2008-08-01,,45000,34500,,
2008-09-01,,45000,34125,,
2008-10-01,,43600,32100,,
2008-11-01,,40625,28125,,
2008-12-01,,39000,26875,,
2009-01-01,,37800,26150,,
2009-02-01,,36500,25562.5,,
2009-03-01,,33500,23937.5,,
2009-04-01,,31000,21500,,
2009-05-01,,29600,19000,,
2009-06-01,,28000,18625,,
2009-07-01,,27100,18800,,
2009-08-01,,25500,19000,,
2009-09-01,,25000,19000,,
2009-10-01,,25000,19000,,
2009-11-01,,25000,19000,,
2009-12-01,,24500,18500,,
2010-01-01,,25500,18900,,
2010-02-01,,25125,19000,,
2010-03-01,,25000,19000,,
