Date,Baltic Exchange Dry Index [SIN 17259]
2023-01-03,1250
2023-01-04,1176
2023-01-05,1146
2023-01-06,1130
2023-01-09,1139
2023-01-10,1096
2023-01-11,1043
2023-01-12,976
2023-01-13,946
2023-01-16,946
2023-01-17,921
2023-01-18,874
2023-01-19,801
2023-01-20,763
2023-01-23,740
2023-01-24,721
2023-01-25,703
2023-01-26,677
2023-01-27,676
2023-01-30,680
2023-01-31,681
2023-02-01,668
2023-02-02,640
2023-02-03,621
2023-02-06,608
2023-02-07,601
2023-02-08,603
2023-02-09,592
2023-02-10,602
2023-02-13,616
2023-02-14,563
2023-02-15,541
2023-02-16,530
2023-02-17,538
2023-02-20,552
2023-02-21,594
2023-02-22,674
2023-02-23,816
2023-02-24,883
2023-02-27,935
2023-02-28,990
2023-03-01,1099
2023-03-02,1145
2023-03-03,1211
2023-03-06,1258
2023-03-07,1298
2023-03-08,1327
2023-03-09,1379
2023-03-10,1424
2023-03-13,1465
2023-03-14,1587
2023-03-15,1603
2023-03-16,1560
2023-03-17,1535
2023-03-20,1542
2023-03-21,1512
2023-03-22,1456
2023-03-23,1484
2023-03-24,1489
2023-03-27,1456
2023-03-28,1402
2023-03-29,1407
2023-03-30,1403
2023-03-31,1389
2023-04-03,1412
2023-04-04,1473
2023-04-05,1525
2023-04-06,1560
2023-04-11,1507
2023-04-12,1463
2023-04-13,1463
2023-04-14,1435
2023-04-17,1412
2023-04-18,1368
2023-04-19,1372
2023-04-20,1432
2023-04-21,1504
2023-04-24,1517
2023-04-25,1510
2023-04-26,1536
2023-04-27,1581
2023-04-28,1576
2023-05-02,1552
2023-05-03,1558
2023-05-04,1545
2023-05-05,1558
2023-05-09,1598
2023-05-10,1640
2023-05-11,1608
2023-05-12,1558
2023-05-15,1522
2023-05-16,1476
2023-05-17,1425
2023-05-18,1402
2023-05-19,1384
2023-05-22,1365
2023-05-23,1348
2023-05-24,1295
2023-05-25,1215
2023-05-26,1172
2023-05-30,1123
2023-05-31,977
2023-06-01,937
2023-06-02,919
2023-06-05,939
2023-06-06,1016
2023-06-07,1020
2023-06-08,1040
2023-06-09,1055
2023-06-12,1056
2023-06-13,1074
2023-06-14,1079
2023-06-15,1094
2023-06-16,1076
2023-06-19,1065
2023-06-20,1078
2023-06-21,1138
2023-06-22,1216
2023-06-23,1240
2023-06-26,1233
2023-06-27,1183
2023-06-28,1138
2023-06-29,1112
2023-06-30,1091
2023-07-03,1068
2023-07-04,1044
2023-07-05,994
2023-07-06,993
2023-07-07,1009
2023-07-10,1024
2023-07-11,1032
2023-07-12,1088
2023-07-13,1103
2023-07-14,1090
2023-07-17,1073
2023-07-18,1037
2023-07-19,1004
2023-07-20,977
2023-07-21,978
2023-07-24,967
2023-07-25,962
2023-07-26,1067
2023-07-27,1097
2023-07-28,1110
2023-07-31,1127
2023-08-01,1150
2023-08-02,1123
2023-08-03,1128
2023-08-04,1136
2023-08-07,1145
2023-08-08,1142
2023-08-09,1144
2023-08-10,1137
2023-08-11,1129
2023-08-14,1135
2023-08-15,1166
2023-08-16,1233
2023-08-17,1247
2023-08-18,1237
2023-08-21,1223
2023-08-22,1194
2023-08-23,1151
2023-08-24,1110
2023-08-25,1080
2023-08-29,1107
2023-08-30,1094
2023-08-31,1086
2023-09-01,1065
2023-09-04,1083
2023-09-05,1063
2023-09-06,1081
2023-09-07,1141
2023-09-08,1186
2023-09-11,1209
2023-09-12,1235
2023-09-13,1290
2023-09-14,1340
2023-09-15,1381
2023-09-18,1439
2023-09-19,1526
2023-09-20,1584
2023-09-21,1569
2023-09-22,1593
2023-09-25,1614
2023-09-26,1694
2023-09-27,1752
2023-09-28,1716
2023-09-29,1701
2023-10-02,1737
2023-10-03,1780
2023-10-04,1778
2023-10-05,1827
2023-10-06,1929
2023-10-09,1991
2023-10-10,1983
2023-10-11,1948
2023-10-12,1935
2023-10-13,1945
2023-10-16,1972
2023-10-17,2058
2023-10-18,2105
2023-10-19,2071
2023-10-20,2046
2023-10-23,2017
2023-10-24,1949
2023-10-25,1832
2023-10-26,1662
2023-10-27,1563
2023-10-30,1502
2023-10-31,1459
2023-11-01,1401
2023-11-02,1385
2023-11-03,1462
2023-11-06,1523
2023-11-07,1559
2023-11-08,1530
2023-11-09,1598
2023-11-10,1643
2023-11-13,1655
2023-11-14,1662
2023-11-15,1688
2023-11-16,1758
2023-11-17,1820
2023-11-20,1817
2023-11-21,1796
2023-11-22,1755
2023-11-23,1855
2023-11-24,2102
2023-11-27,2259
2023-11-28,2391
2023-11-29,2696
2023-11-30,2937
2023-12-01,3192
2023-12-04,3346
2023-12-05,3143
2023-12-06,2848
2023-12-07,2495
2023-12-08,2483
2023-12-11,2509
2023-12-12,2551
2023-12-13,2438
2023-12-14,2411
2023-12-15,2348
2023-12-18,2288
2023-12-19,2219
2023-12-20,2150
2023-12-21,2087
2023-12-22,2094
2024-01-02,2093
2024-01-03,2091
2024-01-04,2086
2024-01-05,2110
2024-01-08,2022
2024-01-09,1875
2024-01-10,1664
2024-01-11,1554
2024-01-12,1460
2024-01-15,1360
2024-01-16,1324
2024-01-17,1308
2024-01-18,1357
2024-01-19,1503
2024-01-22,1518
2024-01-23,1473
2024-01-24,1507
2024-01-25,1499
2024-01-26,1518
2024-01-29,1460
2024-01-30,1397
2024-01-31,1398
2024-02-01,1388
2024-02-02,1407
2024-02-05,1436
2024-02-06,1516
2024-02-07,1487
2024-02-08,1473
2024-02-09,1545
2024-02-12,1572
2024-02-13,1585
2024-02-14,1582
2024-02-15,1581
2024-02-16,1610
2024-02-19,1629
2024-02-20,1632
2024-02-21,1676
2024-02-22,1752
2024-02-23,1866
2024-02-26,1871
2024-02-27,1899
2024-02-28,2041
2024-02-29,2111
2024-03-01,2203
2024-03-04,2297
2024-03-05,2291
2024-03-06,2176
2024-03-07,2251
2024-03-08,2345
2024-03-11,2377
2024-03-12,2315
2024-03-13,2370
2024-03-14,2350
2024-03-15,2374
2024-03-18,2419
2024-03-19,2392
2024-03-20,2284
2024-03-21,2240
2024-03-22,2196
2024-03-25,2123
2024-03-26,1989
2024-03-27,1845
2024-03-28,1821
2024-04-02,1714
2024-04-03,1711
2024-04-04,1669
2024-04-05,1628
2024-04-08,1594
2024-04-09,1570
2024-04-10,1587
2024-04-11,1690
2024-04-12,1729
2024-04-15,1730
2024-04-16,1779
2024-04-17,1844
2024-04-18,1901
2024-04-19,1919
2024-04-22,1882
2024-04-23,1804
2024-04-24,1774
2024-04-25,1743
2024-04-26,1721
2024-04-29,1684
2024-04-30,1685
2024-05-01,1688
2024-05-02,1774
2024-05-03,1876
2024-05-07,2083
2024-05-08,2203
2024-05-09,2166
2024-05-10,2129
2024-05-13,2066
2024-05-14,1993
2024-05-15,1889
2024-05-16,1817
2024-05-17,1844
2024-05-20,1847
2024-05-21,1829
2024-05-22,1804
2024-05-23,1796
2024-05-24,1797
2024-05-28,1784
2024-05-29,1790
2024-05-30,1801
2024-05-31,1815
2024-06-03,1808
2024-06-04,1813
2024-06-05,1852
2024-06-06,1869
2024-06-07,1881
2024-06-10,1883
2024-06-11,1831
2024-06-12,1836
2024-06-13,1942
2024-06-14,1948
2024-06-17,1948
2024-06-18,1961
2024-06-19,1943
2024-06-20,1984
2024-06-21,1997
2024-06-24,1973
2024-06-25,1926
2024-06-26,1964
2024-06-27,2031
2024-06-28,2050
2024-07-01,2158
2024-07-02,2179
2024-07-03,2064
2024-07-04,2021
2024-07-05,1966
2024-07-08,1940
2024-07-09,1894
2024-07-10,1939
2024-07-11,1947
2024-07-12,1997
2024-07-15,1993
2024-07-16,1942
2024-07-17,1890
2024-07-18,1912
2024-07-19,1902
2024-07-22,1896
2024-07-23,1869
2024-07-24,1864
2024-07-25,1834
2024-07-26,1808
2024-07-29,1797
2024-07-30,1762
2024-07-31,1708
2024-08-01,1668
2024-08-02,1675
2024-08-05,1677
2024-08-06,1685
2024-08-07,1698
2024-08-08,1683
2024-08-09,1670
2024-08-12,1655
2024-08-13,1670
2024-08-14,1728
2024-08-15,1692
2024-08-16,1691
2024-08-19,1708
2024-08-20,1735
2024-08-21,1759
2024-08-22,1768
2024-08-23,1762
2024-08-27,1721
2024-08-28,1755
2024-08-29,1827
2024-08-30,1814
2024-09-02,1919
2024-09-03,1947
2024-09-04,1902
2024-09-05,1919
2024-09-06,1941
2024-09-09,1958
2024-09-10,1941
2024-09-11,1963
2024-09-12,1927
2024-09-13,1890
2024-09-16,1896
2024-09-17,1901
2024-09-18,1890
2024-09-19,1976
2024-09-20,1977
2024-09-23,1999
2024-09-24,2014
2024-09-25,2016
2024-09-26,2091
