Date,Baltic Exchange Supramax Index [SIN 540866]
2023-01-03,968
2023-01-04,912
2023-01-05,871
2023-01-06,839
2023-01-09,825
2023-01-10,803
2023-01-11,762
2023-01-12,715
2023-01-13,686
2023-01-16,673
2023-01-17,661
2023-01-18,657
2023-01-19,654
2023-01-20,652
2023-01-23,645
2023-01-24,649
2023-01-25,648
2023-01-26,645
2023-01-27,650
2023-01-30,658
2023-01-31,670
2023-02-01,680
2023-02-02,684
2023-02-03,682
2023-02-06,680
2023-02-07,667
2023-02-08,651
2023-02-09,636
2023-02-10,628
2023-02-13,625
2023-02-14,627
2023-02-15,640
2023-02-16,660
2023-02-17,695
2023-02-20,727
2023-02-21,807
2023-02-22,872
2023-02-23,940
2023-02-24,996
2023-02-27,1050
2023-02-28,1105
2023-03-01,1156
2023-03-02,1192
2023-03-03,1189
2023-03-06,1180
2023-03-07,1161
2023-03-08,1161
2023-03-09,1180
2023-03-10,1209
2023-03-13,1235
2023-03-14,1263
2023-03-15,1296
2023-03-16,1312
2023-03-17,1318
2023-03-20,1329
2023-03-21,1335
2023-03-22,1337
2023-03-23,1333
2023-03-24,1332
2023-03-27,1326
2023-03-28,1315
2023-03-29,1285
2023-03-30,1237
2023-03-31,1198
2023-04-03,1187
2023-04-04,1176
2023-04-05,1170
2023-04-06,1161
2023-04-11,1131
2023-04-12,1118
2023-04-13,1105
2023-04-14,1096
2023-04-17,1098
2023-04-18,1113
2023-04-19,1151
2023-04-20,1179
2023-04-21,1201
2023-04-24,1212
2023-04-25,1216
2023-04-26,1203
2023-04-27,1185
2023-04-28,1165
2023-05-02,1144
2023-05-03,1123
2023-05-04,1105
2023-05-05,1096
2023-05-09,1097
2023-05-10,1114
2023-05-11,1112
2023-05-12,1105
2023-05-15,1098
2023-05-16,1091
2023-05-17,1090
2023-05-18,1085
2023-05-19,1077
2023-05-22,1063
2023-05-23,1043
2023-05-24,1014
2023-05-25,980
2023-05-26,946
2023-05-30,910
2023-05-31,881
2023-06-01,847
2023-06-02,819
2023-06-05,803
2023-06-06,781
2023-06-07,766
2023-06-08,747
2023-06-09,736
2023-06-12,726
2023-06-13,722
2023-06-14,729
2023-06-15,740
2023-06-16,748
2023-06-19,751
2023-06-20,759
2023-06-21,761
2023-06-22,751
2023-06-23,743
2023-06-26,741
2023-06-27,746
2023-06-28,752
2023-06-29,750
2023-06-30,749
2023-07-03,747
2023-07-04,747
2023-07-05,737
2023-07-06,728
2023-07-07,724
2023-07-10,724
2023-07-11,728
2023-07-12,734
2023-07-13,743
2023-07-14,743
2023-07-17,743
2023-07-18,746
2023-07-19,754
2023-07-20,757
2023-07-21,758
2023-07-24,757
2023-07-25,753
2023-07-26,742
2023-07-27,733
2023-07-28,726
2023-07-31,719
2023-08-01,709
2023-08-02,700
2023-08-03,695
2023-08-04,688
2023-08-07,686
2023-08-08,689
2023-08-09,696
2023-08-10,706
2023-08-11,728
2023-08-14,745
2023-08-15,772
2023-08-16,812
2023-08-17,859
2023-08-18,879
2023-08-21,900
2023-08-22,909
2023-08-23,910
2023-08-24,906
2023-08-25,908
2023-08-29,918
2023-08-30,942
2023-08-31,962
2023-09-01,980
2023-09-04,995
2023-09-05,1008
2023-09-06,1036
2023-09-07,1056
2023-09-08,1079
2023-09-11,1099
2023-09-12,1118
2023-09-13,1156
2023-09-14,1196
2023-09-15,1221
2023-09-18,1240
2023-09-19,1286
2023-09-20,1324
2023-09-21,1350
2023-09-22,1355
2023-09-25,1354
2023-09-26,1339
2023-09-27,1318
2023-09-28,1294
2023-09-29,1276
2023-10-02,1263
2023-10-03,1250
2023-10-04,1244
2023-10-05,1236
2023-10-06,1233
2023-10-09,1232
2023-10-10,1250
2023-10-11,1261
2023-10-12,1266
2023-10-13,1268
2023-10-16,1269
2023-10-17,1277
2023-10-18,1285
2023-10-19,1287
2023-10-20,1287
2023-10-23,1279
2023-10-24,1266
2023-10-25,1247
2023-10-26,1227
2023-10-27,1184
2023-10-30,1159
2023-10-31,1135
2023-11-01,1119
2023-11-02,1108
2023-11-03,1101
2023-11-06,1098
2023-11-07,1097
2023-11-08,1104
2023-11-09,1116
2023-11-10,1125
2023-11-13,1127
2023-11-14,1133
2023-11-15,1141
2023-11-16,1178
2023-11-17,1205
2023-11-20,1217
2023-11-21,1232
2023-11-22,1247
2023-11-23,1265
2023-11-24,1279
2023-11-27,1292
2023-11-28,1321
2023-11-29,1360
2023-11-30,1425
2023-12-01,1489
2023-12-04,1526
2023-12-05,1565
2023-12-06,1552
2023-12-07,1538
2023-12-08,1521
2023-12-11,1506
2023-12-12,1480
2023-12-13,1463
2023-12-14,1442
2023-12-15,1426
2023-12-18,1419
2023-12-19,1408
2023-12-20,1397
2023-12-21,1378
2023-12-22,1369
2024-01-02,1308
2024-01-03,1271
2024-01-04,1236
2024-01-05,1212
2024-01-08,1194
2024-01-09,1162
2024-01-10,1135
2024-01-11,1108
2024-01-12,1088
2024-01-15,1078
2024-01-16,1060
2024-01-17,1039
2024-01-18,1029
2024-01-19,1030
2024-01-22,1027
2024-01-23,1033
2024-01-24,1050
2024-01-25,1062
2024-01-26,1065
2024-01-29,1065
2024-01-30,1061
2024-01-31,1055
2024-02-01,1048
2024-02-02,1041
2024-02-05,1037
2024-02-06,1041
2024-02-07,1047
2024-02-08,1050
2024-02-09,1053
2024-02-12,1048
2024-02-13,1047
2024-02-14,1052
2024-02-15,1058
2024-02-16,1071
2024-02-19,1090
2024-02-20,1129
2024-02-21,1154
2024-02-22,1174
2024-02-23,1189
2024-02-26,1198
2024-02-27,1220
2024-02-28,1239
2024-02-29,1257
2024-03-01,1267
2024-03-04,1282
2024-03-05,1297
2024-03-06,1312
2024-03-07,1317
2024-03-08,1318
2024-03-11,1316
2024-03-12,1306
2024-03-13,1301
2024-03-14,1314
2024-03-15,1326
2024-03-18,1338
2024-03-19,1351
2024-03-20,1370
2024-03-21,1379
2024-03-22,1383
2024-03-25,1386
2024-03-26,1375
2024-03-27,1353
2024-03-28,1331
2024-04-02,1303
2024-04-03,1284
2024-04-04,1273
2024-04-05,1261
2024-04-08,1258
2024-04-09,1259
2024-04-10,1260
2024-04-11,1261
2024-04-12,1272
2024-04-15,1280
2024-04-16,1311
2024-04-17,1337
2024-04-18,1365
2024-04-19,1394
2024-04-22,1410
2024-04-23,1430
2024-04-24,1456
2024-04-25,1488
2024-04-26,1495
2024-04-29,1492
2024-04-30,1485
2024-05-01,1478
2024-05-02,1466
2024-05-03,1458
2024-05-07,1461
2024-05-08,1477
2024-05-09,1488
2024-05-10,1485
2024-05-13,1485
2024-05-14,1475
2024-05-15,1453
2024-05-16,1425
2024-05-17,1405
2024-05-20,1392
2024-05-21,1382
2024-05-22,1371
2024-05-23,1345
2024-05-24,1326
2024-05-28,1309
2024-05-29,1293
2024-05-30,1286
2024-05-31,1278
2024-06-03,1272
2024-06-04,1265
2024-06-05,1258
2024-06-06,1255
2024-06-07,1254
2024-06-10,1257
2024-06-11,1271
2024-06-12,1297
2024-06-13,1313
2024-06-14,1335
2024-06-17,1346
2024-06-18,1362
2024-06-19,1374
2024-06-20,1389
2024-06-21,1398
2024-06-24,1405
2024-06-25,1412
2024-06-26,1412
2024-06-27,1399
2024-06-28,1385
2024-07-01,1369
2024-07-02,1351
2024-07-03,1340
2024-07-04,1337
2024-07-05,1335
2024-07-08,1334
2024-07-09,1347
2024-07-10,1353
2024-07-11,1361
