Date,Average Earnings All Tankers $/day [51116],Average Weighted Crude Tanker Earnings $/day [546177],Average Suezmax c.2010-built Earnings $/day [531088]
1990-01-05,25048.96728,28171.24644,
1990-01-12,25047.3789,27437.92565,
1990-01-19,23925.21261,25311.74709,
1990-01-26,19054.75128,20210.90245,
1990-02-02,18372.85943,19479.53422,
1990-02-09,17078.58909,19452.25833,
1990-02-16,19247.99992,22404.73352,
1990-02-23,19314.96777,23045.13062,
1990-03-02,19356.92114,22653.39375,
1990-03-09,20782.78045,25577.37589,
1990-03-16,21748.90898,28176.2317,
1990-03-23,23408.64992,27282.1632,
1990-03-30,23821.52654,28635.94889,
1990-04-06,22649.2229,26095.49691,
1990-04-13,21437.93779,24496.31846,
1990-04-20,19917.46726,22223.1242,
1990-04-27,17276.03035,19943.47541,
1990-05-04,16021.8363,18270.27885,
1990-05-11,17274.56723,19864.25675,
1990-05-18,18744.76331,22031.94971,
1990-05-25,18014.68118,20641.63427,
1990-06-01,17985.7884,20236.41229,
1990-06-08,17389.56162,19311.28442,
1990-06-15,16453.56266,18443.99023,
1990-06-22,16666.83599,19022.79402,
1990-06-29,18098.98946,20630.18497,
1990-07-06,17656.89879,20230.13434,
1990-07-13,17848.16716,20778.88114,
1990-07-20,19159.86859,22329.88631,
1990-07-27,19370.70232,22640.926,
1990-08-03,18186.17183,20985.59786,
1990-08-10,15927.8379,18058.18095,
1990-08-17,14965.32669,17123.7391,
1990-08-24,12651.74295,14219.0595,
1990-08-31,13844.57883,15617.47075,
1990-09-07,15450.8574,17682.28345,
1990-09-14,17648.8781,20324.18759,
1990-09-21,16832.0414,18536.82245,
1990-09-28,16410.28011,17167.22039,
1990-10-05,15779.97516,16577.16549,
1990-10-12,15293.86079,16210.71065,
1990-10-19,15807.15311,16185.3776,
1990-10-26,16240.12638,15866.2847,
1990-11-02,16283.16522,17400.79823,
1990-11-09,17868.12239,19592.31306,
1990-11-16,18507.39587,20961.18351,
1990-11-23,18193.6668,20748.14053,
1990-11-30,21718.24432,23938.03689,
1990-12-07,22243.51301,24707.00412,
1990-12-14,22819.70501,26995.15565,
1990-12-21,24232.58414,29662.54504,
1990-12-28,24198.68617,30314.33805,
1991-01-04,23280.72671,28963.29956,
1991-01-11,23277.47028,30519.72504,
1991-01-18,22322.1656,29141.22033,
1991-01-25,28912.3655,35840.57522,
1991-02-01,32191.7753,38414.03514,
1991-02-08,34905.63428,43153.19252,
1991-02-15,38653.22227,48056.48976,
1991-02-22,37841.63195,45804.81664,
1991-03-01,29523.86776,34379.55126,
1991-03-08,25931.92983,29111.75324,
1991-03-15,25901.67432,28947.87231,
1991-03-22,23682.22667,26161.08045,
1991-03-29,22461.41777,24152.25534,
1991-04-05,21706.36703,23534.79882,
1991-04-12,19438.89259,20611.53551,
1991-04-19,16375.05341,17363.67272,
1991-04-26,18178.3032,19265.99539,
1991-05-03,20343.29178,22887.87648,
1991-05-10,23827.36229,27139.00333,
1991-05-17,27522.6966,33747.68215,
1991-05-24,27881.09158,34711.32008,
1991-05-31,27079.23854,33439.44692,
1991-06-07,26740.75195,33025.32068,
1991-06-14,27857.48495,35785.66474,
1991-06-21,28061.84225,35385.64534,
1991-06-28,26397.14874,31155.74412,
1991-07-05,21274.99282,25707.93677,
1991-07-12,19665.57916,23775.27693,
1991-07-19,20785.49782,25404.06117,
1991-07-26,22164.32566,27647.76725,
1991-08-02,21048.23024,25422.23764,
1991-08-09,20042.48656,23996.78716,
1991-08-16,20084.60879,24197.64872,
1991-08-23,19027.6956,24091.98264,
1991-08-30,18926.90457,23086.26526,
1991-09-06,17480.2005,20980.73959,
1991-09-13,17021.303,20524.25745,
1991-09-20,16045.08239,18814.05766,
1991-09-27,18357.98153,22123.52308,
1991-10-04,17921.17911,22448.59897,
1991-10-11,17286.98655,20956.05207,
1991-10-18,18667.95101,21903.82244,
1991-10-25,19379.77436,22907.35709,
1991-11-01,19919.79548,22936.955,
1991-11-08,19417.50063,22716.66566,
1991-11-15,17470.0464,20701.76487,
1991-11-22,16929.34597,20076.88891,
1991-11-29,16489.88729,19389.14929,
1991-12-06,15574.57726,18177.843,
1991-12-13,14546.42839,16891.57489,
1991-12-20,12989.12478,15080.36914,
1991-12-27,13004.10834,15111.97045,
1992-01-03,12231.30343,14506.49335,
1992-01-10,14064.92853,16216.65081,
1992-01-17,15161.0932,17610.53859,
1992-01-24,15872.76582,18531.31821,
1992-01-31,15053.13932,17385.11738,
1992-02-07,13187.43686,14572.05215,
1992-02-14,12802.40887,14654.26578,
1992-02-21,11285.63565,12758.60256,
1992-02-28,11093.93111,13226.80884,
1992-03-06,11452.66344,14075.12123,
1992-03-13,10710.81767,12683.49421,
1992-03-20,10401.98677,11923.54786,
1992-03-27,10433.4076,11424.87646,
1992-04-03,9997.57976,10675.00452,
1992-04-10,9571.10856,10003.57365,
1992-04-17,9822.35439,10480.14717,
1992-04-24,11393.17702,12976.42846,
1992-05-01,11475.18872,12939.58392,
1992-05-08,10479.06723,11726.56224,
1992-05-15,10359.23148,11348.49825,
1992-05-22,10414.41648,11319.2381,
1992-05-29,9735.2708,10033.0461,
1992-06-05,8915.02865,9154.68419,
1992-06-12,8960.47933,9677.43244,
1992-06-19,8625.03734,8801.82928,
1992-06-26,9015.95906,9338.9969,
1992-07-03,9586.06105,10191.40108,
1992-07-10,10374.78919,11575.78349,
1992-07-17,10430.38884,11378.16635,
1992-07-24,11072.99354,12487.55984,
1992-07-31,10462.58271,11750.59743,
1992-08-07,10452.17703,11553.18368,
1992-08-14,10420.1778,11176.32529,
1992-08-21,10385.87446,11173.5346,
1992-08-28,10594.33684,11700.45269,
1992-09-04,10177.18559,11091.24423,
1992-09-11,9690.80955,10505.1402,
1992-09-18,9553.06778,10205.64494,
1992-09-25,10647.34275,11407.27778,
1992-10-02,10829.31429,11931.22668,
1992-10-09,11280.00873,12478.72507,
1992-10-16,11292.70729,12594.80509,
1992-10-23,12712.54496,13873.20199,
1992-10-30,12488.93462,13882.23535,
1992-11-06,13176.16142,15204.0717,
1992-11-13,15595.02441,17668.99193,
1992-11-20,14845.07523,17310.65963,
1992-11-27,14637.10979,16698.30403,
1992-12-04,17477.84175,20617.02418,
1992-12-11,16770.89201,19912.35234,
1992-12-18,16460.91905,18726.272,
1992-12-25,17204.83628,19965.16306,
1993-01-01,18108.1001,21396.25777,
1993-01-08,18118.69515,21070.39984,
1993-01-15,18405.42714,22020.35288,
1993-01-22,17553.10107,20871.46795,
1993-01-29,16260.0835,18961.43841,
1993-02-05,15399.83481,17719.90545,
1993-02-12,15833.34968,18835.80742,
1993-02-19,15766.39666,19121.75553,
1993-02-26,15365.97276,18675.29374,
1993-03-05,13801.96451,16550.97011,
1993-03-12,13855.63058,16536.62092,
1993-03-19,15745.15455,19176.21843,
1993-03-26,17058.98728,21271.74842,
1993-04-02,15355.70407,18475.80127,
1993-04-09,14739.00155,18021.2384,
1993-04-16,15032.88737,17936.36254,
1993-04-23,14619.53938,17831.73487,
1993-04-30,14235.08392,17312.8094,
1993-05-07,13555.68741,16124.57468,
1993-05-14,13766.3816,16268.87303,
1993-05-21,13962.73319,16593.03948,
1993-05-28,14677.0201,17966.53275,
1993-06-04,14379.14595,17135.95914,
1993-06-11,14302.08138,17165.7995,
1993-06-18,14684.22956,17720.74319,
1993-06-25,17110.19106,20726.53141,
1993-07-02,16762.69749,20602.95114,
1993-07-09,17594.29321,22434.46189,
1993-07-16,17617.98061,22014.54594,
1993-07-23,17294.81615,21526.50477,
1993-07-30,15737.10886,18725.81382,
1993-08-06,14586.71563,17666.49562,
1993-08-13,13898.8122,16520.86294,
1993-08-20,12944.05809,14740.84168,
1993-08-27,13190.40192,14860.96145,
1993-09-03,13475.97348,14984.84903,
1993-09-10,14299.16259,15879.92541,
1993-09-17,14172.57941,15949.9319,
1993-09-24,13806.84314,15782.73519,
1993-10-01,13784.05537,16091.56473,
1993-10-08,14198.23429,16449.66736,
1993-10-15,14444.71192,16893.96232,
1993-10-22,14889.35685,17075.868,
1993-10-29,15389.94665,17039.08468,
1993-11-05,15151.76889,17881.69571,
1993-11-12,14812.5589,16460.31,
1993-11-19,15094.47313,17306.13457,
1993-11-26,15396.39336,17984.95654,
1993-12-03,14858.41755,17615.09494,
1993-12-10,14469.21479,16359.96945,
1993-12-17,13753.0275,15559.60301,
1993-12-24,13925.6021,15303.75927,
1993-12-31,13195.85407,14662.0386,
1994-01-07,12879.15506,13764.51675,
1994-01-14,12753.20288,12731.94384,
1994-01-21,12485.84023,12767.72965,
1994-01-28,11949.01479,11747.80619,
