Date,Average Weighted Clean Product Tanker Earnings $/day [51067],Average MR Clean c.2010-built Earnings $/day [545055]
1990-01-05,16324.3157,
1990-01-12,16286.16922,
1990-01-19,17154.65847,
1990-01-26,15007.16211,
1990-02-02,12622.05947,
1990-02-09,10351.00709,
1990-02-16,9347.28675,
1990-02-23,8769.38541,
1990-03-02,8866.97928,
1990-03-09,8838.59,
1990-03-16,8656.66644,
1990-03-23,8401.04917,
1990-03-30,8275.97716,
1990-04-06,7801.34051,
1990-04-13,8070.76078,
1990-04-20,8356.8919,
1990-04-27,9044.60783,
1990-05-04,9297.37233,
1990-05-11,10367.098,
1990-05-18,11105.51915,
1990-05-25,11011.44882,
1990-06-01,10542.23519,
1990-06-08,10000.00761,
1990-06-15,9899.57015,
1990-06-22,10139.55511,
1990-06-29,10025.70501,
1990-07-06,9667.58346,
1990-07-13,9304.63987,
1990-07-20,9332.60179,
1990-07-27,9686.3976,
1990-08-03,9137.39081,
1990-08-10,9019.36732,
1990-08-17,9006.22466,
1990-08-24,7965.11427,
1990-08-31,8535.86706,
1990-09-07,9487.04587,
1990-09-14,10225.45268,
1990-09-21,12015.6791,
1990-09-28,15441.03107,
1990-10-05,15638.94051,
1990-10-12,15443.34519,
1990-10-19,18076.04492,
1990-10-26,16873.23791,
1990-11-02,16673.0994,
1990-11-09,15870.51403,
1990-11-16,16246.1041,
1990-11-23,16304.83204,
1990-11-30,15092.2453,
1990-12-07,14857.89319,
1990-12-14,14375.21026,
1990-12-21,12248.45996,
1990-12-28,11835.7501,
1991-01-04,11183.25272,
1991-01-11,10053.24867,
1991-01-18,12146.70144,
1991-01-25,16886.24865,
1991-02-01,16818.30523,
1991-02-08,17578.23288,
1991-02-15,18095.06813,
1991-02-22,20262.03322,
1991-03-01,20412.5784,
1991-03-08,18430.72863,
1991-03-15,16495.3834,
1991-03-22,15214.81502,
1991-03-29,13491.79063,
1991-04-05,12495.54946,
1991-04-12,11318.40223,
1991-04-19,10845.49044,
1991-04-26,11161.19212,
1991-05-03,10872.84966,
1991-05-10,10696.06233,
1991-05-17,10733.54191,
1991-05-24,9625.82041,
1991-05-31,9070.26085,
1991-06-07,8294.51094,
1991-06-14,7393.01306,
1991-06-21,7357.04234,
1991-06-28,7138.9448,
1991-07-05,6803.33401,
1991-07-12,6203.9085,
1991-07-19,5453.19937,
1991-07-26,5603.1246,
1991-08-02,5583.71944,
1991-08-09,5579.04959,
1991-08-16,5816.42755,
1991-08-23,6507.22492,
1991-08-30,6492.93572,
1991-09-06,6609.1701,
1991-09-13,6577.94816,
1991-09-20,6385.02931,
1991-09-27,6625.83624,
1991-10-04,6049.50882,
1991-10-11,5421.43483,
1991-10-18,7342.66073,
1991-10-25,8390.38768,
1991-11-01,8131.55496,
1991-11-08,7869.69756,
1991-11-15,7639.87832,
1991-11-22,7820.65537,
1991-11-29,7613.95186,
1991-12-06,7551.67275,
1991-12-13,8171.59585,
1991-12-20,9423.44354,
1991-12-27,9290.35641,
1992-01-03,9053.60404,
1992-01-10,8187.05494,
1992-01-17,9156.27582,
1992-01-24,9630.7019,
1992-01-31,8741.41144,
1992-02-07,8125.69898,
1992-02-14,7552.26209,
1992-02-21,7348.55885,
1992-02-28,7008.40795,
1992-03-06,6638.46899,
1992-03-13,5886.8326,
1992-03-20,6259.65269,
1992-03-27,6835.78297,
1992-04-03,7472.92995,
1992-04-10,6766.76677,
1992-04-17,6509.14666,
1992-04-24,6006.96302,
1992-05-01,5710.80105,
1992-05-08,5834.48768,
1992-05-15,5625.71238,
1992-05-22,6130.0854,
1992-05-29,7117.60767,
1992-06-05,7216.43504,
1992-06-12,6786.98699,
1992-06-19,6604.8186,
1992-06-26,6450.86119,
1992-07-03,6397.03206,
1992-07-10,6384.17247,
1992-07-17,6075.68025,
1992-07-24,6010.1829,
1992-07-31,5941.61635,
1992-08-07,6000.13261,
1992-08-14,6340.74129,
1992-08-21,6569.01231,
1992-08-28,6878.37334,
1992-09-04,6630.20544,
1992-09-11,6476.27163,
1992-09-18,6330.63023,
1992-09-25,6008.46077,
1992-10-02,5987.30145,
1992-10-09,5742.22271,
1992-10-16,5706.89872,
1992-10-23,5701.76225,
1992-10-30,5797.77021,
1992-11-06,5578.19076,
1992-11-13,6006.98899,
1992-11-20,6290.97631,
1992-11-27,6317.18071,
1992-12-04,6569.27801,
1992-12-11,6922.69443,
1992-12-18,7577.80751,
1992-12-25,8097.7224,
1993-01-01,9205.44055,
1993-01-08,8784.74529,
1993-01-15,9651.97185,
1993-01-22,9109.49967,
1993-01-29,8717.58817,
1993-02-05,8328.29515,
1993-02-12,7674.43936,
1993-02-19,7513.54803,
1993-02-26,7195.20821,
1993-03-05,6829.29586,
1993-03-12,6882.20823,
1993-03-19,7276.16107,
1993-03-26,7227.74049,
1993-04-02,7130.31004,
1993-04-09,6644.46063,
1993-04-16,6640.25558,
1993-04-23,6722.46305,
1993-04-30,6870.73815,
1993-05-07,6952.62791,
1993-05-14,6950.38154,
1993-05-21,7311.3737,
1993-05-28,7559.5453,
1993-06-04,7404.08184,
1993-06-11,7750.01172,
1993-06-18,7555.89618,
1993-06-25,7569.48063,
1993-07-02,7837.93038,
1993-07-09,7723.15169,
1993-07-16,8053.8116,
1993-07-23,7888.01069,
1993-07-30,7736.18805,
1993-08-06,7407.82394,
1993-08-13,7609.16437,
1993-08-20,7629.09411,
1993-08-27,7882.26471,
1993-09-03,8520.08983,
1993-09-10,8570.13613,
1993-09-17,8811.6628,
1993-09-24,8457.59999,
1993-10-01,8460.01499,
1993-10-08,8468.99918,
1993-10-15,8205.60674,
1993-10-22,8951.62588,
1993-10-29,9255.45437,
1993-11-05,9108.37888,
1993-11-12,9631.76886,
1993-11-19,10633.5478,
1993-11-26,10869.47455,
1993-12-03,11140.72363,
1993-12-10,11398.39442,
1993-12-17,11025.33139,
1993-12-24,11496.39525,
1993-12-31,11296.22447,
1994-01-07,11328.74264,
1994-01-14,11074.38396,
1994-01-21,10580.87685,
1994-01-28,11245.50251,
1994-02-04,11114.9526,
1994-02-11,10989.59513,
1994-02-18,10641.00383,
1994-02-25,11577.35118,
1994-03-04,11684.38038,
1994-03-11,11964.40882,
1994-03-18,11565.43525,
1994-03-25,10917.94652,
1994-04-01,11031.32201,
1994-04-08,10477.10006,
1994-04-15,10729.78637,
1994-04-22,10601.64568,
1994-04-29,10331.72682,
1994-05-06,10141.45158,
1994-05-13,9830.16907,
1994-05-20,9769.52506,
