Date,Average Aframax c.2010-built Earnings $/day [SIN 531168]
2009-01-02,35126.298
2009-01-09,22032.46343
2009-01-16,27090.35965
2009-01-23,26428.92278
2009-01-30,16689.87204
2009-02-06,17326.95297
2009-02-13,19227.22951
2009-02-20,23196.95438
2009-02-27,22689.60655
2009-03-06,21229.88314
2009-03-13,20976.50034
2009-03-20,19664.94557
2009-03-27,17272.19586
2009-04-03,12276.66741
2009-04-10,9453.35891
2009-04-17,9746.97235
2009-04-24,12179.6065
2009-05-01,11026.60866
2009-05-08,10239.88698
2009-05-15,9148.70124
2009-05-22,7366.71243
2009-05-29,7063.29198
2009-06-05,7864.68573
2009-06-12,15757.77099
2009-06-19,29467.96655
2009-06-26,19548.82935
2009-07-03,7788.99803
2009-07-10,8735.23158
2009-07-17,8796.30688
2009-07-24,7006.6773
2009-07-31,5750.55099
2009-08-07,4051.49671
2009-08-14,6119.60816
2009-08-21,5514.68082
2009-08-28,5059.58171
2009-09-04,4693.57068
2009-09-11,4860.07354
2009-09-18,7101.93434
2009-09-25,7730.27737
2009-10-02,8762.60498
2009-10-09,11212.70585
2009-10-16,10573.50058
2009-10-23,8112.06353
2009-10-30,7943.68453
2009-11-06,9955.85178
2009-11-13,14555.47305
2009-11-20,15088.57426
2009-11-27,22483.15919
2009-12-04,22470.77681
2009-12-11,24610.45493
2009-12-18,28019.844
2009-12-25,30170.59615
2010-01-01,29002.6305
2010-01-08,21710.62762
2010-01-15,23712.19661
2010-01-22,24497.9915
2010-01-29,19509.24179
2010-02-05,17101.0613
2010-02-12,15610.04134
2010-02-19,13720.11736
2010-02-26,12164.27332
2010-03-05,11712.07354
2010-03-12,19956.56155
2010-03-19,40650.74761
2010-03-26,34147.13784
2010-04-02,21574.32659
2010-04-09,16952.06124
2010-04-16,19119.39454
2010-04-23,14895.62864
2010-04-30,13342.9336
2010-05-07,20976.30843
2010-05-14,33880.93582
2010-05-21,42401.97965
2010-05-28,28614.46782
2010-06-04,16575.78754
2010-06-11,13212.10218
2010-06-18,13689.89015
2010-06-25,19179.51431
2010-07-02,15961.71808
2010-07-09,14382.97813
2010-07-16,16048.84221
2010-07-23,17283.20069
2010-07-30,13001.43993
2010-08-06,11245.92991
2010-08-13,16328.809
2010-08-20,12518.9224
2010-08-27,10486.97463
2010-09-03,8706.61993
2010-09-10,8173.43971
2010-09-17,7876.76993
2010-09-24,8318.63586
2010-10-01,7909.2121
2010-10-08,14135.359
2010-10-15,10786.72836
2010-10-22,10835.0644
2010-10-29,8509.33919
2010-11-05,6671.93598
2010-11-12,5762.23082
2010-11-19,12847.70702
2010-11-26,12782.77433
2010-12-03,28026.14063
2010-12-10,32549.38991
2010-12-17,27094.28
2010-12-24,21943.61097
2010-12-31,17313.89564
2011-01-07,9337.25057
2011-01-14,7281.09032
2011-01-21,6277.85879
2011-01-28,6905.18763
2011-02-04,7054.13468
2011-02-11,8984.8871
2011-02-18,15879.58625
2011-02-25,30307.67016
2011-03-04,39737.06056
2011-03-11,26640.22537
2011-03-18,21956.76002
2011-03-25,18521.27626
2011-04-01,17559.78349
2011-04-08,10751.29556
2011-04-15,11988.24047
2011-04-22,14040.67023
2011-04-29,11965.84496
2011-05-06,9804.06542
2011-05-13,10081.74547
2011-05-20,11917.97532
2011-05-27,11480.13214
2011-06-03,7233.7004
2011-06-10,6814.36032
2011-06-17,9230.746
2011-06-24,9240.92264
2011-07-01,8550.56347
2011-07-08,8616.28656
2011-07-15,8273.41148
2011-07-22,8131.17612
2011-07-29,7308.41025
2011-08-05,7986.73408
2011-08-12,9090.71407
2011-08-19,7926.96011
2011-08-26,6864.05098
2011-09-02,5649.85577
2011-09-09,4803.28994
2011-09-16,5536.23656
2011-09-23,5761.68311
2011-09-30,7032.79382
2011-10-07,18565.38072
2011-10-14,22140.64843
2011-10-21,17579.07467
2011-10-28,9626.61437
2011-11-04,7478.17822
2011-11-11,5594.20072
2011-11-18,7009.74834
2011-11-25,8354.77573
2011-12-02,8357.23594
2011-12-09,22737.31876
2011-12-16,20852.41217
2011-12-23,21387.17967
2011-12-30,22150.80544
2012-01-06,19141.79956
2012-01-13,15276.22793
2012-01-20,18999.83753
2012-01-27,14704.73073
2012-02-03,14058.80711
2012-02-10,11966.57331
2012-02-17,12058.9731
2012-02-24,11180.31021
2012-03-02,10082.8401
2012-03-09,13940.60911
2012-03-16,19239.74997
2012-03-23,14670.75477
2012-03-30,13197.43554
2012-04-06,13709.00837
2012-04-13,13328.26674
2012-04-20,13198.06301
2012-04-27,12612.25154
2012-05-04,11918.33243
2012-05-11,12220.22072
2012-05-18,11584.51062
2012-05-25,12678.53127
2012-06-01,13173.072
2012-06-08,14200.19509
2012-06-15,18274.11147
2012-06-22,16900.99863
2012-06-29,19334.79716
2012-07-06,15723.0414
2012-07-13,13248.59167
2012-07-20,10852.5617
2012-07-27,10991.66423
2012-08-03,10606.60741
2012-08-10,9001.44984
2012-08-17,8114.23969
2012-08-24,7981.25506
2012-08-31,8687.19433
2012-09-07,10172.11321
2012-09-14,9274.34133
2012-09-21,10401.52333
2012-09-28,9611.01541
2012-10-05,9730.60762
2012-10-12,8237.012
2012-10-19,8394.19165
2012-10-26,9666.41965
2012-11-02,11529.19698
2012-11-09,11213.14677
2012-11-16,10504.1046
2012-11-23,9998.44294
2012-11-30,8959.89762
2012-12-07,8902.13291
2012-12-14,13857.98703
2012-12-21,18275.59448
2012-12-28,16539.40985
2013-01-04,13504.27105
2013-01-11,10808.50894
2013-01-18,10328.81281
2013-01-25,13511.33672
2013-02-01,12362.22026
2013-02-08,9389.76632
2013-02-15,9760.74214
2013-02-22,10764.93101
2013-03-01,12670.01429
2013-03-08,14176.05775
2013-03-15,14595.8321
2013-03-22,17994.32028
2013-03-29,18281.60026
2013-04-05,27083.88709
2013-04-12,23414.56448
2013-04-19,14017.42512
2013-04-26,10487.93997
2013-05-03,9987.95076
2013-05-10,8728.19121
2013-05-17,9418.54241
2013-05-24,9895.36882
2013-05-31,9258.34316
2013-06-07,9771.30536
2013-06-14,9339.87477
2013-06-21,11997.73571
2013-06-28,11165.6526
2013-07-05,10237.56022
2013-07-12,9327.00703
2013-07-19,17998.7824
2013-07-26,13773.85423
2013-08-02,11538.57722
2013-08-09,11738.20668
2013-08-16,14799.72292
2013-08-23,21376.43942
2013-08-30,14320.32065
2013-09-06,10289.47837
2013-09-13,9554.31008
2013-09-20,10030.36372
2013-09-27,8971.3839
2013-10-04,10948.67569
2013-10-11,9499.92412
2013-10-18,17495.72197
2013-10-25,11578.13973
2013-11-01,8886.24485
2013-11-08,9866.71697
2013-11-15,10557.83037
2013-11-22,10484.3339
2013-11-29,12163.56521
2013-12-06,16922.88046
2013-12-13,30001.41115
2013-12-20,40089.04424
2013-12-27,49635.40729
2014-01-03,46078.97399
2014-01-10,44516.54801
2014-01-17,73298.10984
2014-01-24,58097.65798
2014-01-31,37902.20336
2014-02-07,17711.92113
2014-02-14,14577.37541
2014-02-21,14990.74421
2014-02-28,13631.2456
2014-03-07,10676.55046
2014-03-14,13739.76597
2014-03-21,18837.09625
2014-03-28,15195.55152
2014-04-04,14576.97367
2014-04-11,17828.71331
2014-04-18,17560.28038
2014-04-25,14908.94325
2014-05-02,13477.10359
2014-05-09,13142.67064
2014-05-16,13726.37414
2014-05-23,16671.84507
2014-05-30,13546.68096
2014-06-06,10779.06104
2014-06-13,12001.94889
2014-06-20,23931.56252
2014-06-27,15211.80967
2014-07-04,17269.70942
2014-07-11,17783.75248
2014-07-18,43146.30342
2014-07-25,39173.29434
2014-08-01,21081.03504
2014-08-08,27151.40167
2014-08-15,21780.61474
2014-08-22,25942.40929
2014-08-29,22770.72739
2014-09-05,15479.43933
2014-09-12,13473.15953
2014-09-19,13123.49077
2014-09-26,12844.65544
2014-10-03,14469.61817
2014-10-10,18594.96079
2014-10-17,23444.89645
2014-10-24,22051.08027
2014-10-31,31175.77171
2014-11-07,36944.8816
2014-11-14,43256.81974
2014-11-21,54519.89053
2014-11-28,38084.43063
2014-12-05,30924.53048
2014-12-12,34855.85947
2014-12-19,34461.59012
2014-12-26,34233.07399
2015-01-02,36686.74149
2015-01-09,41409.08312
2015-01-16,47974.20082
2015-01-23,47682.30508
2015-01-30,38882.45044
2015-02-06,51935.59937
2015-02-13,38185.48485
2015-02-20,34159.61792
2015-02-27,36111.22525
2015-03-06,35293.24952
2015-03-13,34640.32665
2015-03-20,35878.96073
2015-03-27,37457.85238
2015-04-03,42539.41483
2015-04-10,37601.11921
2015-04-17,41431.2945
2015-04-24,36277.69403
2015-05-01,32722.63155
2015-05-08,31397.00562
2015-05-15,29154.59108
2015-05-22,45038.74838
2015-05-29,41972.55871
2015-06-05,41727.88391
2015-06-12,54322.09793
2015-06-19,58131.79065
2015-06-26,60731.54479
2015-07-03,43525.02811
2015-07-10,32598.43305
2015-07-17,31106.10754
2015-07-24,32899.07104
2015-07-31,30946.2469
2015-08-07,31259.28563
2015-08-14,30417.14422
2015-08-21,28208.21919
2015-08-28,27487.06102
2015-09-04,25974.8828
2015-09-11,26508.7649
2015-09-18,24922.49083
2015-09-25,24227.50928
2015-10-02,25750.08318
2015-10-09,33007.77391
2015-10-16,33525.5557
2015-10-23,34927.73911
2015-10-30,37498.14543
2015-11-06,39025.4876
2015-11-13,42998.60628
2015-11-20,44621.3505
2015-11-27,42559.04709
2015-12-04,47694.22814
2015-12-11,45205.99416
2015-12-18,44706.67895
2015-12-25,43837.62801
2016-01-01,40452.9717
2016-01-08,34911.7939
2016-01-15,32513.43955
2016-01-22,29672.45483
2016-01-29,29273.28389
2016-02-05,26740.64334
2016-02-12,27284.10718
2016-02-19,25512.90831
2016-02-26,26352.45611
2016-03-04,24703.70072
2016-03-11,27417.41411
2016-03-18,34599.77401
2016-03-25,33127.1513
2016-04-01,31709.53038
