Date,ClarkSea Index $/day [SIN 60351]
1990-01-05,17682.80138
1990-01-12,17736.09276
1990-01-19,17598.17351
1990-01-26,16683.17326
1990-02-02,15999.50732
1990-02-09,15451.13712
1990-02-16,15569.64432
1990-02-23,15468.12369
1990-03-02,13125.4384
1990-03-09,13499.98581
1990-03-16,13738.99965
1990-03-23,13567.73049
1990-03-30,13616.2755
1990-04-06,12041.55823
1990-04-13,11906.22682
1990-04-20,11706.81599
1990-04-27,11520.04535
1990-05-04,11217.90008
1990-05-11,11519.56761
1990-05-18,11948.34311
1990-05-25,11814.36985
1990-06-01,12375.46235
1990-06-08,12151.27471
1990-06-15,11834.70402
1990-06-22,11904.34994
1990-06-29,11993.3709
1990-07-06,12601.10633
1990-07-13,12519.5788
1990-07-20,12578.20153
1990-07-27,12688.82214
1990-08-03,14241.26894
1990-08-10,13881.00843
1990-08-17,13804.38104
1990-08-24,13185.74696
1990-08-31,13466.26843
1990-09-07,13164.0493
1990-09-14,13513.22754
1990-09-21,13571.56082
1990-09-28,14059.49703
1990-10-05,13123.36633
1990-10-12,13089.11551
1990-10-19,13705.50004
1990-10-26,13396.37476
1990-11-02,13540.39606
1990-11-09,13597.03552
1990-11-16,13838.62209
1990-11-23,13848.46465
1990-11-30,13889.17952
1990-12-07,14091.51643
1990-12-14,14286.71018
1990-12-21,14103.29981
1990-12-28,14103.52693
1991-01-04,14241.14628
1991-01-11,14160.71336
1991-01-18,14349.26229
1991-01-25,16072.94967
1991-02-01,16187.69473
1991-02-08,17100.01072
1991-02-15,17982.36875
1991-02-22,18184.91043
1991-03-01,17025.45344
1991-03-08,16201.30561
1991-03-15,15909.76167
1991-03-22,15305.28457
1991-03-29,14677.93497
1991-04-05,13327.41668
1991-04-12,12789.62041
1991-04-19,12454.48712
1991-04-26,12790.00751
1991-05-03,13384.09485
1991-05-10,13880.79297
1991-05-17,14605.15525
1991-05-24,14614.40826
1991-05-31,14375.92697
1991-06-07,13299.84548
1991-06-14,13425.00286
1991-06-21,13254.32215
1991-06-28,12812.16971
1991-07-05,12351.70906
1991-07-12,11778.87284
1991-07-19,11726.22243
1991-07-26,11864.56107
1991-08-02,11829.93519
1991-08-09,11687.45076
1991-08-16,11811.01833
1991-08-23,11947.80352
1991-08-30,11936.24332
1991-09-06,11763.10135
1991-09-13,11731.20251
1991-09-20,11504.84186
1991-09-27,11857.3148
1991-10-04,12359.75684
1991-10-11,12099.65423
1991-10-18,12609.68949
1991-10-25,12947.33201
1991-11-01,12566.57877
1991-11-08,12502.25318
1991-11-15,12205.4213
1991-11-22,12179.2848
1991-11-29,11991.56832
1991-12-06,11222.52984
1991-12-13,11196.91286
1991-12-20,11170.12063
1991-12-27,11150.39353
1992-01-03,11700.02411
1992-01-10,11524.27871
1992-01-17,11852.6626
1992-01-24,12040.46718
1992-01-31,11500.36131
1992-02-07,10914.95961
1992-02-14,10538.88159
1992-02-21,10128.46641
1992-02-28,10085.27587
1992-03-06,10031.18676
1992-03-13,9705.71154
1992-03-20,9706.90226
1992-03-27,9748.88292
1992-04-03,9454.65095
1992-04-10,9088.6687
1992-04-17,9062.74319
1992-04-24,9137.7958
1992-05-01,8968.63516
1992-05-08,8973.52703
1992-05-15,8776.72391
1992-05-22,8986.99268
1992-05-29,9035.84968
1992-06-05,8864.12469
1992-06-12,8736.90976
1992-06-19,8710.68536
1992-06-26,8607.64695
1992-07-03,8894.87358
1992-07-10,9221.3259
1992-07-17,8945.3308
1992-07-24,9066.96823
1992-07-31,8902.19184
1992-08-07,8973.64324
1992-08-14,9101.61735
1992-08-21,9164.18436
1992-08-28,9267.14048
1992-09-04,9141.9011
1992-09-11,9020.29253
1992-09-18,8868.79387
1992-09-25,9124.3237
1992-10-02,9435.39632
1992-10-09,9682.62889
1992-10-16,9757.28387
1992-10-23,9995.85826
1992-10-30,10178.28666
1992-11-06,10297.65726
1992-11-13,10522.68041
1992-11-20,10746.94687
1992-11-27,10665.85426
1992-12-04,11059.86426
1992-12-11,11030.06201
1992-12-18,10872.09288
1992-12-25,11072.43107
1993-01-01,11587.5527
1993-01-08,11354.51388
1993-01-15,11135.62494
1993-01-22,10828.42382
1993-01-29,10301.95081
1993-02-05,10091.13909
1993-02-12,10030.70036
1993-02-19,10093.02446
1993-02-26,9947.34744
1993-03-05,9847.90014
1993-03-12,9961.06521
1993-03-19,10321.79951
1993-03-26,10679.19418
1993-04-02,10289.30782
1993-04-09,10190.92892
1993-04-16,10149.17615
1993-04-23,10224.66514
1993-04-30,10225.55221
1993-05-07,10285.40156
1993-05-14,10677.20301
1993-05-21,10993.18673
1993-05-28,11349.63381
1993-06-04,11238.62213
1993-06-11,11190.52286
1993-06-18,11052.82473
1993-06-25,11612.4886
1993-07-02,11503.76731
1993-07-09,11638.31138
1993-07-16,11519.09975
1993-07-23,11600.3595
1993-07-30,11473.71182
1993-08-06,11268.23562
1993-08-13,11283.04971
1993-08-20,11157.23878
1993-08-27,11262.3631
1993-09-03,11404.83488
1993-09-10,11451.80651
1993-09-17,11416.44327
1993-09-24,10896.34063
1993-10-01,11232.83294
1993-10-08,11491.30031
1993-10-15,11458.7263
1993-10-22,11347.77848
1993-10-29,11561.84231
1993-11-05,11606.67576
1993-11-12,11651.17117
1993-11-19,11919.91083
1993-11-26,11929.25791
