Date,BDTI TD3C 270kt MEG-China WS [541330],BDTI TD20 130kt WAF-Continent WS [534599],BCTI TC7 35kt Singapore-EC Australia WS [97856],BCTI TC17 35kt MEG-East Africa WS [549319]
2005-12-16,,,439.298,
2005-12-23,,,450.428,
2006-01-06,,,461.085,
2006-01-13,,,511.19,
2006-01-20,,,537.228,
2006-01-27,,,533.992,
2006-02-03,,,488.01,
2006-02-10,,,444.088,
2006-02-17,,,416.238,
2006-02-24,,,409.582,
2006-03-03,,,354.128,
2006-03-10,,,249.31,
2006-03-17,,,234.046,
2006-03-24,,,225.736,
2006-03-31,,,218.17,
2006-04-07,,,211.166,
2006-04-14,,,224.0125,
2006-04-21,,,263.7425,
2006-04-28,,,358.09,
2006-05-05,,,416.505,
2006-05-12,,,448.686,
2006-05-19,,,468.836,
2006-05-26,,,414.148,
2006-06-02,,,362.07,
2006-06-09,,,337.366,
2006-06-16,,,325.454,
2006-06-23,,,318.728,
2006-06-30,,,312.782,
2006-07-07,,,309.49,
2006-07-14,,,317.83,
2006-07-21,,,341.452,
2006-07-28,,,358.42,
2006-08-04,,,397.144,
2006-08-11,,,436.998,
2006-08-18,,,448.456,
2006-08-25,,,463.846,
2006-09-01,,,447.34,
2006-09-08,,,426.564,
2006-09-15,,,416.346,
2006-09-22,,,404.046,
2006-09-29,,,393.702,
2006-10-06,,,362.126,
2006-10-13,,,317.618,
2006-10-20,,,296.982,
2006-10-27,,,276.5,
2006-11-03,,,255.002,
2006-11-10,,,233.844,
2006-11-17,,,226.464,
2006-11-24,,,244.346,
2006-12-01,,,287.91,
2006-12-08,,,345.474,
2006-12-15,,,387.172,
2006-12-22,,,402.91,
2007-01-05,,,371.34,
2007-01-12,,,350.272,
2007-01-19,,,329.91,
2007-01-26,,,314.174,
2007-02-02,,,295.456,
2007-02-09,,,271.18,
2007-02-16,,,263.636,
2007-02-23,,,274.962,
2007-03-02,,,289.452,
2007-03-09,,,293.654,
2007-03-16,,,300.554,
2007-03-23,,,295.548,
2007-03-30,,,281.5,
2007-04-06,,,270.465,
2007-04-13,,,267.285,
2007-04-20,,,270.796,
2007-04-27,,,291.272,
2007-05-04,,,299.162,
2007-05-11,,,307.3875,
2007-05-18,,,328.89,
2007-05-25,,,344.026,
2007-06-01,,,329.0225,
2007-06-08,,,316.816,
2007-06-15,,,298.592,
2007-06-22,,,283.864,
2007-06-29,,,286.418,
2007-07-06,,,303.166,
2007-07-13,,,305.334,
2007-07-20,,,320.166,
2007-07-27,,,335.666,
2007-08-03,,,332.084,
2007-08-10,,,315.4175,
2007-08-17,,,307.75,
2007-08-24,,,308.584,
2007-08-31,,,306.734,
2007-09-07,,,297.666,
2007-09-14,,,294.832,
2007-09-21,,,294.332,
2007-09-28,,,288.5,
2007-10-05,,,281.434,
2007-10-12,,,276.836,
2007-10-19,,,266.286,
2007-10-26,,,244.268,
2007-11-02,,,240,
2007-11-09,,,237.9825,
2007-11-16,,,239.334,
2007-11-23,,,248.166,
2007-11-30,,,285.334,
2007-12-07,,,372,
2007-12-14,,,382.164,
2007-12-21,,,370.835,
2007-12-28,,,356.67,
2008-01-04,,,323.61,
2008-01-11,,,312.336,
2008-01-18,,,299.15,
2008-01-25,,,284,
2008-02-01,,,269.75,
2008-02-08,,,259.86,
2008-02-15,,,258.336,
2008-02-22,,,259.416,
2008-02-29,,,266.664,
2008-03-07,,,270.332,
2008-03-14,,,285.998,
2008-03-21,,,292.92,
2008-03-28,,,275.7075,
2008-04-04,,,259.852,
2008-04-11,,,247.166,
2008-04-18,,,245.08,
2008-04-25,,,241.332,
2008-05-02,,,239.7925,
2008-05-09,,,242.418,
2008-05-16,,,257.832,
2008-05-23,,,280.2075,
2008-05-30,,,304.166,
2008-06-06,,,346,
2008-06-13,,,372.5,
2008-06-20,,,376.968,
2008-06-27,,,390.168,
2008-07-04,,,392.666,
2008-07-11,,,394.832,
2008-07-18,,,383.066,
2008-07-25,,,382.334,
2008-08-01,,,376,
2008-08-08,,,374.666,
2008-08-15,,,395.144,
2008-08-22,,,426.572,
2008-08-29,,,435.288,
2008-09-05,,,427.43,
2008-09-12,,,416.286,
2008-09-19,,,417.144,
2008-09-26,,,426.716,
2008-10-03,,,427.5,
2008-10-10,,,431.144,
2008-10-17,,,428.714,
2008-10-24,,,409.428,
2008-10-31,,,392.23,
2008-11-07,,,367.714,
2008-11-14,,,334,
2008-11-21,,,304.142,
2008-11-28,,,287.572,
2008-12-05,,,277.498,
2008-12-12,,,276.3375,
2008-12-19,,,284.928,
2008-12-26,,,285.83333,
2009-01-02,,,197.14,
2009-01-09,,,183.926,
2009-01-16,,,167.878,
2009-01-23,,,161.912,
2009-01-30,,,159.76333,
2009-02-06,,,161.012,
2009-02-13,,,161.314,
2009-02-20,,,167.872,
2009-02-27,,,164.786,
2009-03-06,,,150.716,
2009-03-13,,,142.828,
2009-03-20,,,135.872,
2009-03-27,,,128.6,
2009-04-03,,,121.65,
2009-04-10,,,115.98,
2009-04-17,,,110.062,
2009-04-24,,,100.814,
2009-05-01,,,98.57,
2009-05-08,,,98.078,
2009-05-15,,,98.122,
2009-05-22,,,102.298,
2009-05-29,,,104.028,
2009-06-05,,,108.828,
2009-06-12,,,110.2,
2009-06-19,,,111.258,
2009-06-26,,,112.914,
2009-07-03,,,112.686,
2009-07-10,,,106.442,
2009-07-17,,,105.41,
2009-07-24,,,107.686,
2009-07-31,,,109.156,
2009-08-07,,,110.914,
2009-08-14,,,116.73,
2009-08-21,,,123.914,
2009-08-28,,,127.328,
2009-09-04,,,129.028,
2009-09-11,,,132.77,
2009-09-18,,,135.098,
2009-09-25,,,141.4125,
2009-10-02,,,147.214,
2009-10-09,,,151.486,
2009-10-16,,,147.128,
2009-10-23,,,142.3,
2009-10-30,,,137.086,
2009-11-06,,,133.57,
2009-11-13,,,129.9,
2009-11-20,,,132.384,
2009-11-27,,,137.3375,
2009-12-04,,,142.468,
2009-12-11,,,156.486,
2009-12-18,,,169.63,
2009-12-25,,,175.3575,
2010-01-08,,,210.07,
2010-01-15,,,199.13,
2010-01-22,,,194.356,
2010-01-29,,,189.028,
2010-02-05,,,182.986,
2010-02-12,,,179.356,
2010-02-19,,,176.21333,
2010-02-26,,,176.8,
2010-03-05,,,181,
2010-03-12,,,184.7,
