Date,Product Tanker 10K+ Orderbook % Fleet [SIN 534440]
1996-01-01,10.074
1996-02-01,9.946
1996-03-01,10.135
1996-04-01,9.522
1996-05-01,9.974
1996-06-01,9.479
1996-07-01,9.084
1996-08-01,9.478
1996-09-01,9.689
1996-10-01,9.412
1996-11-01,8.876
1996-12-01,8.527
1997-01-01,9.483
1997-02-01,9.875
1997-03-01,9.876
1997-04-01,10.228
1997-05-01,10.946
1997-06-01,11.786
1997-07-01,13.034
1997-08-01,13.699
1997-09-01,13.289
1997-10-01,13.054
1997-11-01,13.666
1997-12-01,13.628
1998-01-01,13.754
1998-02-01,13.709
1998-03-01,13.497
1998-04-01,13.1
1998-05-01,12.547
1998-06-01,12.498
1998-07-01,12.323
1998-08-01,12.623
1998-09-01,12.711
1998-10-01,12.578
1998-11-01,11.993
1998-12-01,11.622
1999-01-01,11.821
1999-02-01,10.931
1999-03-01,10.172
1999-04-01,9.687
1999-05-01,9.839
1999-06-01,9.613
1999-07-01,9.101
1999-08-01,9.091
1999-09-01,8.515
1999-10-01,8.356
1999-11-01,8.582
1999-12-01,8.315
2000-01-01,8.505
2000-02-01,8.125
2000-03-01,7.785
2000-04-01,8.794
2000-05-01,9.337
2000-06-01,10.211
2000-07-01,10.947
2000-08-01,10.978
2000-09-01,11.186
2000-10-01,11.948
2000-11-01,12.23
2000-12-01,13.435
2001-01-01,13.811
2001-02-01,14.393
2001-03-01,15.087
2001-04-01,15.945
2001-05-01,17.169
2001-06-01,17.963
2001-07-01,20.079
2001-08-01,20.208
2001-09-01,21.099
2001-10-01,21.646
2001-11-01,22.517
2001-12-01,22.818
2002-01-01,22.936
2002-02-01,23.824
2002-03-01,23.969
2002-04-01,24.169
2002-05-01,24.298
2002-06-01,26.382
2002-07-01,26.654
2002-08-01,27.154
2002-09-01,27.097
2002-10-01,27.318
2002-11-01,27.927
2002-12-01,28.602
2003-01-01,29.061
2003-02-01,29.021
2003-03-01,30.239
2003-04-01,31.858
2003-05-01,32.821
2003-06-01,32.94
2003-07-01,33.72
2003-08-01,34.601
2003-09-01,35.085
2003-10-01,36.55
2003-11-01,38.637
2003-12-01,38.388
2004-01-01,40.133
2004-02-01,40.9
2004-03-01,41.631
2004-04-01,42.124
2004-05-01,42.448
2004-06-01,42.23
2004-07-01,42.551
2004-08-01,43.253
2004-09-01,42.349
2004-10-01,42.034
2004-11-01,42.975
2004-12-01,42.407
2005-01-01,42.874
2005-02-01,43.499
2005-03-01,43.774
2005-04-01,42.064
2005-05-01,42.712
2005-06-01,43.574
2005-07-01,43.722
2005-08-01,42.187
