Date,Crude Tanker Orderbook % Fleet [534438],Suezmax Orderbook % Fleet [534448],Crude Aframax Orderbook % Fleet [534456]
1996-01-01,6.707,8.177,6.359
1996-02-01,6.433,8.3,7.153
1996-03-01,6.673,7.917,8.252
1996-04-01,6.208,7.079,7.984
1996-05-01,6.107,7.504,7.702
1996-06-01,5.914,7.934,7.691
1996-07-01,5.513,7.478,7.425
1996-08-01,5.604,7.898,8.208
1996-09-01,5.595,7.904,8.225
1996-10-01,5.582,7.442,7.98
1996-11-01,5.734,7.891,8.486
1996-12-01,6.531,10.84,8.767
1997-01-01,7.089,11.309,8.792
1997-02-01,7.724,12.799,9.342
1997-03-01,8.8,12.799,10.652
1997-04-01,8.768,12.799,11.483
1997-05-01,9.82,13.647,12.529
1997-06-01,10.973,15.961,13.017
1997-07-01,11.41,17.218,12.424
1997-08-01,12.067,19.294,13.161
1997-09-01,12.459,18.369,13.161
1997-10-01,14.011,17.235,13.705
1997-11-01,14.681,18.078,14.704
1997-12-01,14.845,18.966,14.865
1998-01-01,15.038,19.278,14.823
1998-02-01,15.435,18.601,14.66
1998-03-01,15.436,18.667,14.673
1998-04-01,15.417,18.621,14.591
1998-05-01,15.99,19.525,16.163
1998-06-01,15.698,18.099,15.354
1998-07-01,15.931,18.411,16.054
1998-08-01,15.521,16.504,15.926
1998-09-01,15.528,15.592,15.311
1998-10-01,15.483,15.071,16.053
1998-11-01,16.841,16.297,15.168
1998-12-01,16.889,16.971,14.607
1999-01-01,16.962,17.558,13.771
1999-02-01,15.818,16.322,13.053
1999-03-01,15.427,16.378,12.605
1999-04-01,14.739,15.966,11.518
1999-05-01,14.671,15.347,10.511
1999-06-01,14.484,15.344,9.484
1999-07-01,14.062,14.887,9.687
1999-08-01,13.904,14.622,9.431
1999-09-01,14.433,13.899,9.258
1999-10-01,13.948,14.428,8.046
1999-11-01,14.108,13.968,7.547
1999-12-01,13.857,13.593,6.584
2000-01-01,13.828,14.148,6.186
2000-02-01,13.287,15.395,5.422
2000-03-01,13.654,14.614,5.672
2000-04-01,13.615,15.812,5.697
2000-05-01,14.391,18.731,6.445
2000-06-01,14.323,18.671,6.191
2000-07-01,15.924,20.367,9.094
2000-08-01,16.141,20.776,9.613
2000-09-01,16.711,19.916,10.044
2000-10-01,16.682,22.107,10.686
2000-11-01,17.599,22.638,10.955
2000-12-01,17.42,22.615,11.724
2001-01-01,18.548,24.181,12.894
2001-02-01,18.267,22.789,13.588
2001-03-01,18.85,22.39,14.248
2001-04-01,19.261,24.912,15.532
2001-05-01,19.525,25.9,16.053
2001-06-01,19.171,24.995,16.766
2001-07-01,19.955,24.577,20.712
2001-08-01,19.852,25.426,21.192
2001-09-01,20.358,25.541,21.952
2001-10-01,20.915,25.895,23.994
2001-11-01,21.102,25.987,23.597
2001-12-01,21.294,26.927,24.769
2002-01-01,21.083,26.312,24.165
2002-02-01,20.884,25.91,25.058
2002-03-01,20.517,25.408,24.711
2002-04-01,20.076,23.948,25.925
2002-05-01,20.327,26.442,25.772
2002-06-01,20.276,25.786,26.249
2002-07-01,19.335,25.413,25.691
2002-08-01,19.361,25.131,25.255
2002-09-01,18.656,23.848,24.656
2002-10-01,18.411,23.731,25.043
2002-11-01,17.924,22.795,24.182
2002-12-01,17.252,21.828,25.273
2003-01-01,17.349,20.832,25.981
2003-02-01,17.575,21.686,25.538
2003-03-01,18.072,21.135,25.954
2003-04-01,18.244,23.704,24.032
2003-05-01,17.584,23.359,24.003
2003-06-01,19.239,23.825,23.036
2003-07-01,20.442,24.463,25.686
2003-08-01,20.687,28.536,26.262
2003-09-01,20.821,29.178,25.182
2003-10-01,20.316,30.262,23.984
