Date,Bulkcarrier Orderbook % Fleet [534436],Panamax Orderbook % Fleet [534450],Handymax Orderbook % Fleet [534452]
1996-01-01,14.355,15.237,20.727
1996-02-01,13.854,14.298,21.524
1996-03-01,13.698,14.91,20.806
1996-04-01,13.77,14.88,20.928
1996-05-01,13.844,15.195,21.945
1996-06-01,13.559,15.254,20.58
1996-07-01,13.164,15.991,19.747
1996-08-01,12.984,17.096,19.832
1996-09-01,13.044,17.311,19.415
1996-10-01,12.425,17.009,18.521
1996-11-01,12.304,16.719,19.337
1996-12-01,11.858,16.319,18.69
1997-01-01,11.736,15.853,18.234
1997-02-01,10.489,15.037,17.127
1997-03-01,10.487,15.197,17.191
1997-04-01,9.568,14.43,15.929
1997-05-01,9.753,14.572,16.105
1997-06-01,9.806,15.413,15.518
1997-07-01,9.508,15.045,15.15
1997-08-01,9.521,14.539,14.598
1997-09-01,9.615,15.07,14.859
1997-10-01,9.535,14.701,14.406
1997-11-01,9.856,14.655,14.733
1997-12-01,9.537,14.123,14.382
1998-01-01,9.921,14.447,14.777
1998-02-01,9.925,14.104,13.721
1998-03-01,9.625,13.871,12.557
1998-04-01,9.499,12.3,12.955
1998-05-01,9.434,12.161,12.308
1998-06-01,9.189,11.857,11.638
1998-07-01,9.364,12.458,11.063
1998-08-01,9.447,12.658,10.729
1998-09-01,9.29,13.023,10.413
1998-10-01,9.06,12.904,9.637
1998-11-01,9.123,13.864,9.398
1998-12-01,9.135,13.911,9.201
1999-01-01,9.105,13.845,8.756
1999-02-01,8.847,13.967,8.117
1999-03-01,8.564,13.492,7.823
1999-04-01,7.957,12.879,7.063
1999-05-01,7.967,12.345,7.745
1999-06-01,8.156,13.866,7.759
1999-07-01,8.256,14.314,8.549
1999-08-01,8.942,15.964,8.876
1999-09-01,9.25,16.61,10.215
1999-10-01,9.805,17.441,10.88
1999-11-01,10.55,18.236,12.316
1999-12-01,11.426,18.755,12.444
2000-01-01,12.594,20.296,14.723
2000-02-01,12.801,19.601,14.917
2000-03-01,12.959,19.983,16.182
2000-04-01,13.226,19.891,17.059
2000-05-01,13.419,20.324,18.598
2000-06-01,13.556,20.404,19.295
2000-07-01,13.528,20.368,19.585
2000-08-01,13.436,20.097,19.384
2000-09-01,13.402,19.681,19.478
2000-10-01,12.853,18.751,19.706
2000-11-01,12.899,18.29,20.229
2000-12-01,12.839,17.517,20.751
2001-01-01,13.007,17.849,21.458
2001-02-01,12.233,16.14,20.438
2001-03-01,11.871,15.495,20.336
2001-04-01,10.981,13.838,19.859
2001-05-01,11.055,13.165,19.122
2001-06-01,10.597,12.207,18.058
2001-07-01,10.044,11.268,17.521
2001-08-01,9.787,10.142,17.616
2001-09-01,9.559,9.5,16.795
2001-10-01,8.67,8.439,15.542
2001-11-01,8.681,8.673,15.492
2001-12-01,8.408,8.308,14.752
2002-01-01,8.372,8.002,14.586
2002-02-01,7.575,6.449,14.014
2002-03-01,7.538,6.346,13.648
2002-04-01,7.217,5.715,13
2002-05-01,8.144,6.506,13.533
2002-06-01,7.87,6.074,13.149
2002-07-01,8.539,5.969,14.194
2002-08-01,8.523,5.862,14.332
2002-09-01,8.763,6.728,13.887
2002-10-01,9.511,8.961,13.838
2002-11-01,10.055,9.661,13.675
2002-12-01,10.093,9.449,13.882
2003-01-01,10.9,11.043,14.85
2003-02-01,11.836,13.236,14.933
2003-03-01,12.239,13.593,15.364
2003-04-01,12.834,14.366,16.246
2003-05-01,13.43,15.288,16.276
2003-06-01,13.879,16.825,16.604
2003-07-01,15.329,19.506,17.82
2003-08-01,16.359,20.425,19.641
2003-09-01,16.141,20.422,19.603
2003-10-01,16.412,20.186,19.864
2003-11-01,17.452,21.801,20.733
2003-12-01,17.533,21.998,20.871
2004-01-01,18.786,22.804,22.574
2004-02-01,19.089,23.221,22.29
2004-03-01,19.115,24.021,22.314
2004-04-01,19.877,24.721,21.692
2004-05-01,20.885,24.871,22.186
2004-06-01,20.85,24.67,22.297
2004-07-01,21.066,24.074,23.115
2004-08-01,21.439,23.794,23.984
2004-09-01,21.395,23.742,23.527
2004-10-01,21.532,23,23.652
2004-11-01,21.821,23.293,24.571
2004-12-01,21.609,23.037,23.806
2005-01-01,21.916,23.308,24.178
2005-02-01,24.587,25.386,27.981
2005-03-01,24.601,24.722,27.892
2005-04-01,24.32,24.919,27.596
2005-05-01,23.977,24.286,27.235
2005-06-01,23.575,23.53,26.401
2005-07-01,23.394,23.15,26.385
2005-08-01,23.269,23.339,25.793
2005-09-01,23.069,23.789,25.54
2005-10-01,22.475,23.155,24.903
2005-11-01,22.182,22.601,24.108
2005-12-01,21.68,21.924,23.311
2006-01-01,22.184,22.678,23.405
2006-02-01,23.469,23.214,25.437
2006-03-01,23.311,23.219,25.453
2006-04-01,25.383,23.156,27.069
2006-05-01,25.252,22.563,26.771
2006-06-01,25.365,21.925,27.382
2006-07-01,25.021,21.406,27.541
2006-08-01,26.033,21.47,28.936
2006-09-01,25.726,20.884,29.275
2006-10-01,26.777,20.293,29.635
2006-11-01,27.504,20.463,30.042
2006-12-01,30.083,21.893,31.68
2007-01-01,34.669,26.53,36.435
2007-02-01,36.344,27.908,38.637
2007-03-01,37.775,28.8,41.167
2007-04-01,39.95,28.779,43.129
2007-05-01,41.692,28.812,47.546
2007-06-01,45.881,31.194,50.234
2007-07-01,48.81,33.664,52.569
2007-08-01,51.174,35.431,55.1
2007-09-01,54.003,37.626,57.547
2007-10-01,56.795,40.068,58.534
2007-11-01,60.028,43.628,60.646
2007-12-01,62.107,44.739,61.212
