Date,Containership Orderbook % Fleet [SIN 534442]
1996-01-01,33.766
1996-02-01,33.728
1996-03-01,34.016
1996-04-01,32.009
1996-05-01,33.566
1996-06-01,33.178
1996-07-01,32.163
1996-08-01,33.158
1996-09-01,32.71
1996-10-01,32.056
1996-11-01,33.035
1996-12-01,33.24
1997-01-01,32.294
1997-02-01,33.393
1997-03-01,32.428
1997-04-01,32.696
1997-05-01,31.768
1997-06-01,30.985
1997-07-01,29.519
1997-08-01,27.814
1997-09-01,26.427
1997-10-01,24.167
1997-11-01,22.318
1997-12-01,21.342
1998-01-01,19.657
1998-02-01,18.103
1998-03-01,17.401
1998-04-01,16.931
1998-05-01,15.872
1998-06-01,15.949
1998-07-01,17.872
1998-08-01,18.373
1998-09-01,17.658
1998-10-01,16.272
1998-11-01,16.116
1998-12-01,15.612
1999-01-01,14.644
1999-02-01,14.892
1999-03-01,15.007
1999-04-01,14.949
1999-05-01,15.592
1999-06-01,15.457
1999-07-01,15.307
1999-08-01,17.226
1999-09-01,17.048
1999-10-01,17.704
1999-11-01,19.153
1999-12-01,19.948
2000-01-01,20.886
2000-02-01,23.547
2000-03-01,24.688
2000-04-01,26.198
2000-05-01,27.819
2000-06-01,27.733
2000-07-01,29.281
2000-08-01,30.162
2000-09-01,29.972
2000-10-01,29.707
2000-11-01,29.73
2000-12-01,30.596
2001-01-01,29.223
2001-02-01,29.444
2001-03-01,29.963
2001-04-01,30.399
2001-05-01,30.614
2001-06-01,31.243
2001-07-01,29.892
2001-08-01,28.841
2001-09-01,28.027
2001-10-01,26.607
2001-11-01,25.755
2001-12-01,24.934
2002-01-01,24.402
2002-02-01,23.255
2002-03-01,22.526
2002-04-01,20.808
2002-05-01,20.179
2002-06-01,19.058
2002-07-01,18.744
2002-08-01,19.308
2002-09-01,18.748
2002-10-01,17.767
2002-11-01,17.709
2002-12-01,17.756
2003-01-01,18.443
2003-02-01,19.426
2003-03-01,21.289
2003-04-01,21.815
2003-05-01,22.723
2003-06-01,24.87
2003-07-01,24.251
2003-08-01,29.312
2003-09-01,30.139
2003-10-01,33.576
2003-11-01,36.532
2003-12-01,38.931
2004-01-01,40.128
2004-02-01,41.89
2004-03-01,42.967
2004-04-01,46.249
2004-05-01,48.074
2004-06-01,48.495
2004-07-01,47.871
2004-08-01,48.133
2004-09-01,49.41
2004-10-01,49.777
2004-11-01,49.905
2004-12-01,50.119
2005-01-01,50.943
2005-02-01,53.035
2005-03-01,55.347
2005-04-01,58.989
2005-05-01,60.231
2005-06-01,60.889
2005-07-01,61.193
2005-08-01,59.829
2005-09-01,58.927
2005-10-01,58.049
2005-11-01,56.461
2005-12-01,54.87
2006-01-01,53.657
2006-02-01,53.435
2006-03-01,52.657
2006-04-01,51.028
2006-05-01,50.234
2006-06-01,49.476
2006-07-01,52.832
2006-08-01,52.727
2006-09-01,52.819
2006-10-01,52.775
2006-11-01,52.133
2006-12-01,50.469
2007-01-01,49.232
2007-02-01,48.313
2007-03-01,47.618
2007-04-01,47.424
2007-05-01,48.657
2007-06-01,49.699
2007-07-01,52.5
2007-08-01,55.627
2007-09-01,58.736
2007-10-01,60.046
2007-11-01,61.373
2007-12-01,61.075
2008-01-01,60.812
2008-02-01,60.709
2008-03-01,60.091
2008-04-01,58.262
2008-05-01,56.897
2008-06-01,56.662
2008-07-01,58.365
2008-08-01,56.332
2008-09-01,55.429
2008-10-01,54.183
2008-11-01,52.532
2008-12-01,51.641
2009-01-01,50.405
2009-02-01,48.982
2009-03-01,47.627
2009-04-01,46.41
2009-05-01,45.213
2009-06-01,44.412
2009-07-01,43.315
2009-08-01,42.612
2009-09-01,42.171
2009-10-01,41.114
2009-11-01,40.298
2009-12-01,39.117
2010-01-01,37.991
2010-02-01,37.083
2010-03-01,36.149
2010-04-01,34.82
2010-05-01,32.591
2010-06-01,31.386
2010-07-01,30.027
2010-08-01,28.385
2010-09-01,27.505
2010-10-01,27.768
2010-11-01,27.08
2010-12-01,27.366
2011-01-01,27.248
2011-02-01,26.912
2011-03-01,28.343
2011-04-01,28.594
2011-05-01,28.041
2011-06-01,27.75
2011-07-01,30.614
2011-08-01,29.957
2011-09-01,30.001
2011-10-01,29.535
2011-11-01,29.585
2011-12-01,29.227
2012-01-01,28.573
2012-02-01,27.764
2012-03-01,26.757
2012-04-01,25.17
2012-05-01,24.184
2012-06-01,23.053
2012-07-01,22.296
2012-08-01,22.741
2012-09-01,22.319
2012-10-01,22.028
2012-11-01,21.815
2012-12-01,21.421
2013-01-01,21.198
2013-02-01,21.512
2013-03-01,21.216
2013-04-01,20.301
2013-05-01,20.121
2013-06-01,20.737
2013-07-01,20.45
2013-08-01,21.425
2013-09-01,23.231
2013-10-01,22.561
2013-11-01,22.925
2013-12-01,22.76
2014-01-01,23.37
2014-02-01,24.2
2014-03-01,23.488
2014-04-01,22.735
2014-05-01,22.123
2014-06-01,21.925
2014-07-01,20.948
2014-08-01,19.763
2014-09-01,20.291
2014-10-01,20.844
2014-11-01,20.286
2014-12-01,19.614
2015-01-01,19.177
2015-02-01,19.101
2015-03-01,18.683
2015-04-01,18.64
2015-05-01,18.955
2015-06-01,18.357
2015-07-01,18.853
2015-08-01,20.203
2015-09-01,19.736
2015-10-01,20.591
2015-11-01,19.865
2015-12-01,20.099
2016-01-01,19.888
2016-02-01,19.442
2016-03-01,18.96
2016-04-01,18.264
2016-05-01,18.088
2016-06-01,17.404
2016-07-01,17.189
2016-08-01,17.021
2016-09-01,17.051
2016-10-01,16.525
2016-11-01,16.367
2016-12-01,15.975
2017-01-01,16.225
2017-02-01,16.207
2017-03-01,15.914
2017-04-01,15.281
2017-05-01,14.766
2017-06-01,14.248
2017-07-01,13.753
2017-08-01,13.032
2017-09-01,12.649
2017-10-01,14.076
2017-11-01,13.71
2017-12-01,13.715
2018-01-01,13.671
2018-02-01,13.037
2018-03-01,13.203
2018-04-01,13.041
2018-05-01,13.249
2018-06-01,12.282
2018-07-01,12.092
2018-08-01,11.774
2018-09-01,11.191
2018-10-01,12.89
2018-11-01,12.391
2018-12-01,12.571
2019-01-01,12.479
2019-02-01,12.122
2019-03-01,12.037
2019-04-01,12.443
2019-05-01,11.953
2019-06-01,11.609
2019-07-01,11.032
2019-08-01,10.233
2019-09-01,9.918
2019-10-01,9.681
2019-11-01,10.346
2019-12-01,10.407
2020-01-01,10.557
2020-02-01,10.293
2020-03-01,10.039
2020-04-01,10.402
2020-05-01,10.334
2020-06-01,10.013
2020-07-01,9.627
2020-08-01,9.246
2020-09-01,8.876
2020-10-01,8.372
2020-11-01,8.893
2020-12-01,9.627
2021-01-01,10.75
2021-02-01,11.239
2021-03-01,13.659
2021-04-01,17.831
2021-05-01,18.596
2021-06-01,19.236
2021-07-01,21.268
2021-08-01,22.063
2021-09-01,22.887
2021-10-01,23.974
2021-11-01,24.045
2021-12-01,24.212
2022-01-01,24.101
2022-02-01,25.856
2022-03-01,26.011
2022-04-01,27.181
2022-05-01,27.81
2022-06-01,28.344
2022-07-01,28.541
2022-08-01,28.535
