Date,LNG Orderbook % Fleet [SIN 542128]
1996-01-01,25.492
1996-02-01,23.932
1996-03-01,23.687
1996-04-01,23.687
1996-05-01,23.687
1996-06-01,22.067
1996-07-01,20.411
1996-08-01,20.411
1996-09-01,21.78
1996-10-01,21.78
1996-11-01,21.78
1996-12-01,20.291
1997-01-01,23.658
1997-02-01,22.065
1997-03-01,22.122
1997-04-01,20.583
1997-05-01,19.858
1997-06-01,16.764
1997-07-01,16.555
1997-08-01,16.555
1997-09-01,21.423
1997-10-01,21.423
1997-11-01,26.295
1997-12-01,26.295
1998-01-01,26.501
1998-02-01,26.501
1998-03-01,26.501
1998-04-01,25.773
1998-05-01,25.773
1998-06-01,24.282
1998-07-01,24.282
1998-08-01,24.282
1998-09-01,24.282
1998-10-01,24.282
1998-11-01,24.282
1998-12-01,24.077
1999-01-01,22.381
1999-02-01,22.381
1999-03-01,22.381
1999-04-01,22.381
1999-05-01,25.892
1999-06-01,25.892
1999-07-01,24.434
1999-08-01,20.264
1999-09-01,22.499
1999-10-01,22.499
1999-11-01,22.499
1999-12-01,21.164
2000-01-01,21.164
2000-02-01,15.861
2000-03-01,16.916
2000-04-01,16.609
2000-05-01,16.609
2000-06-01,20.734
2000-07-01,20.35
2000-08-01,21.017
2000-09-01,21.021
2000-10-01,22.013
2000-11-01,20.639
2000-12-01,23.587
2001-01-01,24.345
2001-02-01,28.264
2001-03-01,28.264
2001-04-01,30.22
2001-05-01,38.956
2001-06-01,40.892
2001-07-01,41.866
2001-08-01,43.81
2001-09-01,44.776
2001-10-01,45.747
2001-11-01,45.747
2001-12-01,45.747
2002-01-01,44.352
2002-02-01,46.346
2002-03-01,46.863
2002-04-01,54.867
2002-05-01,55.908
2002-06-01,56.87
2002-07-01,56.893
2002-08-01,58.897
2002-09-01,56.955
2002-10-01,55.488
2002-11-01,52.703
2002-12-01,49.996
2003-01-01,48.689
2003-02-01,48.313
2003-03-01,47.042
2003-04-01,45.781
2003-05-01,47.582
2003-06-01,47.582
2003-07-01,45.092
2003-08-01,45.631
2003-09-01,45
2003-10-01,40.052
2003-11-01,45.074
2003-12-01,44.76
2004-01-01,43.617
2004-02-01,41.472
2004-03-01,43.864
2004-04-01,45.924
2004-05-01,47.258
2004-06-01,58.164
2004-07-01,57.831
2004-08-01,57.119
2004-09-01,59.367
2004-10-01,74.224
2004-11-01,74.956
2004-12-01,76.275
2005-01-01,77.298
2005-02-01,76.302
2005-03-01,76.302
2005-04-01,75.892
2005-05-01,77.652
2005-06-01,77.192
2005-07-01,75.187
2005-08-01,85.294
2005-09-01,88.933
2005-10-01,87.986
2005-11-01,89.006
2005-12-01,89.878
2006-01-01,87.085
2006-02-01,83.629
2006-03-01,85.02
2006-04-01,92.967
2006-05-01,94.543
2006-06-01,98.004
2006-07-01,95.186
2006-08-01,93.227
2006-09-01,88.933
2006-10-01,87.883
2006-11-01,88.729
2006-12-01,84.547
2007-01-01,84.31
2007-02-01,82.396
2007-03-01,85.954
2007-04-01,83.632
2007-05-01,84.162
2007-06-01,82.383
2007-07-01,78.248
2007-08-01,76.431
2007-09-01,76.511
2007-10-01,73.894
2007-11-01,72.313
2007-12-01,70.493
2008-01-01,70.119
2008-02-01,67.489
2008-03-01,65.631
2008-04-01,62.842
2008-05-01,58.969
2008-06-01,56.588
2008-07-01,51.411
2008-08-01,48.855
2008-09-01,48.01
2008-10-01,44.065
2008-11-01,42.016
2008-12-01,38.323
2009-01-01,33.909
2009-02-01,32.69
2009-03-01,29.221
2009-04-01,25.507
2009-05-01,23.367
2009-06-01,22.21
2009-07-01,21.576
2009-08-01,20.574
2009-09-01,19.381
2009-10-01,19.381
2009-11-01,16.434
2009-12-01,14.878
2010-01-01,15.16
2010-02-01,14.193
2010-03-01,13.496
2010-04-01,12.874
2010-05-01,11.741
2010-06-01,11.028
2010-07-01,10.368
2010-08-01,10.006
2010-09-01,9.058
2010-10-01,8.004
2010-11-01,6.979
2010-12-01,6.622
2011-01-01,6.274
2011-02-01,6.283
2011-03-01,5.983
2011-04-01,7.184
2011-05-01,9.347
2011-06-01,11.075
2011-07-01,12.914
2011-08-01,17.889
2011-09-01,17.733
2011-10-01,18.316
2011-11-01,18.153
2011-12-01,18.078
2012-01-01,18.027
2012-02-01,17.976
2012-03-01,20.764
2012-04-01,21.661
2012-05-01,23.179
2012-06-01,23.467
2012-07-01,24.078
2012-08-01,23.789
2012-09-01,24.405
2012-10-01,25.362
2012-11-01,25.977
2012-12-01,25.977
2013-01-01,27.928
2013-02-01,29.118
2013-03-01,29.511
2013-04-01,31.098
2013-05-01,32.186
2013-06-01,32.078
2013-07-01,33.361
2013-08-01,32.469
2013-09-01,33.77
2013-10-01,35.025
2013-11-01,33.88
2013-12-01,33.995
2014-01-01,33.933
2014-02-01,33.609
2014-03-01,34.754
2014-04-01,33.711
2014-05-01,32.929
2014-06-01,33.501
2014-07-01,33.845
2014-08-01,36.15
2014-09-01,35.366
2014-10-01,35.871
2014-11-01,35.642
2014-12-01,35.334
2015-01-01,40.556
2015-02-01,40.394
2015-03-01,40.691
2015-04-01,40.691
2015-05-01,40.386
2015-06-01,40.9
2015-07-01,40.651
2015-08-01,40.909
2015-09-01,40.461
2015-10-01,40.707
2015-11-01,40.796
2015-12-01,39.173
2016-01-01,38.046
2016-02-01,36.586
2016-03-01,36.227
2016-04-01,34.81
2016-05-01,34.81
2016-06-01,34.719
2016-07-01,34.787
2016-08-01,34.095
2016-09-01,33.749
2016-10-01,33.032
2016-11-01,31.724
2016-12-01,30.748
2017-01-01,29.943
2017-02-01,29.187
2017-03-01,29.609
2017-04-01,28.238
2017-05-01,28.106
2017-06-01,27.839
2017-07-01,27.966
2017-08-01,27.106
2017-09-01,27.343
2017-10-01,27.039
2017-11-01,25.628
2017-12-01,25.335
2018-01-01,25.233
2018-02-01,23.581
2018-03-01,24.118
2018-04-01,23.967
2018-05-01,22.942
2018-06-01,22.644
2018-07-01,22.65
2018-08-01,23.049
2018-09-01,23.343
2018-10-01,23.507
2018-11-01,22.944
2018-12-01,22.545
2019-01-01,25.022
2019-02-01,24.619
2019-03-01,25.321
2019-04-01,24.796
2019-05-01,24.9
2019-06-01,24.523
2019-07-01,24.632
2019-08-01,23.275
2019-09-01,23.351
2019-10-01,22.353
2019-11-01,23.169
2019-12-01,23.183
2020-01-01,25.134
2020-02-01,25.094
2020-03-01,24.369
2020-04-01,24.403
2020-05-01,23.958
2020-06-01,22.764
2020-07-01,22.624
2020-08-01,22.479
2020-09-01,24.112
2020-10-01,23.159
2020-11-01,23.48
2020-12-01,22.98
2021-01-01,26.734
2021-02-01,24.551
2021-03-01,23.617
2021-04-01,22.584
2021-05-01,22.896
2021-06-01,23.233
2021-07-01,22.505
2021-08-01,25.181
2021-09-01,24.001
2021-10-01,24.752
2021-11-01,24.37
2021-12-01,25.596
2022-01-01,26.719
2022-02-01,28.574
2022-03-01,29.761
2022-04-01,31.972
2022-05-01,34.797
2022-06-01,36.742
2022-07-01,39.46
2022-08-01,41.212
2022-09-01,41.807
2022-10-01,43.874
2022-11-01,45.563
2022-12-01,48.318
2023-01-01,49.147
2023-02-01,47.793
2023-03-01,47.758
2023-04-01,49.139
2023-05-01,49.932
2023-06-01,50.305
2023-07-01,50.732
2023-08-01,50.262
2023-09-01,50.888
2023-10-01,50.032
2023-11-01,51.97
2023-12-01,51.702
2024-01-01,50.74
2024-02-01,50.29
2024-03-01,49.594
2024-04-01,50.438
2024-05-01,54.605
2024-06-01,54.045
2024-07-01,54.567
2024-08-01,53.578
2024-09-01,52.651
2024-10-01,52.526
2024-11-01,51.775
2024-12-01,50.608
2025-01-01,49.022
2025-02-01,47.575
2025-03-01,47.13
2025-04-01,46.042
2025-05-01,45.374
2025-06-01,44.224
2025-07-01,43.481
2025-08-01,42.412
2025-09-01,42.068
2025-10-01,40.853
2025-11-01,39.529
2025-12-01,38.664
2026-01-01,38.905
2026-02-01,40.22
2026-03-01,40.02
2026-04-01,39.844
2026-05-01,38.38
2026-06-01,39.287
2026-07-01,38.228
2026-08-01,37.185
2026-09-01,36.931
