Date,Crude Tanker Fleet Growth %YrYr [534497],Product Tanker 10K+ Fleet Growth %YrYr [534499],Bulkcarrier Fleet Growth %YrYr [534495],LNG Fleet Growth %YrYr [542124],Containership 8000+ TEU Fleet Growth %YrYr [534519]
1995-01-01,,,6.57,,
1996-01-01,1.185,3.522,4.168,8.516,
1997-01-01,0.741,1.719,4.332,6.989,
1998-01-01,0.83,3.829,-0.192,4.365,199.793
1999-01-01,-0.35,5.525,1.135,5.834,66.644
2000-01-01,2.584,0.169,2.821,14.506,39.992
2001-01-01,-2.816,2.401,4.422,0.966,7.149
2002-01-01,1.329,2.088,2.684,9.598,24.603
2003-01-01,2.2,5.556,2.785,13.262,27.694
2004-01-01,3.967,11.522,6.407,15.692,54.378
2005-01-01,6.049,9.972,7.102,12.547,81.847
2006-01-01,4.115,10.374,6.74,17.232,84.319
2007-01-01,3.956,11.955,6.751,17.081,32.325
2008-01-01,1.381,13.642,7.133,28.225,32.104
2009-01-01,6.009,11.321,10.859,17.039,16.774
2010-01-01,2.826,5.974,17.087,9.017,27.759
2011-01-01,6.685,3.758,14.81,2.841,27.909
2012-01-01,4.735,2.163,10.594,0.375,22.804
2013-01-01,1.312,2.531,5.682,3.96,19.167
2014-01-01,0.293,3.948,4.322,8.805,20.886
2015-01-01,1.844,5.748,2.345,7.087,20.709
2016-01-01,5.822,6.257,2.139,7.607,9.544
2017-01-01,4.988,4.151,2.897,6.476,11.038
2018-01-01,0.595,1.888,2.913,11.226,10.639
2019-01-01,6.494,4.764,4.002,7.89,7.696
2020-01-01,3.285,2.356,3.813,5.116,5.175
2021-01-01,1.747,2.084,3.717,9.895,6.801
2022-01-01,4.166,2.069,2.936,4.374,5.383
2023-01-01,1.815,2.036,3.063,4.641,10.709
2024-01-01,0.331,1.718,2.945,7.796,11.498
2025-01-01,0.719,5.162,2.94,9.391,10.579
2026-01-01,3.785,7.218,3.793,10.554,5.79
2027-01-01,5.751,5.547,4.383,8.472,10.814
2028-01-01,7.717,5.166,3.704,8.758,16.731
