Date,Total Tanker 10k+ Avg Age [540811],Total Product Tanker 10k+ Avg Age [540817],Total Bulkcarrier Avg Age [540806],Suezmax Avg Age [540813],Aframax Avg Age [540814],Panamax Bulkcarrier Avg Age [540808],Handymax Bulkcarrier Avg Age [540809]
1993-01-01,13.66423,15.2488,13.75839,11.89068,11.02156,11.65703,11.52528
1994-01-01,13.71083,15.45924,14.20112,12.09435,10.99325,11.77707,11.89675
1995-01-01,13.86359,15.61746,14.39675,12.34355,11.28619,11.53265,11.67736
1996-01-01,14.00154,15.68688,14.53771,12.56708,11.6793,11.72359,11.26489
1997-01-01,14.27737,15.99212,14.39733,12.98431,12.01756,11.63315,10.79313
1998-01-01,14.57418,16.39256,14.25014,12.95983,12.25255,11.24345,10.48114
1999-01-01,14.46037,16.45647,14.19948,12.50783,11.86902,11.04917,10.38559
2000-01-01,14.04334,16.3769,14.3721,11.70909,11.27085,10.99884,10.5716
2001-01-01,13.89113,16.21144,14.32379,11.12505,11.517,10.75964,10.62525
2002-01-01,13.64821,16.08008,14.20074,9.97248,11.53277,10.4564,10.48303
2003-01-01,12.84959,15.15673,14.42935,9.39383,10.81904,10.89648,10.65434
2004-01-01,11.87179,13.81437,14.68067,8.48262,9.6946,11.34734,10.9483
2005-01-01,11.27964,12.85944,14.80893,8.38219,9.16016,11.52466,11.13157
2006-01-01,10.90692,12.21999,14.80699,8.61149,8.93572,11.57901,11.29924
2007-01-01,10.36394,11.19374,14.89809,8.69244,8.93026,11.74051,11.58401
2008-01-01,9.88271,10.43952,14.92164,8.88044,8.86647,12.09873,11.75957
2009-01-01,9.20812,9.70096,14.09588,8.83577,8.32832,12.21035,11.46313
2010-01-01,8.54786,9.04224,12.9724,8.14392,8.05747,12.2551,10.76129
2011-01-01,8.25021,8.73503,11.64827,7.97676,8.10643,11.4672,9.79336
2012-01-01,8.31614,8.85275,10.04452,7.62878,8.14328,9.83408,8.71505
2013-01-01,8.60742,9.00827,9.0662,7.66079,8.4536,8.66975,8.15269
2014-01-01,9.06223,9.33152,8.82479,8.2751,8.95515,8.46227,8.09783
2015-01-01,9.504,9.58292,8.66182,8.97467,9.43769,8.43762,8.0306
2016-01-01,9.92489,9.87414,8.53908,9.72259,9.9426,8.34642,8.03225
2017-01-01,10.23043,10.22833,8.72999,9.68186,10.14012,8.54997,8.22899
2018-01-01,10.44132,10.57724,9.26049,9.41681,10.03898,9.12589,8.7803
2019-01-01,10.75008,10.93516,9.8535,9.62114,10.19791,9.72552,9.47133
2020-01-01,11.21583,11.36428,10.26159,10.19455,10.86726,10.11494,9.93412
2021-01-01,11.61877,11.76325,10.64526,10.55209,11.3213,10.57507,10.44515
2022-01-01,11.96479,12.10561,11.17276,10.73451,11.5556,11.14344,11.09405
2023-01-01,12.56758,12.74682,11.64169,11.30746,12.08408,11.55064,11.59854
2024-01-01,13.33553,13.52354,12.12023,12.16009,12.70349,11.93021,11.99754
2025-01-01,13.93805,14.02497,12.6013,12.76421,13.16559,12.35724,12.40739
2026-01-01,14.15868,14.10956,12.96997,12.93195,13.31031,12.6195,12.70029
