Date,Total Tanker 10k+ DWT Deliveries m.dwt [29894],Total Crude Tanker Deliveries m.dwt [1989508],Total Product Tanker 10k+ Deliveries m.dwt [39664]
1970-01-01,2.18476,,
1970-02-01,1.72118,,
1970-03-01,1.38238,,
1970-04-01,1.51488,,
1970-05-01,1.66397,,
1970-06-01,1.8364,,
1970-07-01,2.17837,,
1970-08-01,1.62016,,
1970-09-01,1.57048,,
1970-10-01,1.66201,,
1970-11-01,1.56897,,
1970-12-01,1.89303,,
1971-01-01,1.61728,,
1971-02-01,2.1249,,
1971-03-01,2.19451,,
1971-04-01,1.99541,,
1971-05-01,1.69475,,
1971-06-01,1.66006,,
1971-07-01,1.37505,,
1971-08-01,2.11224,,
1971-09-01,1.38762,,
1971-10-01,1.41026,,
1971-11-01,1.81482,,
1971-12-01,1.43845,,
1972-01-01,0.96385,,
1972-02-01,1.34176,,
1972-03-01,1.97208,,
1972-04-01,1.81341,,
1972-05-01,1.63475,,
1972-06-01,1.74485,,
1972-07-01,1.70896,,
1972-08-01,1.95171,,
1972-09-01,2.02251,,
1972-10-01,1.52684,,
1972-11-01,2.11663,,
1972-12-01,1.85998,,
1973-01-01,1.55715,,
1973-02-01,2.14771,,
1973-03-01,2.59043,,
1973-04-01,1.55052,,
1973-05-01,2.72304,,
1973-06-01,1.92826,,
1973-07-01,2.36519,,
1973-08-01,2.19604,,
1973-09-01,2.95395,,
1973-10-01,2.99495,,
1973-11-01,1.9473,,
1973-12-01,3.49413,,
1974-01-01,2.07368,,
1974-02-01,2.9134,,
1974-03-01,2.59039,,
1974-04-01,3.8717,,
1974-05-01,3.55961,,
1974-06-01,3.38916,,
1974-07-01,4.31718,,
1974-08-01,3.36829,,
1974-09-01,3.04493,,
1974-10-01,4.22777,,
1974-11-01,4.03396,,
1974-12-01,3.94015,,
1975-01-01,3.63437,,
1975-02-01,2.97745,,
1975-03-01,4.73481,,
1975-04-01,4.66923,,
1975-05-01,3.65327,,
1975-06-01,3.3843,,
1975-07-01,4.66269,,
1975-08-01,3.03463,,
1975-09-01,3.53227,,
1975-10-01,4.67611,,
1975-11-01,2.95142,,
1975-12-01,3.67645,,
1976-01-01,4.29389,,
1976-02-01,3.76772,,
1976-03-01,4.15385,,
1976-04-01,2.74256,,
1976-05-01,2.05275,,
1976-06-01,3.8166,,
1976-07-01,2.75392,,
1976-08-01,1.9,,
1976-09-01,3.62619,,
1976-10-01,3.40898,,
1976-11-01,3.29985,,
1976-12-01,3.47988,,
1977-01-01,3.15565,,
1977-02-01,1.97744,,
1977-03-01,1.55916,,
1977-04-01,1.85625,,
1977-05-01,1.90069,,
1977-06-01,0.76969,,
1977-07-01,2.08518,,
1977-08-01,0.33756,,
1977-09-01,1.29029,,
1977-10-01,2.18341,,
1977-11-01,1.74643,,
1977-12-01,1.3339,,
1978-01-01,0.8597,,
1978-02-01,1.14271,,
1978-03-01,0.18259,,
1978-04-01,1.12576,,
1978-05-01,1.39279,,
1978-06-01,0.45568,,
1978-07-01,1.30306,,
1978-08-01,0.59557,,
1978-09-01,0.51455,,
1978-10-01,0.71803,,
1978-11-01,0.63566,,
1978-12-01,0.89503,,
1979-01-01,0.47914,,
1979-02-01,0.27087,,
1979-03-01,0.64052,,
1979-04-01,0.31388,,
1979-05-01,0.38473,,
1979-06-01,0.91656,,
1979-07-01,0.45569,,
1979-08-01,0.46452,,
1979-09-01,0.48538,,
1979-10-01,0.96478,,
1979-11-01,0.39104,,
1979-12-01,2.20634,,
1980-01-01,0.12663,,
1980-02-01,0.39199,,
1980-03-01,0.4025,,
1980-04-01,0.35528,,
1980-05-01,0.68164,,
1980-06-01,0.27937,,
1980-07-01,1.09667,,
1980-08-01,0.40174,,
1980-09-01,0.86013,,
1980-10-01,0.74645,,
1980-11-01,0.57613,,
1980-12-01,1.23621,,
1981-01-01,0.39451,,
1981-02-01,0.54538,,
1981-03-01,0.58346,,
1981-04-01,0.84043,,
1981-05-01,0.63767,,
1981-06-01,0.37995,,
1981-07-01,0.99932,,
1981-08-01,0.97424,,
1981-09-01,0.74711,,
1981-10-01,0.80453,,
1981-11-01,0.62655,,
1981-12-01,0.90555,,
1982-01-01,0.46792,,
1982-02-01,0.23296,,
1982-03-01,0.41797,,
1982-04-01,0.71201,,
1982-05-01,0.45887,,
1982-06-01,0.43314,,
1982-07-01,0.61348,,
1982-08-01,0.27604,,
1982-09-01,0.5198,,
1982-10-01,0.94978,,
1982-11-01,0.41246,,
1982-12-01,0.57988,,
1983-01-01,0.66205,,
1983-02-01,0.3841,,
1983-03-01,0.4829,,
1983-04-01,0.45449,,
1983-05-01,0.45556,,
1983-06-01,0.87253,,
1983-07-01,0.52716,,
1983-08-01,0.3074,,
1983-09-01,0.06963,,
1983-10-01,0.29817,,
1983-11-01,0.11334,,
1983-12-01,0.27373,,
1984-01-01,0.37043,,
1984-02-01,0.28717,,
1984-03-01,0.35026,,
1984-04-01,0.06186,,
1984-05-01,0.25571,,
1984-06-01,0.5873,,
1984-07-01,0.30524,,
1984-08-01,0.37697,,
1984-09-01,0.28671,,
1984-10-01,0.1782,,
1984-11-01,0.36681,,
1984-12-01,0.43391,,
1985-01-01,0.43559,,
1985-02-01,0.20071,,
1985-03-01,0.15067,,
1985-04-01,0.3972,,
1985-05-01,0.18726,,
1985-06-01,0.587,,
1985-07-01,0.35061,,
1985-08-01,0.08057,,
1985-09-01,0.34911,,
1985-10-01,0.67081,,
1985-11-01,0.43949,,
1985-12-01,0.88774,,
1986-01-01,0.76576,,
1986-02-01,0.01376,,
1986-03-01,0.54541,,
1986-04-01,0.21681,,
1986-05-01,0.27302,,
1986-06-01,0.8736,,
1986-07-01,0.4323,,
1986-08-01,0.36095,,
1986-09-01,0.32718,,
1986-10-01,1.28005,,
1986-11-01,1.19487,,
1986-12-01,0.7688,,
1987-01-01,0.38176,,
1987-02-01,0.26323,,
1987-03-01,0.97264,,
1987-04-01,0.36454,,
1987-05-01,0.04566,,
1987-06-01,0.43649,,
1987-07-01,0.29234,,
1987-08-01,0.38849,,
1987-09-01,0.73019,,
1987-10-01,0.3634,,
1987-11-01,0.56434,,
1987-12-01,0.99885,,
1988-01-01,0.41308,,
1988-02-01,0.20387,,
1988-03-01,0.52507,,
1988-04-01,0.44516,,
1988-05-01,0.17103,,
1988-06-01,0.50297,,
1988-07-01,0.37776,,
1988-08-01,0.23426,,
1988-09-01,0.7413,,
1988-10-01,1.27692,,
1988-11-01,1.02002,,
1988-12-01,0.97791,,
1989-01-01,0.95963,,
1989-02-01,0.53397,,
1989-03-01,0.61646,,
1989-04-01,1.18352,,
1989-05-01,0.1202,,
1989-06-01,0.90622,,
1989-07-01,0.49554,,
1989-08-01,0.51475,,
1989-09-01,0.45606,,
1989-10-01,1.23493,,
1989-11-01,1.0241,,
1989-12-01,1.25308,,
1990-01-01,1.01902,,
1990-02-01,0.38314,,
1990-03-01,1.63187,,
1990-04-01,0.6096,,
