Date,Total Bulkcarrier Deliveries m.dwt [30244],Capesize Deliveries dwt [30236],Handymax Deliveries dwt [30240]
1970-01-01,4.50355,595023,800695
1970-02-01,0.13763,0,0
1970-03-01,0.3808,268905,0
1970-04-01,0.23076,121925,0
1970-05-01,0.25761,114610,0
1970-06-01,0.13393,0,0
1970-07-01,0.0676,0,0
1970-08-01,0.15419,0,56642
1970-09-01,0.31595,128803,56703
1970-10-01,0.15194,0,0
1970-11-01,0.18759,0,100980
1970-12-01,0.29601,117577,97007
1971-01-01,5.69128,1564738,500837
1971-02-01,0.18665,112171,0
1971-03-01,0.14772,0,0
1971-04-01,0.20286,148462,0
1971-05-01,0.29188,117352,0
1971-06-01,0.41324,115775,42073
1971-07-01,0.14824,0,42075
1971-08-01,0.239,107192,42104
1971-09-01,0.31616,166631,52488
1971-10-01,0.19771,0,57508
1971-11-01,0.1402,0,0
1971-12-01,0.2281,0,0
1972-01-01,2.13906,551786,203854
1972-02-01,0.40256,300086,0
1972-03-01,0.36071,127435,0
1972-04-01,0.51984,0,108429
1972-05-01,0.40232,0,92026
1972-06-01,1.18607,346334,104228
1972-07-01,0.48714,0,50903
1972-08-01,0.52248,120064,0
1972-09-01,0.8592,338958,0
1972-10-01,0.64736,0,54187
1972-11-01,1.17529,268645,91582
1972-12-01,1.15921,246501,54976
1973-01-01,1.00909,342717,0
1973-02-01,0.48841,270847,0
1973-03-01,0.87465,287842,98047
1973-04-01,0.63551,0,108496
1973-05-01,0.78515,127587,146856
1973-06-01,1.10966,635726,51890
1973-07-01,0.61288,116181,0
1973-08-01,0.90345,271721,197012
1973-09-01,1.09744,260631,147462
1973-10-01,0.61467,129542,105026
1973-11-01,1.22111,390163,104498
1973-12-01,1.29606,363417,96320
1974-01-01,0.58457,131260,141726
1974-02-01,0.62491,0,50950
1974-03-01,0.6481,129920,52021
1974-04-01,0.54707,108144,147174
1974-05-01,0.5628,129514,100994
1974-06-01,0.71549,0,191369
1974-07-01,1.16906,247602,202225
1974-08-01,0.3702,0,0
1974-09-01,0.52853,0,102752
1974-10-01,1.14571,135749,303464
1974-11-01,0.84499,0,200584
1974-12-01,1.07868,119501,252826
1975-01-01,0.65739,122977,41049
1975-02-01,0.5404,0,40002
1975-03-01,0.71936,118065,94885
1975-04-01,0.48117,0,0
1975-05-01,0.84621,363102,234105
1975-06-01,0.73921,116294,308698
1975-07-01,0.73995,110439,54269
1975-08-01,0.531,114890,105441
1975-09-01,0.61388,0,0
1975-10-01,0.84298,122928,233669
1975-11-01,0.76221,264934,214759
1975-12-01,1.67147,360484,99217
1976-01-01,0.89255,129883,41051
1976-02-01,0.68559,248562,145479
1976-03-01,0.40725,0,41131
1976-04-01,0.91145,259834,196522
1976-05-01,0.80885,118741,45472
1976-06-01,0.73324,0,192769
1976-07-01,1.18745,247082,280853
1976-08-01,1.02142,349171,88584
1976-09-01,1.14838,390099,93573
1976-10-01,1.41029,115961,150953
1976-11-01,0.93932,0,54615
1976-12-01,1.9266,389061,302641
1977-01-01,1.35863,0,194630
1977-02-01,0.70514,0,0
1977-03-01,1.13934,123125,83836
1977-04-01,1.74466,255518,169421
1977-05-01,0.77568,0,128310
1977-06-01,0.87902,118500,233599
1977-07-01,1.14585,535090,42319
1977-08-01,1.11018,0,89958
1977-09-01,0.60517,0,46565
1977-10-01,0.89435,0,94945
1977-11-01,0.66398,123003,96865
1977-12-01,2.60572,292771,196583
1978-01-01,0.87459,0,94710
1978-02-01,0.87008,125180,126385
1978-03-01,0.78491,246597,0
1978-04-01,1.12726,355725,44750
1978-05-01,0.77723,129829,83063
1978-06-01,0.6589,0,97667
1978-07-01,0.9313,0,219314
1978-08-01,0.18268,0,44605
1978-09-01,0.3541,0,125792
1978-10-01,0.6413,119501,89200
1978-11-01,0.37551,0,185443
1978-12-01,1.26393,0,303776
1979-01-01,0.41838,0,0
1979-02-01,0.33554,0,43700
1979-03-01,0.3936,112905,0
1979-04-01,0.46612,107140,55822
1979-05-01,0.30421,0,113608
1979-06-01,0.46301,0,44710
1979-07-01,0.3665,118750,94865
1979-08-01,0.1136,0,0
1979-09-01,0.09982,0,44015
1979-10-01,0.34196,0,44015
1979-11-01,0.28706,0,41100
1979-12-01,0.75146,119500,40846
1980-01-01,0.24727,0,108926
1980-02-01,0.18342,0,0
1980-03-01,0.12312,0,0
1980-04-01,0.5025,0,40683
1980-05-01,0.45166,0,112757
1980-06-01,0.26169,109487,0
1980-07-01,0.36097,0,42883
1980-08-01,0.23735,0,0
1980-09-01,0.36839,0,58371
1980-10-01,0.68515,132598,94740
1980-11-01,0.3766,109488,58388
1980-12-01,0.83529,194399,54311
1981-01-01,0.97542,332275,49999
1981-02-01,0.47831,138350,40750
1981-03-01,0.92325,406303,0
1981-04-01,1.01712,141475,87572
1981-05-01,0.41395,127907,41685
1981-06-01,0.86402,397472,102194
1981-07-01,1.37348,480472,51267
1981-08-01,0.8305,399159,0
1981-09-01,1.42361,811998,0
1981-10-01,0.75443,0,138446
1981-11-01,0.86959,140839,50286
1981-12-01,1.70774,399250,94310
1982-01-01,1.05931,541186,0
1982-02-01,1.32096,272333,185588
1982-03-01,1.62639,811970,173547
1982-04-01,0.94837,127958,191589
1982-05-01,0.67437,0,135031
1982-06-01,1.64029,589434,239935
1982-07-01,0.90317,0,124648
1982-08-01,1.21435,686196,0
1982-09-01,1.38929,523492,131182
1982-10-01,1.51488,274264,141003
1982-11-01,1.19719,0,173247
1982-12-01,0.77592,141014,41513
1983-01-01,1.22109,139650,185162
1983-02-01,0.90222,308630,177801
1983-03-01,1.13693,361665,89774
1983-04-01,0.91218,224222,97377
1983-05-01,0.99446,150661,136353
1983-06-01,0.6649,139877,41427
1983-07-01,1.30546,367240,82948
1983-08-01,0.3754,0,131062
1983-09-01,0.56998,0,41542
1983-10-01,0.99459,0,192811
1983-11-01,0.72767,0,42964
1983-12-01,0.89448,0,333773
1984-01-01,0.76829,0,46455
1984-02-01,0.90121,0,280981
1984-03-01,1.33607,0,220612
1984-04-01,1.37324,0,211806
1984-05-01,0.81568,0,135796
1984-06-01,1.71047,315322,260647
1984-07-01,1.68123,166058,410447
1984-08-01,1.41973,150431,387633
1984-09-01,1.19608,506007,176264
1984-10-01,1.30744,324631,331721
1984-11-01,1.39666,160993,165781
1984-12-01,2.27575,631685,474900
1985-01-01,1.27211,0,376467
1985-02-01,1.37816,395966,257554
1985-03-01,1.92264,603319,738394
1985-04-01,0.8208,0,471375
1985-05-01,1.00676,166870,257467
1985-06-01,1.90181,539038,632810
1985-07-01,1.10736,0,347721
1985-08-01,0.76806,0,430934
1985-09-01,0.96732,196801,45884
1985-10-01,0.87874,319652,179873
1985-11-01,1.05307,500700,129106
1985-12-01,1.21124,524373,258564
1986-01-01,1.09938,341301,298801
1986-02-01,1.06058,701942,220237
1986-03-01,1.86814,864274,260160
1986-04-01,0.81401,464426,127453
1986-05-01,0.49547,166658,43759
1986-06-01,0.99055,382864,170423
1986-07-01,0.76143,200692,167093
1986-08-01,0.80957,334520,175979
1986-09-01,0.92349,353816,270771
1986-10-01,0.84329,179802,264816
1986-11-01,0.79682,402208,91610
1986-12-01,1.63863,778303,538154
1987-01-01,0.58277,0,257868
1987-02-01,0.41189,146020,91767
1987-03-01,1.05467,536311,134703
1987-04-01,0.99025,0,181314
1987-05-01,0.70479,510922,52451
1987-06-01,0.31581,188126,0
1987-07-01,0.71538,371485,92993
1987-08-01,0.16365,0,0
1987-09-01,0.27298,146020,0
1987-10-01,0.51764,188334,83996
1987-11-01,0.6292,371184,42638
1987-12-01,0.67206,365130,137091
1988-01-01,0.37919,227184,41771
1988-02-01,0,0,0
1988-03-01,0.63621,428231,82754
1988-04-01,0.07846,0,41828
1988-05-01,0.15375,0,51047
1988-06-01,0.36035,186001,104991
1988-07-01,0.3514,0,43525
1988-08-01,0.03302,0,0
1988-09-01,0.54459,502813,41781
1988-10-01,0.49292,0,86448
1988-11-01,0.13399,0,42241
1988-12-01,0.44845,245609,45673
1989-01-01,0.76221,179659,43117
1989-02-01,0.40534,182008,128629
1989-03-01,0.42599,152065,43661
1989-04-01,0.55257,0,136145
1989-05-01,0.48565,330061,57378
1989-06-01,0.52898,149530,96245
1989-07-01,0.73421,515463,85493
1989-08-01,0.40991,233016,42248
1989-09-01,0.99089,357313,130753
1989-10-01,0.21881,0,83156
1989-11-01,1.04961,510130,179848
1989-12-01,0.4922,207672,93489
1990-01-01,0.7711,505553,128141
1990-02-01,0.96763,646651,95958
1990-03-01,1.19553,575815,131239
1990-04-01,0.83987,357074,125024
1990-05-01,0.42181,152065,0
1990-06-01,0.92361,641247,130800
1990-07-01,1.13732,921575,43003
1990-08-01,0.44754,272999,42025
1990-09-01,1.35373,917390,42249
1990-10-01,0.46777,149512,144113
1990-11-01,0.77424,604925,90324
1990-12-01,0.7526,149782,323936
1991-01-01,0.75439,299667,86853
1991-02-01,0.51658,184403,213835
1991-03-01,0.97756,609100,180650
1991-04-01,0.12085,0,0
1991-05-01,0.50745,260826,177262
1991-06-01,0.41942,0,130351
1991-07-01,0.18878,0,143332
1991-08-01,0.45715,299040,84608
1991-09-01,0.27392,0,88667
1991-10-01,0.33253,0,86372
1991-11-01,0.53924,445173,94064
1991-12-01,0.4634,151511,100007
1992-01-01,0.15623,0,86777
1992-02-01,0.21645,135364,41971
1992-03-01,0.16832,0,42276
1992-04-01,0.28153,175075,0
1992-05-01,0.40417,151533,141638
1992-06-01,0.75546,621748,0
1992-07-01,0.49158,299861,132779
1992-08-01,0.30435,149402,90551
1992-09-01,0.64415,529777,43366
1992-10-01,0.49486,300406,86955
1992-11-01,0.25185,149383,0
1992-12-01,0.51472,300929,0
1993-01-01,0.93624,739532,43620
1993-02-01,1.10653,900461,43366
1993-03-01,0.54126,307473,194998
1993-04-01,0.71725,287911,0
1993-05-01,0.56539,310866,43396
1993-06-01,0.42598,161643,0
1993-07-01,0.80805,272251,0
1993-08-01,0.96638,781923,0
1993-09-01,0.60258,150809,0
1993-10-01,0.3562,161590,52580
1993-11-01,0.37911,152042,0
1993-12-01,0.57167,150842,50587
1994-01-01,0.31228,0,0
1994-02-01,0.86282,437392,144196
1994-03-01,0.82275,324444,92331
1994-04-01,1.63938,1077166,135837
1994-05-01,0.67107,0,177767
1994-06-01,1.08233,504114,262940
1994-07-01,1.38339,457125,442243
1994-08-01,0.85585,151439,272676
1994-09-01,1.73912,621074,454218
1994-10-01,1.20256,284449,312221
1994-11-01,0.64101,312704,135279
1994-12-01,0.7654,148663,225979
1995-01-01,2.49633,1525329,86856
1995-02-01,1.35754,463933,235671
1995-03-01,1.85789,757086,186078
1995-04-01,0.97276,299776,402881
1995-05-01,1.91746,476045,448365
1995-06-01,1.25037,516726,406500
1995-07-01,1.32218,307201,179455
1995-08-01,0.8091,312224,274485
1995-09-01,1.03023,173246,594112
1995-10-01,1.12558,301536,181237
1995-11-01,0.56705,167573,226735
1995-12-01,0.73575,0,277549
1996-01-01,2.08846,1055392,272490
1996-02-01,1.15021,477749,229411
1996-03-01,1.38452,625386,412604
1996-04-01,1.44002,522456,318819
1996-05-01,1.13571,354559,466110
1996-06-01,1.75575,839903,412454
1996-07-01,2.14245,1144794,416562
1996-08-01,0.60005,168146,324321
1996-09-01,2.02548,1017111,514357
1996-10-01,0.99919,486339,89456
1996-11-01,1.51838,869680,361921
1996-12-01,1.12829,342575,324976
1997-01-01,3.26673,1840474,612171
1997-02-01,1.20075,657817,97377
1997-03-01,2.65039,1240238,452431
1997-04-01,1.65453,510041,192722
1997-05-01,1.11865,507265,238669
1997-06-01,2.10304,1144936,181130
1997-07-01,1.12095,0,367196
1997-08-01,1.06333,339080,288623
1997-09-01,1.78435,493294,519788
1997-10-01,1.12278,0,192675
1997-11-01,0.86204,322457,138027
1997-12-01,0.91777,165819,244498
1998-01-01,1.84588,327767,505731
1998-02-01,1.29022,348270,503473
1998-03-01,1.38011,0,234608
1998-04-01,0.87992,0,322843
1998-05-01,0.92722,149322,279839
1998-06-01,1.02514,151249,317848
1998-07-01,0.92947,172704,236800
1998-08-01,0.76114,319376,185087
1998-09-01,0.88127,148609,372496
1998-10-01,0.65657,179385,144800
1998-11-01,0.54948,154191,97225
1998-12-01,0.60403,0,241984
1999-01-01,1.55311,337204,332013
1999-02-01,1.09162,513569,145801
1999-03-01,1.8162,683107,336034
1999-04-01,1.37659,569688,140927
1999-05-01,0.82734,513738,92922
1999-06-01,1.27728,513797,188144
1999-07-01,0.95127,339577,96263
1999-08-01,0.8005,172566,144231
1999-09-01,1.22657,344340,190532
1999-10-01,0.88695,172515,192689
1999-11-01,0.72362,171199,140275
1999-12-01,0.26223,0,0
2000-01-01,2.07273,682601,377559
2000-02-01,0.84698,354914,96589
2000-03-01,1.70566,687861,144862
2000-04-01,1.06266,507317,90554
2000-05-01,0.65323,152398,141930
2000-06-01,1.12166,513447,334921
2000-07-01,0.76388,171191,291252
2000-08-01,1.13393,514163,285349
2000-09-01,1.54739,831318,46644
2000-10-01,0.88394,171191,52073
2000-11-01,0.94089,340237,144604
2000-12-01,0.49823,172571,0
2001-01-01,2.55352,514276,603907
2001-02-01,1.5604,574690,249953
2001-03-01,2.87868,983211,403484
2001-04-01,1.29854,0,611052
2001-05-01,1.74959,169229,454387
2001-06-01,1.96398,619595,443924
2001-07-01,2.32009,676426,454041
2001-08-01,1.32374,276442,358377
2001-09-01,2.58662,1194931,536632
2001-10-01,0.77481,170726,302558
2001-11-01,1.18945,341728,352997
2001-12-01,0.46557,0,204229
2002-01-01,2.87293,860106,658833
2002-02-01,1.16433,526462,254336
2002-03-01,1.72126,340198,493526
2002-04-01,0.8761,175775,309950
2002-05-01,1.75049,520387,404682
2002-06-01,0.92751,176391,356428
2002-07-01,1.38734,419404,506056
2002-08-01,1.02298,164218,454580
2002-09-01,0.73495,175775,413480
2002-10-01,0.96995,184877,458849
2002-11-01,0.51081,0,249359
2002-12-01,0.35958,0,104273
2003-01-01,1.70155,700289,470298
2003-02-01,0.45777,0,216448
2003-03-01,1.17892,529342,424437
2003-04-01,0.94955,203508,364421
2003-05-01,1.0356,533240,253105
2003-06-01,1.24622,525393,355955
2003-07-01,0.75175,374324,99783
2003-08-01,1.13583,700127,300650
2003-09-01,0.88675,351650,152649
2003-10-01,1.06474,527135,314187
2003-11-01,0.77537,342143,273300
2003-12-01,0.80661,353228,271717
2004-01-01,1.78186,1045661,351516
2004-02-01,1.58089,688461,264668
2004-03-01,1.47695,350830,473825
2004-04-01,1.09214,170081,223266
2004-05-01,1.91302,931066,255232
2004-06-01,1.51626,591666,305414
2004-07-01,1.97211,716110,374764
2004-08-01,1.1127,354393,266499
2004-09-01,2.43377,735986,633114
2004-10-01,1.30015,383588,318870
2004-11-01,2.09384,909854,419971
2004-12-01,1.29807,549457,272909
2005-01-01,2.29632,1084750,590419
2005-02-01,1.21648,357371,212322
2005-03-01,2.46946,1088628,495449
2005-04-01,2.05754,383415,641233
2005-05-01,1.93008,542335,492478
2005-06-01,1.48641,523494,378597
2005-07-01,2.458,586454,747800
2005-08-01,1.68242,905078,221294
2005-09-01,2.32914,1232586,374210
2005-10-01,1.9887,560830,557751
2005-11-01,2.54735,1135067,474751
2005-12-01,1.33427,351300,454784
2006-01-01,3.12125,1447579,433424
2006-02-01,1.47339,709004,386834
2006-03-01,2.70326,737405,705812
2006-04-01,2.6584,1252952,514394
2006-05-01,1.61783,529537,221067
2006-06-01,2.57959,1058886,537564
2006-07-01,1.46676,171827,487323
2006-08-01,2.09892,1071778,162057
2006-09-01,2.05117,526872,378108
2006-10-01,2.64079,1651317,477445
2006-11-01,1.84144,522125,470503
2006-12-01,1.7039,758193,272865
2007-01-01,2.73051,1548690,279675
2007-02-01,1.89179,793088,380958
2007-03-01,2.0843,932387,389236
2007-04-01,2.80253,1345491,465873
2007-05-01,1.70125,587330,589318
2007-06-01,1.96635,555338,545728
2007-07-01,2.87974,1390672,644768
2007-08-01,1.40878,360410,272242
2007-09-01,1.79599,562035,486095
2007-10-01,1.31757,357403,428489
2007-11-01,2.72194,1150620,539547
2007-12-01,2.24965,1093019,325268
2008-01-01,2.35314,712779,665072
2008-02-01,1.61746,358170,599944
2008-03-01,2.37548,735018,615067
2008-04-01,1.2266,358053,165744
2008-05-01,2.61084,562285,713821
2008-06-01,2.77647,1261930,866436
2008-07-01,1.60413,477642,376272
2008-08-01,2.34621,704726,485099
2008-09-01,1.78532,475339,516887
2008-10-01,2.35541,927763,443072
2008-11-01,2.77597,1018421,899928
2008-12-01,2.98179,1209519,654836
2009-01-01,3.15089,533312,1216796
2009-02-01,2.26201,812511,438518
2009-03-01,2.93917,1055226,669458
2009-04-01,3.25188,1124953,967329
2009-05-01,3.04544,885369,781515
2009-06-01,4.43471,1936471,606425
2009-07-01,4.79935,3119144,616978
2009-08-01,3.90391,1421366,1228036
2009-09-01,5.86475,3217048,951230
2009-10-01,4.86929,2287824,938373
2009-11-01,4.91346,2133205,1239692
2009-12-01,4.30547,2460361,680756
2010-01-01,7.63864,3044729,1904054
2010-02-01,5.27663,2567085,987127
2010-03-01,7.24572,4213166,1676872
2010-04-01,6.62459,2563920,1628469
2010-05-01,5.96872,2631893,1927250
2010-06-01,6.99558,3439148,1317391
2010-07-01,8.52672,4588775,1734595
2010-08-01,5.34921,2137919,1297888
2010-09-01,7.84683,3509564,2048499
2010-10-01,6.95476,3652782,1244382
2010-11-01,7.09102,2668213,1703106
2010-12-01,6.85428,3399556,1435033
2011-01-01,12.43512,6593425,2846576
2011-02-01,4.46637,2071956,735771
2011-03-01,8.56438,3886398,2266786
2011-04-01,6.25809,3027111,1197221
2011-05-01,9.47474,4105237,2214058
2011-06-01,8.6111,3546232,2005480
2011-07-01,9.03848,3436341,2215949
2011-08-01,6.68141,2845409,1392799
2011-09-01,12.17496,5763387,2364351
2011-10-01,7.72762,3269447,1538792
2011-11-01,8.85843,4149372,2002398
2011-12-01,6.5639,2853003,1561571
2012-01-01,12.78912,5318968,2767581
2012-02-01,8.06608,3371614,1646809
2012-03-01,10.0271,4383585,1994572
2012-04-01,9.21628,4751047,1784552
2012-05-01,10.23558,4240671,1929760
2012-06-01,14.13663,6374364,2916231
2012-07-01,7.18212,3253388,1368563
2012-08-01,5.68646,1551087,1344534
2012-09-01,8.29615,3700295,1868477
2012-10-01,5.8213,2168182,1412591
2012-11-01,6.19796,1734454,1622807
2012-12-01,3.27749,1249388,466438
2013-01-01,11.09857,3625776,2510650
2013-02-01,3.81387,1293137,996880
2013-03-01,7.63277,3499772,1590514
2013-04-01,4.9534,2175958,1004377
2013-05-01,5.02941,1408832,1155766
2013-06-01,4.27902,1717846,1018176
2013-07-01,5.00492,1806694,900359
2013-08-01,3.34387,1000525,721708
2013-09-01,4.18432,1549243,1036782
2013-10-01,5.74224,1511193,1712948
2013-11-01,5.78088,1975855,1407518
2013-12-01,2.31276,498416,702120
2014-01-01,7.24934,2860284,1170599
2014-02-01,3.58971,1564617,636783
2014-03-01,5.30305,2107878,965965
2014-04-01,3.90341,1178811,908687
2014-05-01,3.10662,980449,746183
2014-06-01,4.32171,1734867,999661
2014-07-01,4.70905,2006553,1318692
2014-08-01,2.02465,564764,757321
2014-09-01,5.22383,2161593,1017831
2014-10-01,4.404,1862341,1138048
2014-11-01,2.65559,866922,886353
2014-12-01,1.73717,650128,591296
2015-01-01,8.36071,3564940,2296522
2015-02-01,3.24857,1072503,1213249
2015-03-01,4.06241,1092968,1658469
2015-04-01,4.01606,1434846,803889
2015-05-01,3.59796,831514,1213978
2015-06-01,4.24862,1149589,1036633
2015-07-01,4.60106,2090797,1255726
2015-08-01,3.84875,1331616,1038270
2015-09-01,4.91342,1517668,1845373
2015-10-01,4.00969,1052174,1603983
2015-11-01,2.53398,933374,972706
2015-12-01,1.90817,850839,493121
2016-01-01,8.606,3300770,1961481
2016-02-01,4.7393,2606254,1101662
2016-03-01,4.86891,1952742,1392389
2016-04-01,3.2381,1140540,1230325
2016-05-01,3.48052,1478847,858065
2016-06-01,3.96535,1802927,982762
2016-07-01,3.09372,1107923,918002
2016-08-01,2.67605,1139082,808159
2016-09-01,5.34506,2869214,1212773
2016-10-01,2.89141,1146827,969583
2016-11-01,2.68731,598084,1229583
2016-12-01,1.68644,828496,293367
2017-01-01,8.77174,3245021,2521423
2017-02-01,3.91932,1881320,737838
2017-03-01,5.35048,2383958,1106850
2017-04-01,2.59734,955600,795800
2017-05-01,3.19171,1263842,955324
2017-06-01,4.09597,1617673,1186350
