Date,Total Crude Tanker Demolition m.dwt [1989676],Total Product Tanker 10k+ Demolition m.dwt [39652]
1996-01-01,,0.01789
1996-02-01,,0.05814
1996-03-01,,0.05222
1996-04-01,,0.10414
1996-05-01,,0.05535
1996-06-01,,0.07156
1996-07-01,,0
1996-08-01,,0.16253
1996-09-01,,0.02264
1996-10-01,,0.10546
1996-11-01,,0
1996-12-01,,0.0364
1997-01-01,,0.09759
1997-02-01,,0
1997-03-01,,0
1997-04-01,,0.09281
1997-05-01,,0.03842
1997-06-01,,0
1997-07-01,,0.05166
1997-08-01,,0.0524
1997-09-01,,0.02077
1997-10-01,,0.0727
1997-11-01,,0.0399
1997-12-01,,0.03787
1998-01-01,,0
1998-02-01,,0.01257
1998-03-01,,0
1998-04-01,,0
1998-05-01,,0.06672
1998-06-01,,0
1998-07-01,,0.09659
1998-08-01,,0.02594
1998-09-01,,0.03578
1998-10-01,,0.02891
1998-11-01,,0.07042
1998-12-01,,0.02594
1999-01-01,,0.07649
1999-02-01,,0.1239
1999-03-01,,0
1999-04-01,,0.13395
1999-05-01,,0.04442
1999-06-01,,0.10137
1999-07-01,,0.03128
1999-08-01,,0.02538
1999-09-01,,0.05704
1999-10-01,,0.01368
1999-11-01,,0.06984
1999-12-01,,0.02774
2000-01-01,,0.14664
2000-02-01,,0.13742
2000-03-01,,0.19332
2000-04-01,,0.17903
2000-05-01,,0.29855
2000-06-01,,0.22992
2000-07-01,,0.20723
2000-08-01,,0.21998
2000-09-01,,0.1311
2000-10-01,,0.10962
2000-11-01,,0.16446
2000-12-01,,0.34637
2001-01-01,,0.07629
2001-02-01,,0.10038
2001-03-01,,0.09062
2001-04-01,,0.0687
2001-05-01,,0.17816
2001-06-01,,0.03695
2001-07-01,,0.077
2001-08-01,,0.09142
2001-09-01,,0.04994
2001-10-01,,0.04714
2001-11-01,,0.13022
2001-12-01,,0.04519
2002-01-01,,0.28336
2002-02-01,,0.20203
2002-03-01,,0.02963
2002-04-01,,0.25672
2002-05-01,,0.29882
2002-06-01,,0.12092
2002-07-01,,0.19201
2002-08-01,,0.38855
2002-09-01,,0.1627
2002-10-01,,0.24423
2002-11-01,,0.07557
2002-12-01,,0.28461
2003-01-01,,0.30838
2003-02-01,,0.3122
2003-03-01,,0.05964
2003-04-01,,0.12637
2003-05-01,,0.36201
2003-06-01,,0.27895
2003-07-01,,0.46457
2003-08-01,,0.29242
2003-09-01,,0.27139
2003-10-01,,0.26376
2003-11-01,,0.23109
2003-12-01,,0.21627
2004-01-01,,0.21193
2004-02-01,,0.06716
2004-03-01,,0.12898
2004-04-01,,0.35653
2004-05-01,,0.08186
2004-06-01,,0.09957
2004-07-01,,0.12176
2004-08-01,,0.14492
2004-09-01,,0.12741
2004-10-01,,0.07164
2004-11-01,,0.13083
2004-12-01,,0.15978
2005-01-01,0.18,0.09858
2005-02-01,0.587,0.14038
2005-03-01,0.712,0.10124
2005-04-01,0.49,0.18251
2005-05-01,0.334,0.1334
2005-06-01,0.097,0.10782
2005-07-01,0.287,0.08692
