Date,Total Bulkcarrier Demolition m.dwt [30234]
1970-01-01,0.03645
1970-02-01,0
1970-03-01,0
1970-04-01,0.03511
1970-05-01,0
1970-06-01,0
1970-07-01,0.0364
1970-08-01,0.0112
1970-09-01,0
1970-10-01,0.02482
1970-11-01,0.01363
1970-12-01,0.01372
1971-01-01,0
1971-02-01,0
1971-03-01,0
1971-04-01,0.01694
1971-05-01,0
1971-06-01,0.01577
1971-07-01,0.02398
1971-08-01,0
1971-09-01,0.01575
1971-10-01,0
1971-11-01,0.01121
1971-12-01,0
1972-01-01,0.02496
1972-02-01,0.01439
1972-03-01,0.02238
1972-04-01,0
1972-05-01,0.02624
1972-06-01,0.02439
1972-07-01,0.03508
1972-08-01,0.01107
1972-09-01,0.01942
1972-10-01,0
1972-11-01,0.01444
1972-12-01,0.03759
1973-01-01,0
1973-02-01,0
1973-03-01,0.042
1973-04-01,0.04106
1973-05-01,0
1973-06-01,0.04089
1973-07-01,0.0108
1973-08-01,0.07107
1973-09-01,0.02368
1973-10-01,0.02443
1973-11-01,0.04933
1973-12-01,0.01435
1974-01-01,0.03143
1974-02-01,0.03437
1974-03-01,0.02419
1974-04-01,0.01402
1974-05-01,0.02526
1974-06-01,0
1974-07-01,0.0373
1974-08-01,0.08664
1974-09-01,0.01301
1974-10-01,0.0543
1974-11-01,0.0214
1974-12-01,0
1975-01-01,0.02357
1975-02-01,0.05913
1975-03-01,0.03753
1975-04-01,0.01059
1975-05-01,0.07301
1975-06-01,0.03769
1975-07-01,0.09472
1975-08-01,0
1975-09-01,0.09031
1975-10-01,0.0363
1975-11-01,0
1975-12-01,0.0236
1976-01-01,0.03456
1976-02-01,0
1976-03-01,0.02608
1976-04-01,0.0826
1976-05-01,0.02635
1976-06-01,0.09839
1976-07-01,0
1976-08-01,0.03764
1976-09-01,0.02784
1976-10-01,0.01439
1976-11-01,0.07203
1976-12-01,0.03466
1977-01-01,0.1025
1977-02-01,0.04421
1977-03-01,0.07658
1977-04-01,0.14342
1977-05-01,0.13501
1977-06-01,0.03885
1977-07-01,0.06288
1977-08-01,0.02328
1977-09-01,0.0755
1977-10-01,0.15021
1977-11-01,0.09465
1977-12-01,0.1685
1978-01-01,0.1959
1978-02-01,0.16261
1978-03-01,0.28978
1978-04-01,0.22343
1978-05-01,0.15174
1978-06-01,0.2177
1978-07-01,0.10102
1978-08-01,0.3071
1978-09-01,0.16419
1978-10-01,0.09093
1978-11-01,0.13475
1978-12-01,0.17397
1979-01-01,0.01542
1979-02-01,0.12005
1979-03-01,0.03661
1979-04-01,0.08766
1979-05-01,0.25078
1979-06-01,0.11657
1979-07-01,0.13764
1979-08-01,0.12829
1979-09-01,0.17239
