Date,Bangladesh Scrap Price MR/Handy Tanker $/ldt [542047],Bangladesh Scrap Price Kamsarmax/Panamax Bulker $/ldt [542043],Bangladesh Scrap Price Capesize Bulker $/ldt [12452]
2004-02-01,420,375,375
2004-03-01,395,375,375
2004-04-01,400,370,370
2004-05-01,370,350,350
2004-06-01,335,300,300
2004-07-01,410,355,355
2004-08-01,416,360,360
2004-09-01,405,375,375
2004-10-01,410,375,375
2004-11-01,426,385,385
2004-12-01,436,390,390
2005-01-01,450,405,405
2005-02-01,466,415,415
2005-03-01,425,390,390
2005-04-01,410,380,380
2005-05-01,390,360,360
2005-06-01,325,290,290
2005-07-01,400,365,365
2005-08-01,400,340,340
2005-09-01,400,340,340
2005-10-01,370,335,335
2005-11-01,365,345,345
2005-12-01,390,345,345
2006-01-01,370,345,345
2006-02-01,375,340,340
2006-03-01,385,340,340
2006-04-01,385,350,350
2006-05-01,393,370,370
2006-06-01,370,340,340
2006-07-01,390,360,360
2006-08-01,415,360,360
2006-09-01,441,400,400
2006-10-01,455,415,415
2006-11-01,465,400,400
2006-12-01,455,415,415
2007-01-01,445,420,420
2007-02-01,475,420,420
2007-03-01,470,420,420
2007-04-01,505,440,440
2007-05-01,507,440,440
2007-06-01,520,440,440
2007-07-01,565,500,500
2007-08-01,590,520,520
2007-09-01,590,520,520
2007-10-01,540,480,480
2007-11-01,535,480,480
2007-12-01,535,480,480
2008-01-01,500,460,460
2008-02-01,650,630,630
2008-03-01,750,680,680
2008-04-01,720,690,690
2008-05-01,700,660,660
2008-06-01,710,650,650
2008-07-01,740,660,660
2008-08-01,700,650,650
2008-09-01,600,550,550
2008-10-01,250,200,200
2008-11-01,300,260,260
2008-12-01,300,260,260
2009-01-01,295,270,270
2009-02-01,325,300,300
2009-03-01,370,335,335
2009-04-01,300,275,275
2009-05-01,275,245,245
2009-06-01,320,260,260
2009-07-01,330,260,260
2009-08-01,340,270,270
2009-09-01,360,290,290
2009-10-01,320,280,280
2009-11-01,355,300,300
2009-12-01,370,310,310
2010-01-01,425,350,350
2010-02-01,395,350,350
2010-03-01,450,410,410
2010-04-01,475,430,430
2010-05-01,405,370,370
2010-06-01,400,360,360
2010-07-01,420,370,370
2010-08-01,420,370,370
2010-09-01,420,370,370
2010-10-01,420,370,370
2010-11-01,420,370,370
2010-12-01,420,370,370
2011-01-01,420,370,370
2011-02-01,420,370,370
2011-03-01,420,370,370
2011-04-01,510,510,510
2011-05-01,515,505,505
2011-06-01,510,500,500
2011-07-01,510,500,500
2011-08-01,525,510,510
2011-09-01,515,510,510
2011-10-01,520,505,505
2011-11-01,520,505,505
2011-12-01,520,505,505
2012-01-01,495,470,470
2012-02-01,485,470,470
2012-03-01,465,465,465
2012-04-01,495,490,490
2012-05-01,440,430,430
2012-06-01,390,375,375
2012-07-01,430,410,410
2012-08-01,435,420,420
2012-09-01,405,395,395
2012-10-01,380,380,380
2012-11-01,415,410,410
2012-12-01,410,405,405
2013-01-01,435,425,425
2013-02-01,425,415,415
2013-03-01,430,425,425
2013-04-01,440,425,425
2013-05-01,415,415,415
2013-06-01,415,410,410
2013-07-01,405,400,400
2013-08-01,380,365,365
2013-09-01,415,390,390
2013-10-01,435,415,415
2013-11-01,440,435,435
2013-12-01,430,425,425
2014-01-01,450,445,445
2014-02-01,445,435,435
2014-03-01,460,450,450
2014-04-01,470,465,465
2014-05-01,480,475,475
2014-06-01,475,460,460
2014-07-01,475,460,460
2014-08-01,495,480,480
2014-09-01,505,490,490
2014-10-01,495,480,480
2014-11-01,475,460,460
2014-12-01,455,440,440
2015-01-01,425,415,415
2015-02-01,380,360,360
2015-03-01,385,390,390
2015-04-01,405,415,415
2015-05-01,370,360,360
2015-06-01,370,375,375
2015-07-01,320,310,310
2015-08-01,290,280,280
2015-09-01,305,295,295
2015-10-01,315,320,320
2015-11-01,305,310,310
2015-12-01,295,295,295
2016-01-01,255,250,250
2016-02-01,240,235,235
2016-03-01,250,255,255
2016-04-01,300,300,300
2016-05-01,275,280,280
2016-06-01,265,275,275
2016-07-01,265,285,285
2016-08-01,270,285,285
2016-09-01,295,310,310
2016-10-01,280,300,300
2016-11-01,280,300,300
2016-12-01,295,340,340
2017-01-01,315,335,335
2017-02-01,310,345,345
2017-03-01,385,390,390
2017-04-01,385,390,390
2017-05-01,350,355,355
2017-06-01,365,355,355
2017-07-01,385,385,385
2017-08-01,415,415,415
2017-09-01,415,410,410
2017-10-01,385,385,385
2017-11-01,415,420,420
2017-12-01,435,430,430
2018-01-01,450,470,470
2018-02-01,450,475,475
2018-03-01,475,490,490
2018-04-01,430,445,445
2018-05-01,430,445,445
2018-06-01,435,440,440
2018-07-01,425,430,430
2018-08-01,435,445,445
2018-09-01,450,455,455
2018-10-01,465,465,465
2018-11-01,445,445,445
2018-12-01,425,425,425
2019-01-01,415,420,430
2019-02-01,415,425,435
2019-03-01,440,440,455
2019-04-01,445,460,465
2019-05-01,415,415,420
2019-06-01,415,415,420
2019-07-01,405,410,410
2019-08-01,385,380,380
2019-09-01,375,370,370
2019-10-01,400,395,400
2019-11-01,380,380,390
2019-12-01,385,385,390
2020-01-01,390,390,395
2020-02-01,370,375,380
2020-03-01,350,350,355
2020-04-01,320,315,315
2020-05-01,295,290,295
2020-06-01,290,285,295
2020-07-01,290,295,300
2020-08-01,335,340,335
2020-09-01,360,360,360
2020-10-01,355,360,360
2020-11-01,400,400,400
2020-12-01,410,415,415
2021-01-01,430,420,420
2021-02-01,450,450,450
2021-03-01,500,500,500
2021-04-01,535,520,520
2021-05-01,555,550,550
2021-06-01,580,575,580
2021-07-01,610,610,615
2021-08-01,590,590,590
2021-09-01,600,590,590
2021-10-01,605,595,595
2021-11-01,615,615,615
2021-12-01,605,590,590
2022-01-01,650,635,630
2022-02-01,670,665,660
2022-03-01,675,665,665
2022-04-01,675,672,672
2022-05-01,640,635,630
2022-06-01,605,600,595
2022-07-01,590,585,580
2022-08-01,590,580,575
2022-09-01,620,610,605
2022-10-01,620,610,605
2022-11-01,500,500,500
2022-12-01,510,510,505
2023-01-01,540,520,515
2023-02-01,580,565,550
2023-03-01,615,605,590
2023-04-01,595,585,575
2023-05-01,585,570,560
2023-06-01,585,575,560
2023-07-01,575,560,550
2023-08-01,525,515,510
2023-09-01,510,500,495
2023-10-01,515,500,490
2023-11-01,515,500,495
2023-12-01,510,495,485
2024-01-01,530,515,510
2024-02-01,535,520,515
2024-03-01,530,520,515
2024-04-01,540,530,520
2024-05-01,545,530,520
2024-06-01,540,530,520
2024-07-01,535,525,515
2024-08-01,515,505,495
2024-09-01,505,490,485
2024-10-01,485,465,460
2024-11-01,480,465,460
2024-12-01,490,480,475
2025-01-01,480,460,455
2025-02-01,465,450,445
2025-03-01,465,455,450
2025-04-01,475,465,460
2025-05-01,475,460,455
2025-06-01,455,440,435
2025-07-01,420,405,400
2025-08-01,430,415,410
2025-09-01,420,400,395
2025-10-01,425,410,405
2025-11-01,415,405,400
2025-12-01,420,400,395
2026-01-01,420,400,395
2026-02-01,435,420,415
2026-03-01,455,440,435
2026-04-01,485,470,465
2026-05-01,480,465,460
2026-06-01,490,475,470
2026-07-01,480,465,460
2026-08-01,520,505,500
2026-09-01,530,515,510
