Date,World Seaborne Oil Products Trade Mt [98802],World Seaborne Oil Products Trade Bn Tonne-Miles [534403],World Seaborne Oil Products Trade mbpd [534034]
1990-01-01,433.08624,1311.75399,
1991-01-01,422.06085,1252.052,
1992-01-01,447.95503,1277.75091,
1993-01-01,483.22703,1408.44404,
1994-01-01,495.04186,1397.61112,
1995-01-01,498.38596,1381.24647,10.78698
1996-01-01,544.06423,1476.73434,11.74346
1997-01-01,571.2626,1513.97839,12.36431
1998-01-01,567.09053,1504.64894,12.27401
1999-01-01,580.61305,1591.07451,12.56669
2000-01-01,585.60678,1604.43984,12.64015
2001-01-01,600.45409,1696.35308,12.99613
2002-01-01,596.90708,1620.79486,12.91936
2003-01-01,622.07563,1675.68809,13.4641
2004-01-01,664.33673,1830.41946,14.33951
2005-01-01,719.35668,1964.92685,15.56964
2006-01-01,747.74732,2064.55657,16.18412
2007-01-01,787.05134,2202.44092,17.03481
2008-01-01,829.51681,2368.57836,17.90487
2009-01-01,856.21588,2542.89389,18.5318
2010-01-01,894.39938,2626.44191,19.35823
2011-01-01,928.5457,2691.11677,20.09729
2012-01-01,939.69848,2680.86064,20.28311
2013-01-01,990.27406,2836.34951,21.43333
2014-01-01,976.67861,2810.62257,21.13907
2015-01-01,1042.00729,2987.532,22.55303
2016-01-01,1091.44471,3100.5697,23.55851
2017-01-01,1093.17656,3088.3182,23.66053
2018-01-01,1093.90252,3069.683,23.67625
2019-01-01,1081.82343,3119.6513,23.41481
2020-01-01,955.85004,2790.87606,20.63174
2021-01-01,997.93305,3014.74538,21.5991
2022-01-01,1049.14377,3228.14541,22.7075
2023-01-01,1074.48713,3435.0623,23.25602
2024-01-01,1070.33033,3685.30993,23.10276
2025-01-01,1062.42751,3642.21323,22.99501
2026-01-01,968.36793,3314.56344,20.9592
2027-01-01,1028.9638,3531.25382,22.27072
