Date,World Seaborne Total Coal Trade Mt [534597],World Seaborne Total Coal Trade Bn Tonne-Miles [534409]
1990-01-01,331.13052,1811.89087
1991-01-01,351.16763,1958.88039
1992-01-01,356.52423,1960.84025
1993-01-01,357.54075,1909.88388
1994-01-01,369.97251,1973.57935
1995-01-01,401.64594,2131.73344
1996-01-01,422.14658,2171.89937
1997-01-01,447.45299,2284.55991
1998-01-01,450.57768,2369.79007
1999-01-01,457.95277,2315.01001
2000-01-01,508.92265,2492.16769
2001-01-01,546.12144,2526.38877
2002-01-01,556.54239,2569.77895
2003-01-01,599.46529,2736.51071
2004-01-01,640.93009,2843.14618
2005-01-01,671.18329,2844.43182
2006-01-01,712.25081,2980.72406
2007-01-01,761.82086,2973.0897
2008-01-01,790.78153,3173.83464
2009-01-01,806.75208,3171.6324
2010-01-01,927.08717,3742.8236
2011-01-01,999.95435,4010.1344
2012-01-01,1112.98803,4471.23079
2013-01-01,1184.54778,4690.38156
2014-01-01,1219.82852,4713.79882
2015-01-01,1137.35388,4467.87221
2016-01-01,1142.11118,4467.86732
2017-01-01,1213.16753,4744.97604
2018-01-01,1274.77915,5002.092
2019-01-01,1299.5438,4965.80123
2020-01-01,1181.39147,4493.91021
2021-01-01,1223.36564,4733.6496
2022-01-01,1233.55523,4889.7447
2023-01-01,1335.78862,5459.14952
2024-01-01,1389.49516,5798.73314
2025-01-01,1333.57538,5379.63897
2026-01-01,1354.56257,5556.50956
2027-01-01,1343.56188,5520.78051
