Date,World Seaborne Grain Trade incl Soybeans Mt annual [534096],Grain Trade Bn Tonne-Miles annual [534400],Monthly Global Seaborne Grain Trade Indicator %YrYr [547349]
1990-01-01,195.47394,1156.40968,
1991-01-01,194.64827,1152.09874,
1992-01-01,201.64502,1175.80891,
1993-01-01,181.8081,1118.68895,
1994-01-01,177.53718,1069.11314,
1995-01-01,192.57805,1250.17263,
1996-01-01,198.12665,1213.52964,
1997-01-01,210.71339,1259.87224,
1998-01-01,208.83152,1146.71006,
1999-01-01,223.25434,1182.15253,
2000-01-01,239.44971,1204.50881,
2001-01-01,243.45384,1349.00217,
2002-01-01,241.47079,1204.63526,
2003-01-01,244.16173,1300.68226,
2004-01-01,233.96819,1379.69206,
2005-01-01,260.3144,1519.96942,
2006-01-01,266.81556,1473.05238,
2007-01-01,283.95904,1555.08659,
2008-01-01,290.2991,1676.38465,
2009-01-01,310.27849,1767.6955,
2010-01-01,329.95981,1992.29972,
2011-01-01,327.70385,1962.65435,
2012-01-01,354.80696,2165.7347,
2013-01-01,371.95496,2387.41269,
2014-01-01,417.65488,2585.31504,
2015-01-01,441.03345,2833.94328,99.28498
2015-02-01,,,92.27086
2015-03-01,,,105.53336
2015-04-01,,,103.27275
2015-05-01,,,109.12526
2015-06-01,,,105.55471
2015-07-01,,,110.27485
2015-08-01,,,102.80876
2015-09-01,,,109.47518
2015-10-01,,,123.03192
2015-11-01,,,110.81245
2015-12-01,,,118.50752
2016-01-01,463.46457,2914.72651,95.8301
2016-02-01,,,115.06749
2016-03-01,,,126.70822
2016-04-01,,,122.67127
2016-05-01,,,113.14333
2016-06-01,,,104.1936
2016-07-01,,,107.7886
2016-08-01,,,125.10783
2016-09-01,,,110.32219
2016-10-01,,,109.01966
2016-11-01,,,109.32075
2016-12-01,,,108.39346
2017-01-01,487.05563,3106.04474,112.46948
2017-02-01,,,99.92822
2017-03-01,,,135.96706
2017-04-01,,,127.20508
2017-05-01,,,125.91442
2017-06-01,,,110.44061
2017-07-01,,,112.6061
2017-08-01,,,128.34093
2017-09-01,,,123.63548
2017-10-01,,,119.26415
2017-11-01,,,119.58954
2017-12-01,,,117.27629
2018-01-01,486.26135,2971.06154,112.00989
2018-02-01,,,96.85964
2018-03-01,,,135.29811
2018-04-01,,,129.07383
2018-05-01,,,136.23112
2018-06-01,,,114.53331
2018-07-01,,,122.36583
2018-08-01,,,124.12118
2018-09-01,,,106.66901
2018-10-01,,,120.04246
2018-11-01,,,118.77515
2018-12-01,,,123.73255
2019-01-01,495.33351,3148.30046,111.56183
2019-02-01,,,106.11847
2019-03-01,,,122.32745
2019-04-01,,,127.8342
2019-05-01,,,127.97412
2019-06-01,,,101.76061
2019-07-01,,,129.87058
2019-08-01,,,136.64583
2019-09-01,,,127.62246
2019-10-01,,,135.4139
2019-11-01,,,127.9852
2019-12-01,,,124.32307
2020-01-01,530.57805,3485.11555,111.12323
2020-02-01,,,100.69601
2020-03-01,,,140.87724
2020-04-01,,,155.70217
2020-05-01,,,137.9367
2020-06-01,,,119.23044
2020-07-01,,,126.73202
2020-08-01,,,144.12694
2020-09-01,,,138.96652
2020-10-01,,,138.75264
2020-11-01,,,135.75121
2020-12-01,,,144.52784
2021-01-01,537.39511,3501.55221,125.66523
2021-02-01,,,114.10857
2021-03-01,,,150.85371
2021-04-01,,,154.18103
2021-05-01,,,145.47248
2021-06-01,,,117.37648
2021-07-01,,,119.00773
2021-08-01,,,140.21553
2021-09-01,,,119.70142
2021-10-01,,,133.13608
2021-11-01,,,132.73977
2021-12-01,,,134.72781
2022-01-01,524.55909,3404.18648,124.87627
2022-02-01,,,122.8728
2022-03-01,,,128.94923
2022-04-01,,,129.32039
2022-05-01,,,121.11819
2022-06-01,,,109.5137
2022-07-01,,,120.42231
2022-08-01,,,132.8994
2022-09-01,,,115.90629
2022-10-01,,,141.81175
2022-11-01,,,127.3217
2022-12-01,,,128.79747
2023-01-01,528.95778,3532.40498,122.07289
2023-02-01,,,113.27447
2023-03-01,,,148.59524
2023-04-01,,,134.95269
2023-05-01,,,138.45455
2023-06-01,,,119.39119
2023-07-01,,,117.69164
2023-08-01,,,130.66003
2023-09-01,,,124.72905
2023-10-01,,,136.32541
2023-11-01,,,128.91735
2023-12-01,,,127.7448
2024-01-01,556.79944,3714.5407,129.99119
2024-02-01,,,132.41536
2024-03-01,,,147.4427
2024-04-01,,,152.96767
2024-05-01,,,136.65648
2024-06-01,,,127.21992
2024-07-01,,,131.76264
2024-08-01,,,124.66139
2024-09-01,,,117.75038
2024-10-01,,,138.63478
2024-11-01,,,128.91829
2024-12-01,,,122.75856
2025-01-01,560.73805,3591.78754,111.55052
2025-02-01,,,115.7958
2025-03-01,,,145.7084
2025-04-01,,,143.63104
2025-05-01,,,138.17346
2025-06-01,,,126.61947
2025-07-01,,,137.90495
2025-08-01,,,141.85561
2025-09-01,,,141.88567
2025-10-01,,,146.8615
2025-11-01,,,135.9767
2025-12-01,,,141.62369
2026-01-01,589.8921,3997.30181,130.14715
2026-02-01,,,131.20227
2026-03-01,,,163.84428
2026-04-01,,,165.92754
2026-05-01,,,152.79039
2026-06-01,,,136.10532
2026-07-01,,,142.70324
2027-01-01,595.52786,4104.12166,
