Date,World Seaborne Bauxite Trade Mt annual [98798],Guinea Seaborne Bauxite Exports est Mt monthly [557125]
1990-01-01,36,
1991-01-01,34.7,
1992-01-01,30.3,
1993-01-01,33.2,
1994-01-01,32.3,
1995-01-01,32,
1996-01-01,33,
1997-01-01,33.5,
1998-01-01,32,
1999-01-01,30.60291,
2000-01-01,30.64722,
2001-01-01,30.68963,
2002-01-01,32.8894,
2003-01-01,34.25495,
2004-01-01,37.08695,
2005-01-01,42.21401,
2006-01-01,48.10233,
2007-01-01,64.85757,
2008-01-01,66.65452,
2009-01-01,46.61297,
2010-01-01,60.95872,
2011-01-01,79.19232,
2012-01-01,76.17276,
2013-01-01,107.17939,
2014-01-01,75.81449,
2015-01-01,94.03148,
2016-01-01,81.74573,
2017-01-01,100.48821,
2018-01-01,115.27044,
2019-01-01,135.91999,
2020-01-01,147.91499,
2021-01-01,143.39662,
2022-01-01,157.37557,6.34375
2022-02-01,,7.79549
2022-03-01,,8.31747
2022-04-01,,7.53329
2022-05-01,,8.74441
2022-06-01,,8.06232
2022-07-01,,6.28835
2022-08-01,,6.44824
2022-09-01,,8.30247
2022-10-01,,8.61881
2022-11-01,,9.98163
2022-12-01,,10.32206
2023-01-01,167.51944,9.20739
2023-02-01,,8.62317
2023-03-01,,11.27755
2023-04-01,,11.43544
2023-05-01,,10.47737
2023-06-01,,9.94737
2023-07-01,,9.02576
2023-08-01,,8.39565
2023-09-01,,9.57271
2023-10-01,,11.04799
2023-11-01,,10.07566
2023-12-01,,12.11429
2024-01-01,188.50323,10.70397
2024-02-01,,10.06219
2024-03-01,,13.52294
2024-04-01,,11.79069
2024-05-01,,12.12038
2024-06-01,,12.93201
2024-07-01,,10.512
2024-08-01,,10.22687
2024-09-01,,10.34123
2024-10-01,,12.07872
2024-11-01,,12.84894
2024-12-01,,13.08721
2025-01-01,228.75648,15.8011
2025-02-01,,13.94198
2025-03-01,,17.33624
2025-04-01,,15.65852
2025-05-01,,16.99817
2025-06-01,,14.64603
2025-07-01,,12.01914
2025-08-01,,10.55303
2025-09-01,,12.38655
2025-10-01,,13.13915
2025-11-01,,13.39852
2025-12-01,,16.97365
2026-01-01,267.95685,18.94083
2026-02-01,,18.11441
2026-03-01,,21.20322
2026-04-01,,20.05689
2026-05-01,,17.25495
2026-06-01,,14.75794
2026-07-01,,14.04445
2026-08-01,,19.71616
2026-09-01,,5.88687
2027-01-01,282.74563,
