Date,World Seaborne Trade Mt [98793],World Seaborne Trade Bn Tonne-Miles [534398],World Seaborne Trade Growth %YrYr tonnes [534430],World GDP Growth %YrYr [10659]
1961-01-01,,,,4.8
1962-01-01,,,,5.3
1963-01-01,,,,4.9
1964-01-01,,,,6.3
1965-01-01,,,,5.2
1966-01-01,,,,5.4
1967-01-01,,,,3.8
1968-01-01,,,,5.8
1969-01-01,,,,5.5
1970-01-01,,,,3.7
1971-01-01,,,,3.7
1972-01-01,,,,5.4
1973-01-01,,,,6.1
1974-01-01,,,,0.6
1975-01-01,,,,-0.3
1976-01-01,,,,5.1
1977-01-01,,,,3.6
1978-01-01,,,,4.7
1979-01-01,,,,3.8
1980-01-01,,,,2.218
1981-01-01,,,,2.314
1982-01-01,,,,0.756
1983-01-01,,,,2.713
1984-01-01,,,,4.621
1985-01-01,,,,3.657
1986-01-01,,,,3.37
1987-01-01,,,,3.948
1988-01-01,,,,4.528
1989-01-01,,,,3.728
1990-01-01,4445.45695,,,3.226
1991-01-01,4512.26452,,1.50283,2.475
1992-01-01,4721.9087,,4.6461,2.174
1993-01-01,4864.64642,,3.02288,1.948
1994-01-01,4982.18605,,2.4162,3.134
1995-01-01,5207.3559,,4.5195,3.272
1996-01-01,5463.53941,,4.91965,3.865
1997-01-01,5776.5468,,5.72902,4.042
1998-01-01,5843.54167,,1.15977,2.606
1999-01-01,6111.81542,,4.59094,3.567
2000-01-01,6437.03532,29874.85756,5.32117,4.798
2001-01-01,6571.04705,30366.69046,2.08189,2.48
2002-01-01,6728.58892,30656.79995,2.39752,2.833
2003-01-01,7063.04381,32442.00613,4.97065,3.799
2004-01-01,7553.80288,34702.44993,6.94827,5.263
2005-01-01,7939.29642,36153.71937,5.1033,4.713
2006-01-01,8245.98569,38160.57211,3.86293,5.286
2007-01-01,8641.43739,39909.96437,4.79569,5.364
2008-01-01,8866.2175,41228.28809,2.60119,2.93
2009-01-01,8522.49547,40045.14208,-3.87676,-0.358
2010-01-01,9249.73106,43476.49599,8.53313,5.252
2011-01-01,9689.77062,45936.52908,4.75732,4.1
2012-01-01,10048.86462,47699.29548,3.70591,3.387
2013-01-01,10406.17396,49113.72616,3.55572,3.38
2014-01-01,10736.30047,50962.33204,3.17241,3.559
2015-01-01,10955.41383,51802.23079,2.04086,3.447
2016-01-01,11266.08238,53592.83287,2.83575,3.225
2017-01-01,11731.05867,56391.34642,4.12722,3.842
2018-01-01,12059.60508,58049.05946,2.80065,3.643
2019-01-01,12140.50611,58499.31729,0.67084,2.957
2020-01-01,11743.7919,57723.39211,-3.26769,-2.707
2021-01-01,12120.45186,59544.39214,3.20731,6.653
2022-01-01,12119.39424,59750.45369,-0.00873,3.774
2023-01-01,12437.81852,62647.30361,2.62739,3.328
2024-01-01,12775.38916,66883.0321,2.71407,3.416
2025-01-01,13062.24201,68324.41813,2.24536,3.441
2026-01-01,13008.35038,69203.01832,-0.41258,3.056
2027-01-01,13491.58649,70769.16653,3.71481,3.224
