Date,Sanctioned Fleet Total No [12116104],Sanctioned Fleet Total DWT [12116108],Sanctioned Crude Tanker No [12110866],Sanctioned Crude Tanker DWT [12110871],Sanctioned Suezmax No [12111020]
2014-07-01,14,195110,,,
2014-08-01,14,195110,,,
2014-09-01,13,178453,,,
2014-10-01,13,178453,,,
2014-11-01,13,178453,,,
2014-12-01,13,178453,,,
2015-01-01,13,178453,,,
2015-02-01,13,178453,,,
2015-03-01,13,178453,,,
2015-04-01,12,165203,,,
2015-05-01,12,165203,,,
2015-06-01,12,165203,,,
2015-07-01,12,165203,,,
2015-08-01,13,179582,,,
2015-09-01,22,248805,,,
2015-10-01,22,248805,,,
2015-11-01,22,248805,,,
2015-12-01,22,248805,,,
2016-01-01,22,248805,,,
2016-02-01,22,248805,,,
2016-03-01,22,248805,,,
2016-04-01,39,347140,,,
2016-05-01,38,341022,,,
2016-06-01,37,334940,,,
2016-07-01,37,334940,,,
2016-08-01,36,325088,,,
2016-09-01,35,309848,,,
2016-10-01,35,309848,,,
2016-11-01,35,309848,,,
2016-12-01,34,283498,,,
2017-01-01,36,296205,,,
2017-02-01,36,296205,,,
2017-03-01,35,294540,,,
2017-04-01,35,294540,,,
2017-05-01,35,294540,,,
2017-06-01,35,294540,,,
2017-07-01,35,294540,,,
2017-08-01,35,294540,,,
2017-09-01,33,276346,,,
2017-10-01,33,276346,,,
2017-11-01,37,309439,,,
2017-12-01,56,364245,,,
2018-01-01,58,379089,,,
2018-02-01,63,401530,,,
2018-03-01,97,551991,,,
2018-04-01,101,578864,,,
2018-05-01,100,573271,,,
2018-06-01,100,573271,,,
2018-07-01,99,568419,,,
2018-08-01,99,568419,,,
2018-09-01,104,595553,,,
2018-10-01,105,876603,1,281050,
2018-11-01,107,890359,1,281050,
2018-12-01,318,19940278,55,14172145,12
2019-01-01,318,19965788,55,14172145,12
2019-02-01,316,19956533,55,14172145,12
2019-03-01,316,19956533,55,14172145,12
2019-04-01,383,21382063,59,14736590,15
2019-05-01,425,22053205,62,14975371,15
2019-06-01,427,22199876,63,15081607,15
2019-07-01,426,22197899,63,15081607,15
2019-08-01,420,21834728,63,15081607,15
2019-09-01,420,21834728,63,15081607,15
2019-10-01,429,22506936,66,15618570,16
2019-11-01,429,22506936,66,15618570,16
2019-12-01,427,22329063,64,15440697,16
2020-01-01,436,22837165,68,15854004,16
2020-02-01,436,22869188,68,15854004,16
2020-03-01,436,22869188,68,15854004,16
2020-04-01,436,22869188,68,15854004,16
2020-05-01,437,22869188,68,15854004,16
2020-06-01,437,22869188,68,15854004,16
2020-07-01,440,23688655,72,16681955,16
2020-08-01,436,22860704,68,15854004,16
2020-09-01,437,22861212,68,15854004,16
2020-10-01,436,22853204,68,15854004,16
2020-11-01,438,23451979,70,16452779,16
2020-12-01,439,23457864,70,16452779,16
2021-01-01,442,23478143,70,16452779,16
2021-02-01,446,24118263,73,17025450,17
2021-03-01,446,24118263,73,17025450,17
2021-04-01,446,24118263,73,17025450,17
2021-05-01,445,24104738,73,17025450,17
2021-06-01,446,24105715,73,17025450,17
2021-07-01,445,24130204,73,17025450,17
2021-08-01,444,24086666,73,17025450,17
2021-09-01,458,24427240,74,17325436,17
2021-10-01,456,24118214,73,17025075,17
2021-11-01,456,24118214,73,17025075,17
2021-12-01,457,24123114,73,17025075,17
2022-01-01,457,24123114,73,17025075,17
2022-02-01,457,24123114,73,17025075,17
2022-03-01,462,24363240,75,17255911,17
2022-04-01,465,24365550,75,17255911,17
2022-05-01,470,24397939,75,17255911,17
2022-06-01,537,24915171,75,17255911,17
2022-07-01,539,24890466,75,17255911,17
2022-08-01,542,24931408,75,17255911,17
