Date,MR/Handy Tanker OPEX $/day [540687],Aframax/LR2 OPEX $/day [540689],Suezmax OPEX $/day [540690],Panamax Bulkcarrier OPEX $/day [540683],Handymax Bulkcarrier OPEX $/day [540682]
2000-01-01,4164,4886,4916,3562,3578
2001-01-01,4844,5538,5722,3701,3645
2002-01-01,4793,5782,5658,3796,3290
2003-01-01,4769,5605,5754,4167,3406
2004-01-01,5563,5606,6453,4841,3906
2005-01-01,5725,6085,6774,4922,4002
2006-01-01,6386,6597,7316,5239,4595
2007-01-01,6845,7150,8014,5515,4943
2008-01-01,7908,8374,9309,6321,5991
2009-01-01,7683,8133,9262,6141,5900
2010-01-01,7670,8359,9503,6472,5822
2011-01-01,7829,8514,9681,6606,6017
2012-01-01,7747,8172,9262,6265,5831
2013-01-01,7964,8272,9378,6118,5733
2014-01-01,7931,8098,9486,6046,5771
2015-01-01,7757,7883,9170,5763,5604
2016-01-01,7557,7832,9104,5663,5480
2017-01-01,7456,7640,8937,5628,5374
2018-01-01,7285,7385,8814,5472,5199
2019-01-01,7051,7145,8536,5319,5059
2020-01-01,7063,7128,8610,5329,5106
2021-01-01,7071,7188,8697,5397,5140
2022-01-01,7240,7400,8940,5550,5270
2023-01-01,7480,7660,9250,5690,5380
2024-01-01,7620,7840,9450,5870,5530
2025-01-01,7780,8020,9530,5980,5630
2026-01-01,7990,8280,9800,6150,5760
