Date,Singapore VLSFO 0.5% $/tonne [542456],Singapore MGO $/tonne [46186],Rotterdam VLSFO 0.5% $/tonne [542452]
2019-01-01,,548.625,
2019-02-01,,595.625,
2019-03-01,,617.1,
2019-04-01,,625.625,
2019-05-01,,620.6,
2019-06-01,,579.5,
2019-07-01,,605.75,
2019-08-01,,586,
2019-09-01,553.875,594.25,528.0625
2019-10-01,540.375,580.375,510.4375
2019-11-01,549.3,582.15,503.15
2019-12-01,626.25,626,538
2020-01-01,663.35,663.6,536.6
2020-02-01,503,513.25,451.6875
2020-03-01,327.375,344.375,284.875
2020-04-01,250.1875,262.4375,210.6875
2020-05-01,257.25,269.9,215.3
2020-06-01,316,351.1875,284.375
2020-07-01,340.25,387.55,310.35
2020-08-01,348.25,384.0625,318.4375
2020-09-01,328.75,346.8125,295.6875
2020-10-01,336.3,342.85,309.25
2020-11-01,362.875,374.6875,333.6875
2020-12-01,391.3125,421.3125,369.9375
2021-01-01,438.35,459.75,407.25
2021-02-01,500.625,521.375,466.25
2021-03-01,506.9375,538.3125,483.125
2021-04-01,491.35,523.4,469.35
2021-05-01,498.125,561.125,486.125
2021-06-01,528.8125,590.375,512.5
2021-07-01,545.55,594.45,523.85
2021-08-01,527.5625,563.0625,504.6875
2021-09-01,550.375,599.3125,524.375
2021-10-01,601.5,694.55,580.7
2021-11-01,621.75,694.5,569.75
2021-12-01,608.05,644,540.7
2022-01-01,674.3125,745.375,617.875
2022-02-01,734.25,829.6875,688.9375
2022-03-01,889.9375,1066.75,871.375
2022-04-01,851.65,1132.1,851.85
2022-05-01,909.5,1166.1875,815.5625
2022-06-01,1110.5625,1329.4375,911.1875
2022-07-01,999,1134.25,814.3
2022-08-01,768.75,1043.9375,731.125
2022-09-01,694.85,986.6,662.9
2022-10-01,725.1875,1046.5,644.5
2022-11-01,683.875,1049.5625,611.1875
2022-12-01,620.75,928.9,539.6
2023-01-01,636.3125,903.6875,562.125
2023-02-01,649.875,827.1875,585.0625
2023-03-01,581.2,763.45,555.45
2023-04-01,604.6875,746.3125,573
2023-05-01,572.0625,686.3125,527.6875
2023-06-01,583.3,709.35,534.85
2023-07-01,583,774.75,553
2023-08-01,634,897.3125,601.8125
2023-09-01,659.7,939.65,617.3
2023-10-01,664.6875,886.625,605.9375
2023-11-01,686.75,803.6875,578.5625
2023-12-01,615.7,757.1,550.5
2024-01-01,611.75,771.625,552.0625
2024-02-01,643.8125,819.75,576.0625
2024-03-01,640.15,791.35,589.25
2024-04-01,647.625,791.6875,608.5625
2024-05-01,616.65,731.6,566
2024-06-01,604.3125,734.875,554
2024-07-01,625.4375,747.625,574.375
2024-08-01,611.55,693.55,548.45
2024-09-01,596.0625,631.375,517.4375
2024-10-01,599.875,669.375,548.5625
2024-11-01,575.65,675.2,518.45
2024-12-01,551.25,673.3125,508.1875
2025-01-01,585.65,716,541.65
2025-02-01,560.875,684.375,541.1875
2025-03-01,516.25,646.8125,498
2025-04-01,500.8125,611.1875,457.125
2025-05-01,505.9,602.9,459
2025-06-01,535.125,656.6875,498.75
2025-07-01,524.625,681.625,511.5
2025-08-01,509.2,660.75,484.4
2025-09-01,488,676.25,462.4375
2025-10-01,465.85,687.55,437.2
2025-11-01,455.875,726.0625,421.125
2025-12-01,429.25,634.625,395.75
2026-01-01,447.55,627.7,423.35
2026-02-01,498.125,689.5625,464.3125
2026-03-01,936.875,1623.625,729.5
2026-04-01,773.4375,1524.0625,680.1875
2026-05-01,816.65,1209.2,767.55
2026-06-01,727.1875,1019,638.25
2026-07-01,766.05,1099.7,649.85
2026-08-01,811.6875,1177.5625,657.0625
