Date,MR 50k 10yo Eco Secondhand $m [47134],Ultramax 61k 10yo Eco Secondhand $m [84513],Kamsarmax 82k 10yo Eco Secondhand $m [61511],Aframax 115k 10yo Eco Secondhand $m [72625]
1993-11-01,,,15,
1993-12-01,,,14.5,
1994-01-01,,,14,
1994-02-01,,,14,
1994-03-01,,14.5,14,
1994-04-01,,14.5,14,
1994-05-01,,14.5,14.25,
1994-06-01,,14.7,14.5,
1994-07-01,,14.85,14.5,
1994-08-01,,14.85,14.5,
1994-09-01,,15.25,15,
1994-10-01,,15.25,16,
1994-11-01,,15.75,16.25,
1994-12-01,,15.75,15.75,
1995-01-01,,15.75,16.5,
1995-02-01,,16,16.75,
1995-03-01,,16.5,17.2,
1995-04-01,,16.5,17.2,
1995-05-01,,16.5,17.2,
1995-06-01,,16.75,17.2,
1995-07-01,,16.5,17,
1995-08-01,,16.5,17,
1995-09-01,,16,17,
1995-10-01,,15.75,16.75,
1995-11-01,,15.75,16.75,
1995-12-01,,15.5,16.5,
1996-01-01,,16,16.75,
1996-02-01,,15,16,
1996-03-01,,15,15.75,
1996-04-01,,15.5,15.75,
1996-05-01,,14.75,15.5,
1996-06-01,,14.75,15.5,
1996-07-01,,14.75,15,
1996-08-01,,14.75,15,
1996-09-01,,13.5,13.25,
1996-10-01,,13.5,13.25,
1996-11-01,,13.5,13.5,
1996-12-01,,13.5,14,
1997-01-01,,14.5,15.5,
1997-02-01,,14.5,15,
1997-03-01,,14.5,16,
1997-04-01,,14,16,
1997-05-01,,14,16,
1997-06-01,,13.75,16,
1997-07-01,,13.75,16,
1997-08-01,,13.75,16.5,
1997-09-01,,13.75,16.5,
1997-10-01,,14.75,16.5,
1997-11-01,,14,16.5,
1997-12-01,,13.5,15.75,
1998-01-01,,13,15.5,
1998-02-01,,11.75,14.5,
1998-03-01,,10.5,14.5,
1998-04-01,,10.5,14.5,
1998-05-01,,10.25,13.25,
1998-06-01,,10,13,
1998-07-01,,9.5,12,
1998-08-01,,8.5,10,
1998-09-01,,8.5,10,
1998-10-01,,8.25,10,
