Date,MR 40-55k Fleet No [540942],MR Fleet DWTm [540945],Aframax Fleet No [29836],Aframax Fleet DWTm [29837],Suezmax Fleet No [29834],Suezmax Fleet DWTm [29835],Panamax Bulk Fleet No [30202],Panamax Bulk Fleet DWTm [30204],Handymax Bulk Fleet No [30206],Handymax Bulk Fleet DWTm [30207]
1970-01-01,,,214,21.24534,56,8.93513,96,7.09705,273,13.44825
1970-02-01,,,216,21.43473,58,9.25949,104,7.64916,289,14.24894
1970-03-01,,,216,21.43473,61,9.74619,104,7.64916,289,14.24894
1970-04-01,,,220,21.87355,61,9.74619,104,7.64916,289,14.24894
1970-05-01,,,221,21.97816,61,9.74619,104,7.64916,289,14.24894
1970-06-01,,,221,21.97816,62,9.87522,104,7.64916,289,14.24894
1970-07-01,,,221,21.97816,64,10.16492,104,7.64916,289,14.24894
1970-08-01,,,222,22.07544,65,10.29032,104,7.64916,289,14.24894
1970-09-01,,,222,22.07544,66,10.42688,104,7.64916,290,14.30558
1970-10-01,,,223,22.1887,67,10.5698,104,7.64916,291,14.36229
1970-11-01,,,223,22.1887,68,10.72078,105,7.71585,291,14.36229
1970-12-01,,,224,22.28785,70,11.00191,105,7.71585,293,14.46327
1971-01-01,,,227,22.57998,70,11.00191,105,7.71585,293,14.45482
1971-02-01,,,227,22.57998,71,11.16494,117,8.56193,303,14.95566
1971-03-01,,,229,22.77704,72,11.2985,117,8.56193,303,14.95566
1971-04-01,,,230,22.87404,73,11.43374,118,8.62367,303,14.95566
1971-05-01,,,230,22.87404,76,11.86361,118,8.62367,303,14.95566
1971-06-01,,,230,22.87404,78,12.14108,118,8.62367,303,14.95566
1971-07-01,,,230,22.87404,79,12.27454,119,8.70883,304,14.99773
1971-08-01,,,231,22.97075,80,12.4114,119,8.70883,305,15.03981
1971-09-01,,,231,22.97075,80,12.4114,119,8.70883,306,15.08191
1971-10-01,,,231,22.97075,81,12.55372,119,8.70883,307,15.1344
1971-11-01,,,231,22.97075,82,12.68744,119,8.70883,308,15.19191
1971-12-01,,,231,22.97075,83,12.87392,120,8.7691,308,15.19191
1972-01-01,,,230,22.87204,83,12.87392,120,8.7691,308,15.19191
1972-02-01,,,231,22.9902,83,12.87392,127,9.23475,312,15.39576
1972-03-01,,,231,22.9902,83,12.87392,127,9.23475,312,15.39576
1972-04-01,,,231,22.9902,83,12.87392,128,9.31987,312,15.39576
1972-05-01,,,232,23.08691,85,13.14087,130,9.4529,314,15.50419
1972-06-01,,,232,23.08691,85,13.14087,133,9.66132,316,15.59622
1972-07-01,,,232,23.08691,86,13.27917,134,9.72582,318,15.70044
1972-08-01,,,233,23.20462,87,13.4477,135,9.79415,319,15.75135
1972-09-01,,,236,23.49713,88,13.57471,136,9.85668,319,15.75135
1972-10-01,,,237,23.61484,88,13.57471,136,9.85668,319,15.75135
1972-11-01,,,238,23.72742,88,13.57471,138,10.00078,320,15.80553
1972-12-01,,,239,23.82511,89,13.70652,142,10.30101,322,15.89712
1973-01-01,,,237,23.6182,89,13.70652,142,10.30101,323,15.95209
1973-02-01,,,237,23.6182,89,13.70652,145,10.50521,323,15.95209
1973-03-01,,,237,23.6182,89,13.70652,146,10.57303,323,15.95209
1973-04-01,,,238,23.73031,89,13.70652,147,10.63429,325,16.05014
1973-05-01,,,238,23.73031,91,13.97367,149,10.77027,327,16.15863
1973-06-01,,,238,23.73031,93,14.24811,152,10.96414,330,16.30549
1973-07-01,,,240,23.9439,93,14.24811,154,11.10682,331,16.35738
