Date,MR OB No [540901],MR OB DWT [540907],Aframax OB No [44990],Aframax OB DWT [45145],Suezmax OB No [534662],Suezmax OB DWT [534665],Panamax Bulk OB No [44933],Panamax Bulk OB DWT [45239],Handymax Bulk OB No [44932],Handymax Bulk OB DWT [45084]
1996-01-01,56,2531277,37,3769744,20,2920856,115,8366622,170,7943501
1996-02-01,53,2393178,41,4179388,20,2920856,109,7933476,178,8307612
1996-03-01,54,2443640,46,4724608,19,2774570,114,8305239,173,8078201
1996-04-01,49,2226775,45,4640550,17,2491568,114,8300789,176,8211697
1996-05-01,54,2465049,44,4535276,18,2618523,117,8531451,185,8645338
1996-06-01,52,2376719,43,4451781,19,2777394,118,8589919,175,8179228
1996-07-01,50,2280327,42,4359054,18,2628959,124,9040128,169,7909386
1996-08-01,47,2152811,48,4988651,19,2776398,133,9713826,169,7915622
1996-09-01,48,2201528,48,4988651,19,2780292,134,9786353,166,7772396
1996-10-01,46,2111131,47,4889245,18,2639513,132,9644177,160,7489230
1996-11-01,43,1974131,48,4995760,19,2798724,130,9507022,167,7825405
1996-12-01,42,1926984,48,4994444,26,3844759,127,9291573,162,7602578
1997-01-01,46,2111818,50,5221965,27,3991399,124,9072624,159,7465955
1997-02-01,47,2159867,53,5533012,31,4536249,118,8641856,151,7107059
1997-03-01,45,2067504,58,6074060,31,4536249,119,8724610,152,7143096
1997-04-01,44,2021530,62,6498068,31,4536249,114,8347967,142,6690665
1997-05-01,47,2164917,67,7065239,33,4859842,116,8516270,144,6779951
1997-06-01,50,2299897,71,7508663,38,5658324,123,9030330,139,6541282
1997-07-01,63,2897172,69,7289272,41,6103966,121,8888373,136,6405699
1997-08-01,63,2897505,73,7723376,46,6863786,118,8684171,132,6225549
1997-09-01,62,2852731,71,7524498,44,6585681,122,9001222,135,6364943
1997-10-01,60,2761910,73,7729309,42,6257639,120,8865027,132,6223267
1997-11-01,60,2761183,77,8155129,44,6563781,121,8936299,135,6378223
1997-12-01,59,2716396,79,8358624,46,6910009,117,8653221,132,6240196
1998-01-01,59,2717618,79,8357140,47,7078605,119,8865243,136,6420683
1998-02-01,59,2717648,78,8275088,45,6778009,117,8728824,127,6004967
1998-03-01,56,2577956,79,8343142,45,6778009,115,8585533,117,5548134
1998-04-01,53,2435964,79,8339949,45,6788863,103,7700710,121,5733742
1998-05-01,52,2388739,83,8782363,47,7090447,102,7634422,115,5456558
1998-06-01,51,2345201,80,8463569,44,6630469,100,7488286,109,5176719
1998-07-01,51,2348278,82,8665461,45,6773525,105,7906267,104,4950073
1998-08-01,54,2486329,82,8660236,41,6150171,107,8046713,101,4815955
1998-09-01,51,2345831,81,8547583,39,5898309,110,8272052,98,4676446
1998-10-01,50,2299762,83,8783007,38,5748170,109,8195910,91,4354863
1998-11-01,46,2112539,79,8349534,41,6214633,117,8777239,89,4251390
1998-12-01,46,2111653,76,8037828,43,6499082,117,8807133,87,4154165
1999-01-01,46,2112756,74,7824087,44,6674920,116,8734775,83,3962425
1999-02-01,44,2022875,68,7181399,41,6223144,118,8883595,77,3681441
1999-03-01,41,1883563,65,6865802,41,6223144,114,8588932,74,3535640
1999-04-01,38,1748152,60,6335905,40,6069527,109,8215122,67,3199606
1999-05-01,40,1836870,56,5926954,39,5882198,105,7921322,73,3498177
1999-06-01,35,1606672,52,5496153,39,5884758,118,8894660,73,3508752
1999-07-01,32,1469409,52,5512710,38,5749606,122,9184500,80,3868854
1999-08-01,31,1421978,53,5611572,37,5623423,137,10302163,83,4025216
1999-09-01,32,1464014,50,5298319,35,5343535,143,10756906,95,4636518
1999-10-01,31,1418740,45,4762208,36,5508161,151,11356796,101,4943003
1999-11-01,33,1503444,42,4444310,35,5357788,159,11954796,114,5619297
1999-12-01,32,1451071,37,3917962,34,5198107,164,12324722,115,5681312
2000-01-01,35,1589215,34,3600321,35,5390088,177,13312775,135,6699976
2000-02-01,33,1494220,31,3272514,38,5879421,173,13005219,137,6825759
2000-03-01,30,1353423,32,3372011,36,5566391,177,13317628,149,7395346
2000-04-01,33,1473076,33,3482104,38,5887834,178,13381168,157,7811661
2000-05-01,34,1516803,36,3796788,44,6850028,183,13737245,171,8523596
2000-06-01,35,1561193,36,3816316,44,6869838,184,13825784,177,8843032
2000-07-01,37,1650182,47,5002080,46,7207411,184,13831970,180,9022182
2000-08-01,39,1734876,48,5107804,47,7365235,182,13694108,179,8975681
2000-09-01,44,1952055,49,5210506,45,7089124,179,13457098,180,9055972
2000-10-01,48,2131800,54,5723404,50,7974398,172,12909972,182,9160459
2000-11-01,51,2265275,55,5842183,51,8149151,169,12688703,187,9403416
2000-12-01,56,2484047,61,6483798,51,8144957,163,12232657,192,9676400
2001-01-01,61,2697730,66,7017019,55,8753424,166,12506555,198,9982895
2001-02-01,67,2967215,70,7446004,52,8288876,152,11479454,190,9602280
2001-03-01,73,3233021,74,7855776,51,8137582,147,11113137,190,9605314
2001-04-01,72,3173610,84,8920051,57,9060448,133,10081354,187,9449292
2001-05-01,76,3359286,88,9345503,58,9205916,127,9633186,182,9194887
2001-06-01,86,3818973,91,9682235,56,8894666,119,9041915,173,8740500
2001-07-01,93,4144428,106,11291191,55,8734685,110,8385773,169,8549783
2001-08-01,95,4240414,108,11504136,57,9033685,100,7640374,171,8666556
2001-09-01,101,4517311,110,11742171,57,9042243,94,7189001,164,8308179
2001-10-01,108,4848718,119,12733902,59,9386490,84,6438247,153,7771547
2001-11-01,116,5217164,117,12516440,59,9386490,86,6607683,153,7787241
2001-12-01,120,5395489,120,12848459,59,9386490,82,6334755,146,7434244
2002-01-01,124,5586493,118,12637191,57,9062463,79,6112449,145,7380123
2002-02-01,127,5727833,121,12974061,56,8914244,64,4990479,141,7177247
2002-03-01,129,5824762,120,12856362,55,8764249,63,4915509,138,7024765
2002-04-01,134,6059108,125,13387745,52,8294867,57,4454630,132,6741067
2002-05-01,132,5978829,126,13482814,58,9241823,65,5086701,138,7059816
2002-06-01,139,6304799,127,13594001,57,9072769,61,4782090,135,6912623
2002-07-01,141,6396836,125,13385745,57,9053934,60,4709039,146,7512505
2002-08-01,145,6609999,125,13382510,56,8903943,59,4632008,148,7630178
2002-09-01,147,6696244,121,12958465,53,8420179,68,5324302,144,7438963
2002-10-01,148,6750396,127,13647916,54,8572325,91,7073675,144,7445824
2002-11-01,150,6850171,124,13338531,52,8248636,98,7618426,143,7421153
2002-12-01,152,6952162,128,13827486,50,7939334,96,7465946,145,7561303
2003-01-01,157,7203936,132,14292631,49,7774889,112,8734717,155,8104474
2003-02-01,158,7253958,130,14098623,52,8221496,134,10497757,157,8219920
2003-03-01,163,7510608,132,14317777,52,8230307,138,10801678,162,8482555
2003-04-01,172,7923382,129,14010228,59,9346765,146,11426356,172,9038309
2003-05-01,181,8338554,131,14242932,59,9336555,156,12173551,173,9114584
2003-06-01,187,8627293,128,13896324,60,9494835,172,13423064,177,9332791
2003-07-01,184,8497390,142,15395782,63,9953007,200,15585771,190,10072309
2003-08-01,185,8543203,149,16118940,74,11696074,210,16335617,209,11113610
2003-09-01,186,8599766,146,15772550,73,11547345,210,16336566,209,11140029
2003-10-01,190,8804203,147,15903309,76,12041705,208,16169670,212,11319046
2003-11-01,199,9255325,150,16221535,74,11723458,225,17498106,222,11868386
2003-12-01,202,9400118,149,16120007,73,11554326,227,17671803,224,11986359
2004-01-01,210,9783646,154,16650651,74,11733291,235,18319364,243,13001300
2004-02-01,215,10068683,151,16324577,73,11588423,240,18708827,241,12923356
2004-03-01,211,9891613,154,16678555,78,12413700,249,19463273,242,12986938
2004-04-01,209,9813244,151,16371290,75,11945843,258,20162159,237,12727890
2004-05-01,212,9951045,151,16402352,77,12278841,261,20419996,243,13066984
2004-06-01,219,10290464,149,16192893,74,11818054,261,20393671,245,13189200
2004-07-01,220,10368488,154,16747757,76,12135140,256,20011227,255,13744118
2004-08-01,221,10437828,155,16874144,74,11825839,255,19941747,266,14350234
2004-09-01,221,10439559,154,16749284,72,11500376,255,19992459,262,14139754
2004-10-01,220,10408593,155,16898970,73,11664684,249,19544109,266,14364751
2004-11-01,231,10902847,157,17146015,71,11355022,253,19900278,278,15000813
2004-12-01,235,11102487,165,18048388,73,11645594,252,19821230,271,14633792
2005-01-01,236,11166485,169,18460920,72,11486045,255,20111106,276,14915104
2005-02-01,254,12026498,162,17755650,72,11502592,277,22019571,323,17426964
2005-03-01,255,12081679,164,17980349,70,11184374,271,21557745,323,17430946
2005-04-01,248,11745843,162,17773448,66,10525069,276,21941196,322,17370995
2005-05-01,264,12506931,159,17440592,63,10042186,271,21573223,321,17318289
2005-06-01,283,13388007,157,17229858,65,10387552,264,21064294,314,16918239
2005-07-01,287,13581727,161,17636423,60,9581702,261,20832634,316,17021115
2005-08-01,279,13191568,158,17309459,59,9417427,266,21219982,312,16846491
2005-09-01,272,12849536,162,17739026,59,9417427,272,21702572,310,16737791
2005-10-01,275,13021144,157,17201835,57,9093710,267,21305047,304,16413130
2005-11-01,280,13275716,158,17330444,55,8784522,262,20937236,297,16023828
2005-12-01,282,13365310,153,16806234,53,8431506,256,20471737,289,15604573
2006-01-01,288,13626963,161,17678665,55,8749548,265,21212986,292,15761501
2006-02-01,317,15021509,172,18937093,54,8580538,274,22005491,318,17239732
2006-03-01,331,15689978,171,18836557,53,8421061,275,22064912,320,17349492
2006-04-01,388,18494203,211,23222661,54,8588898,277,22214179,342,18629877
2006-05-01,397,18905461,214,23541148,51,8124163,271,21758309,340,18561828
2006-06-01,401,19157803,211,23193239,52,8287842,265,21298194,349,19032476
2006-07-01,407,19465264,228,25140907,51,8140970,260,20932500,354,19290828
2006-08-01,414,19867638,233,25685138,59,9389510,262,21115419,374,20409187
2006-09-01,426,20468642,234,25786495,85,13450580,257,20691467,379,20695507
2006-10-01,435,20929520,252,27750041,97,15357285,252,20277724,385,21062033
2006-11-01,424,20422375,256,28164265,107,16953628,255,20526655,392,21494629
2006-12-01,445,21463678,278,30600829,114,18037601,274,22101173,415,22815797
2007-01-01,478,23083050,292,32207588,117,18518808,327,26930698,477,26339395
2007-02-01,476,23013389,293,32344164,123,19458476,347,28502647,508,28059173
2007-03-01,477,23076292,294,32477045,127,20085635,360,29588624,543,30053823
2007-04-01,476,23026625,294,32455123,131,20714847,361,29751779,572,31677126
2007-05-01,476,23027303,299,33018352,131,20706385,363,29970757,631,35116745
2007-06-01,484,23415353,298,32898706,133,21021839,394,32551263,670,37398672
2007-07-01,480,23239194,299,32952120,133,21017959,427,35346035,705,39401202
2007-08-01,492,23860396,298,32853463,134,21179571,452,37403499.00000001,744,41630079.00000001
2007-09-01,492,23865102,306,33747461,136,21484412,484,39934308,778,43609747.00000001
2007-10-01,496,24093764,303,33415776,138,21816138,515,42686302,796,44642411.00000001
2007-11-01,501,24365864,294,32397741,138,21815218,560,46554468.99999999,829,46546164.99999999
2007-12-01,495,24084006,292,32171939,137,21656401,578,48063732.99999999,842,47310591.00000001
2008-01-01,493,23968153,295,32487927,140,22130435,590,49048438,927,52155360.99999999
2008-02-01,484,23523007,294,32367556,139,21967018,651,54069866,957,53867038
2008-03-01,485,23618855,290,31948075,138,21817142,653,54235299.00000001,994,56008976.99999999
2008-04-01,491,23910047,294,32405996,138,21823795,664,55157496,1029,57987974
2008-05-01,490,23859262,292,32194927,139,21981022,705,58690496,1080,60926088.99999999
2008-06-01,482,23456576,296,32626975,145,22942784,712,59360638,1090,61520067.00000001
