Date,Avg Kamsarmax c2015 Eco Earnings $/day [533288],Avg Ultramax c2015 Eco Earnings $/day [544807],Avg MR Clean c2015 Eco Earnings $/day [543759],Avg Supramax c2010 Earnings $/day [533256]
2009-07-17,,,,20055.64712
2009-07-24,,,,21817.43639
2009-07-31,,,,21197.25089
2009-08-07,,,,19548.95609
2009-08-14,,,,18213.62258
2009-08-21,,,,17508.75258
2009-08-28,,,,16933.94786
2009-09-04,,,,17620.63561
2009-09-11,,,,17512.01703
2009-09-18,,,,18848.47149
2009-09-25,,,,18204.63373
2009-10-02,,,,19761.13229
2009-10-09,,,,19316.71816
2009-10-16,,,,20717.85393
2009-10-23,,,,20165.52428
2009-10-30,,,,22099.39599
2009-11-06,,,,21509.87315
2009-11-13,,,,23846.65782
2009-11-20,,,,26983.19838
2009-11-27,,,,24107.83889
2009-12-04,,,,26097.82976
2009-12-11,,,,24596.45029
2009-12-18,,,,23923.96927
2009-12-25,,,,27185.64693
2010-01-01,23916.63158,,,27243.74901
2010-01-08,25385.21482,,,31890.33901
2010-01-15,25036.72594,,,28454.7324
2010-01-22,24961.89647,,,26568.71468
2010-01-29,22934.95622,,,27305.69622
2010-02-05,22715.70236,,,26364.97515
2010-02-12,22015.13428,,,24250.02315
2010-02-19,22765.21478,,,24554.1423
2010-02-26,22801.06718,,,25853.4827
2010-03-05,24531.52871,,,28700.16921
2010-03-12,27498.40612,,,32277.58154
2010-03-19,28420.85387,,,34124.5784
2010-03-26,27010.86246,,,29668.5013
2010-04-02,26325.74179,,,24648.54982
2010-04-09,27106.68373,,,26147.14624
2010-04-16,28149.43236,,,25538.68659
2010-04-23,26784.96064,,,25724.74289
2010-04-30,27146.30669,,,28251.95484
2010-05-07,28488.03809,,,28811.51054
2010-05-14,29790.875,,,30555.68048
2010-05-21,31170.86547,,,30268.70777
2010-05-28,30684.80748,,,28749.73625
2010-06-04,28839.13371,,,26144.06513
2010-06-11,23673.01857,,,25413.5033
2010-06-18,21973.94245,,,23713.14892
2010-06-25,22520.2618,,,22062.85546
2010-07-02,17237.64678,,,20604.54512
2010-07-09,15820.36668,,,17335.34411
2010-07-16,16117.26808,,,18189.12363
2010-07-23,17115.50277,,,19297.43588
2010-07-30,18714.86251,,,20370.20423
2010-08-06,18002.37333,,,19977.00572
2010-08-13,19383.69708,,,20798.40224
2010-08-20,20595.30415,,,22234.088
2010-08-27,20344.98864,,,22782.19925
2010-09-03,21778.10706,,,22648.97939
2010-09-10,22653.62613,,,22742.51741
2010-09-17,21619.9381,,,22249.17233
2010-09-24,20349.27904,,,21459.23192
2010-10-01,16381.62632,,,19611.07031
2010-10-08,17325.52691,,,18489.53794
2010-10-15,16831.20212,,,18715.37947
2010-10-22,16804.11424,,,18852.17633
2010-10-29,16896.67597,,,18828.22004
2010-11-05,16298.47987,,,17626.4652
2010-11-12,16285.43173,,,17525.10951
2010-11-19,15345.757,,,16325.23659
2010-11-26,15590.71308,,,16871.08739
2010-12-03,16339.54294,,,18195.53541
2010-12-10,16080.44466,,,19051.74908
2010-12-17,13590.32766,,,18935.92892
2010-12-24,10919.8115,,,18866.56231
2010-12-31,9882.5292,,,18774.96368
2011-01-07,10504.65429,,,15680.05369
2011-01-14,9840.78637,,,15679.40375
2011-01-21,8899.15019,,,15734.69949
2011-01-28,8005.22399,,,15065.54602
2011-02-04,7503.39403,,,14635.99129
2011-02-11,10309.89188,,,14992.3375
2011-02-18,11821.75136,,,16130.33345
2011-02-25,10317.29596,,,16715.52418
2011-03-04,11562.39224,,,17605.6745
2011-03-11,15963.71009,,,18136.47895
2011-03-18,11934.99317,,,18825.00388
2011-03-25,14208.43463,,,19041.2529
2011-04-01,11263.3007,,,18844.6504
2011-04-08,10659.55256,,,16918.6699
2011-04-15,10097.20325,,,14077.51426
2011-04-22,9796.07237,,,14294.23888
2011-04-29,9815.64047,,,12509.49102
2011-05-06,12004.56239,,,13545.87652
2011-05-13,12576.14993,,,18301.20518
2011-05-20,12243.90113,,,17823.77759
2011-05-27,12459.89027,,,18289.0761
2011-06-03,12130.74842,,,17271.96832
2011-06-10,12360.32454,,,16982.88301
2011-06-17,12880.36717,,,17738.61531
2011-06-24,12177.50914,,,17824.91854
2011-07-01,9112.78879,,,16204.43702
2011-07-08,10307.26009,,,15589.6902
2011-07-15,9726.19438,,,14671.65666
2011-07-22,9283.22221,,,14741.88877
2011-07-29,8993.67542,,,14409.91135
2011-08-05,9016.5579,,,14222.01675
2011-08-12,9893.47486,,,14540.98932
2011-08-19,9885.14444,,,15584.75027
2011-08-26,9951.5193,,,16569.98147
2011-09-02,9970.25517,,,16833.7132
2011-09-09,11086.77832,,,15691.57906
2011-09-16,11969.33673,,,16041.80301
2011-09-23,11755.45317,,,15894.63097
2011-09-30,11637.49869,,,15261.76368
2011-10-07,12139.09503,,,15569.43754
2011-10-14,12033.07186,,,15071.96513
2011-10-21,12821.52443,,,17779.22826
2011-10-28,12290.57069,,,17441.38805
2011-11-04,11170.23377,,,16313.80886
2011-11-11,10707.13129,,,15229.19242
2011-11-18,12032.74614,,,14729.77381
2011-11-25,12212.43151,,,15237.04654
2011-12-02,10893.52728,,,14867.10093
2011-12-09,10757.58625,,,15301.34926
2011-12-16,11079.29481,,,15676.25005
2011-12-23,10330.58991,,,14621.18201
2011-12-30,9887.41093,,,15572.69155
2012-01-06,9413.8489,,,15076.03218
2012-01-13,6795.67335,,,14505.39499
2012-01-20,6050.48999,,,13875.35345
2012-01-27,5462.25878,,,13048.62257
2012-02-03,5049.88626,,,10886.5311
2012-02-10,5799.24316,,,11053.82203
2012-02-17,5777.40155,,,13086.97952
2012-02-24,5319.59609,,,13189.44953
2012-03-02,5581.01393,,,13214.86898
2012-03-09,6082.36473,,,13560.35921
2012-03-16,6284.68881,,,14272.63559
2012-03-23,6539.78394,,,14715.12872
2012-03-30,6372.15897,,,14205.76462
2012-04-06,6938.29743,,,13715.19855
2012-04-13,7302.37275,,,14609.56829
2012-04-20,8745.93527,,,13404.63554
2012-04-27,9327.94464,,,13745.33985
2012-05-04,9279.62568,,,13721.50347
2012-05-11,9603.07159,,,14310.31261
2012-05-18,8638.49206,,,14713.23536
2012-05-25,6673.20903,,,15114.20063
2012-06-01,6739.43591,,,14545.87013
2012-06-08,6435.37466,,,13955.41638
2012-06-15,6397.10732,,,14254.1923
2012-06-22,6828.01233,,,15039.56208
2012-06-29,6485.38128,,,14664.88294
2012-07-06,6300.51642,,,14754.99926
2012-07-13,6987.02936,,,14504.10292
2012-07-20,6257.083,,,14674.86442
2012-07-27,6237.89182,,,14207.13582
2012-08-03,5834.68478,,,13571.90022
2012-08-10,5652.85659,,,11264.62407
2012-08-17,5000.22132,,,10217.81733
2012-08-24,5062.57666,,,9712.0443
2012-08-31,4411.25674,,,10297.66107
2012-09-07,3771.41411,,,10104.47641
2012-09-14,3574.15089,,,10427.38601
2012-09-21,3888.41774,,,10667.18097
2012-09-28,4141.4932,,,10702.64254
2012-10-05,4595.05079,,,10401.37073
2012-10-12,5029.67454,,,10364.54947
2012-10-19,6621.81905,,,10501.03947
2012-10-26,5937.75382,,,10773.19469
2012-11-02,5918.45956,,,10572.98463
2012-11-09,5888.32275,,,9481.20983
2012-11-16,6199.83356,,,9224.44544
2012-11-23,6746.16982,,,10282.90667
2012-11-30,6741.7276,,,10629.19583
2012-12-07,6396.07096,,,10524.45042
2012-12-14,6076.16873,,,10339.15289
2012-12-21,5434.76294,,,9873.78761
2012-12-28,5343.80713,,,9785.86643
2013-01-04,4915.88165,,,9742.67951
2013-01-11,4445.79647,,,9840.84208
2013-01-18,4460.0879,,,9322.46413
2013-01-25,4164.62452,,,9817.35337
2013-02-01,3723.47146,,,9081.34972
2013-02-08,3827.97449,,,8775.33108
2013-02-15,4433.19219,,,8656.79334
2013-02-22,5261.15152,,,9381.61597
2013-03-01,6464.59488,,,9725.5766
2013-03-08,7558.00037,,,10911.19331
2013-03-15,7989.63763,,,11705.16268
2013-03-22,8228.96985,,,11841.35975
2013-03-29,8025.92803,,,11935.46469
2013-04-05,7940.8709,,,12170.69744
2013-04-12,7667.21888,,,10850.98861
2013-04-19,8170.34457,,,11294.60809
2013-04-26,7489.44889,,,11104.07891
2013-05-03,6575.3354,,,11252.46005
2013-05-10,6242.33982,,,11156.55698
2013-05-17,6174.09125,,,11442.91161
2013-05-24,6151.68537,,,11437.81467
2013-05-31,5040.74431,,,11328.86638
2013-06-07,5035.51736,,,11577.86483
2013-06-14,5393.23176,,,11614.45436
2013-06-21,5311.54745,,,11734.907
2013-06-28,5990.15651,,,12640.69942
2013-07-05,6110.37769,,,12584.4776
2013-07-12,6120.73353,,,12203.25285
2013-07-19,6226.02431,,,12242.04292
2013-07-26,6302.29894,,,11356.6616
2013-08-02,5603.37976,,,11131.6182
2013-08-09,5719.40406,,,10990.58986
2013-08-16,5406.42407,,,10853.94916
2013-08-23,5581.1945,,,10149.98028
2013-08-30,5194.17112,,,11053.8624
2013-09-06,6429.66737,,,11375.03046
2013-09-13,9052.12014,,,9806.8899
2013-09-20,10765.26536,,,10861.92625
2013-09-27,11847.81361,,,12857.74517
2013-10-04,12457.44152,,,13665.91961
2013-10-11,13280.31067,,,14625.98662
2013-10-18,13181.90421,,,15244.83063
2013-10-25,12765.02431,,,14948.16856
2013-11-01,11084.51698,,,14892.4893
2013-11-08,10617.10203,,,15456.61892
2013-11-15,9694.84675,,,15467.10871
2013-11-22,9268.6575,,,15910.04617
2013-11-29,10083.10291,,,16501.05896
2013-12-06,11008.15309,,,17549.91591
2013-12-13,11750.83227,,,18600.30176
2013-12-20,11594.8482,,,18412.39136
2013-12-27,11369.97686,,,17262.22241
2014-01-03,10838.51114,,,14209.6313
2014-01-10,10542.15068,,,13881.61143
2014-01-17,10262.76888,,,13834.7693
2014-01-24,9412.58415,,,13511.0778
2014-01-31,8930.06979,,,13504.80962
2014-02-07,8682.76152,,,12738.327
2014-02-14,9147.8765,,,13942.21053
2014-02-21,9312.90715,,,14711.16555
2014-02-28,9192.31937,,,14600.84542
2014-03-07,8837.44405,,,14078.86335
2014-03-14,8680.13721,,,13316.157
2014-03-21,8497.49571,,,14021.02853
2014-03-28,8339.63726,,,13853.19038
2014-04-04,7539.80454,,,12803.63881
2014-04-11,7125.35803,,,11155.98054
2014-04-18,6971.78722,,,10962.51895
2014-04-25,7159.2965,,,10833.1996
2014-05-02,6957.10212,,,10712.59099
2014-05-09,7188.01029,,,10775.15724
2014-05-16,7568.52324,,,10584.22109
2014-05-23,7824.64917,,,10315.42943
2014-05-30,7118.62982,,,9799.26763
2014-06-06,5669.08795,,,9562.663
2014-06-13,4817.4366,,,9041.03566
2014-06-20,4394.74155,,,8524.97941
2014-06-27,3913.51137,,,8292.11821
2014-07-04,5212.14974,,,8768.66731
2014-07-11,4773.28707,,,8636.88116
2014-07-18,5008.32418,,,8284.29742
2014-07-25,4817.34436,,,7919.25265
2014-08-01,4813.6603,,,7584.87037
2014-08-08,4706.14889,,,7088.50801
2014-08-15,5222.58896,,,7333.77313
2014-08-22,5368.05082,,,8138.81995
2014-08-29,5311.47666,,,9795.39457
2014-09-05,6498.65658,,,9916.74534
2014-09-12,5526.3884,,,10081.72959
2014-09-19,5486.7745,,,9851.75562
2014-09-26,5712.08123,,,9989.07284
2014-10-03,6254.91982,,,9821.11866
2014-10-10,6957.34568,,,9265.33355
2014-10-17,8105.73355,,,9862.70589
2014-10-24,9627.15762,,,9678.15965
2014-10-31,8809.39211,,,10011.09246
2014-11-07,9756.56611,,,10055.76873
2014-11-14,9342.09658,,,10072.22145
2014-11-21,9355.05773,,,10773.65737
2014-11-28,10202.34436,,,11193.71164
2014-12-05,10412.79104,,,11505.14834
2014-12-12,9085.61828,,,10980.03887
2014-12-19,8222.67097,,,11230.86424
2014-12-26,7284.98715,,,11192.42885
2015-01-02,9129.84361,,,10813.07116
2015-01-09,8300.85271,,,10222.41268
2015-01-16,7747.58639,,,8960.42496
2015-01-23,7168.81115,,,8263.84269
2015-01-30,6190.30666,,,6890.59644
2015-02-06,5042.52855,,,5382.71088
2015-02-13,5419.16461,,,4819.4791
2015-02-20,4821.9023,,,4867.24628
2015-02-27,5312.62208,,,5381.49235
2015-03-06,6725.31009,,,5892.77409
2015-03-13,7253.15401,,,6196.09342
2015-03-20,7686.02843,,,6720.67933
2015-03-27,6387.03664,,,6211.50146
2015-04-03,7003.13157,,,6581.66753
2015-04-10,6710.54815,,,6228.66049
2015-04-17,6545.5464,,,5617.52188
2015-04-24,6520.74196,,,5654.78707
2015-05-01,6144.24995,,,6004.61427
2015-05-08,5950.80192,,,5503.17043
2015-05-15,6722.18077,,,5565.64015
2015-05-22,6425.19885,,,5635.38621
2015-05-29,6302.07124,,,5532.52674
2015-06-05,6699.08056,,,6036.34448
2015-06-12,7185.11789,,,6501.27878
2015-06-19,8999.57925,,,7113.20312
2015-06-26,9452.0574,,,7311.19333
2015-07-03,10018.59048,,,7967.25813
2015-07-10,11245.47828,,,8379.8579
2015-07-17,11664.83967,,,9021.87343
2015-07-24,11272.218,,,10163.12313
2015-07-31,10143.26435,,,9720.2013
2015-08-07,10591.13623,,,10047.7537
2015-08-14,10843.69608,,,10681.7215
2015-08-21,10481.50324,,,10979.91498
2015-08-28,9513.73858,,,10208.75532
2015-09-04,8645.79236,,,9355.55907
2015-09-11,8519.99738,,,9228.45464
2015-09-18,8188.17584,,,8917.59185
2015-09-25,7975.53486,,,8145.83
2015-10-02,7977.31957,,,7544.33119
2015-10-09,7711.42447,,,7551.10367
2015-10-16,7909.37873,,,7826.6477
2015-10-23,7564.47726,,,8025.77107
2015-10-30,7017.06267,,,7676.03788
2015-11-06,6566.07031,,,7446.58117
2015-11-13,6118.82969,,,7040.58112
2015-11-20,5966.5454,,,6338.32261
2015-11-27,5571.1897,,,6587.55716
2015-12-04,5252.34734,,,5996.01216
2015-12-11,5627.62933,,,5894.34309
2015-12-18,5789.42801,,,6002.42057
2015-12-25,5754.59903,,,6386.40097
2016-01-01,5596.45546,,,6226.62523
2016-01-08,5085.96807,,,5762.34834
2016-01-15,4892.48573,,,5069.69149
2016-01-22,4799.90333,,,4584.12924
2016-01-29,4487.59923,,,3991.18168
2016-02-05,4601.39679,,,3808.72795
2016-02-12,4724.52739,,,3978.57285
2016-02-19,4948.61005,,,4200.87685
2016-02-26,5354.72518,,,4580.82513
2016-03-04,5439.91268,,,4621.59274
2016-03-11,5793.1675,,,4719.14034
2016-03-18,5376.17838,,,4910.36729
2016-03-25,5256.98367,,,4877.69513
2016-04-01,6145.69292,,,5082.92252
2016-04-08,6487.74554,,,5635.14075
2016-04-15,6705.20723,,,5654.81341
2016-04-22,6926.29424,,,5534.33363
2016-04-29,6158.7641,,,5620.9061
2016-05-06,5622.25239,,,5471.66535
2016-05-13,5817.85449,,,5334.15709
2016-05-20,6147.31402,,,5641.85651
2016-05-27,5526.10877,,,5627.17126
2016-06-03,5432.43968,,,6077.43074
2016-06-10,5194.93731,,,5621.158
2016-06-17,5471.0665,,,6553.52931
2016-06-24,5364.40284,,,5814.43358
2016-07-01,5463.6689,,,5911.44179
2016-07-08,6726.4819,,,6815.59791
2016-07-15,7221.11953,,,6623.10088
2016-07-22,7556.2478,,,6816.25202
2016-07-29,6616.91454,,,6665.58486
2016-08-05,6186.31073,,,5991.64905
