Date,Suez Canal Transits Total Deep Sea Cargo No/week [11278847],Suez Canal Transits Total Crude Tanker No/week [11278869],Gulf of Aden Transits Total Deep Sea Cargo No/week [551286],Strait of Hormuz Transits Total Crude Tanker No/week [12792857]
2016-01-01,23,3,,
2016-01-08,164,16,,
2016-01-15,185,17,,
2016-01-22,173,17,,
2016-01-29,199,26,,
2016-02-05,191,15,,
2016-02-12,200,23,,
2016-02-19,192,17,,
2016-02-26,196,13,,
2016-03-04,171,16,,
2016-03-11,187,18,,
2016-03-18,174,15,,
2016-03-25,187,16,,
2016-04-01,166,20,,
2016-04-08,169,16,,
2016-04-15,174,18,,
2016-04-22,181,10,,
2016-04-29,170,16,,
2016-05-06,191,16,,
2016-05-13,194,14,,
2016-05-20,178,15,,
2016-05-27,173,14,,
2016-06-03,189,20,,
2016-06-10,186,22,,
2016-06-17,182,15,,
2016-06-24,159,11,,
2016-07-01,197,23,,
2016-07-08,187,19,,
2016-07-15,189,19,,
2016-07-22,191,15,,
2016-07-29,194,14,,
2016-08-05,197,24,,
2016-08-12,193,22,,
2016-08-19,196,20,,
2016-08-26,191,9,,
2016-09-02,203,18,,
2016-09-09,183,24,,
2016-09-16,203,21,,
2016-09-23,190,16,,
2016-09-30,178,21,,
2016-10-07,185,22,,
2016-10-14,190,22,,
2016-10-21,175,11,,
2016-10-28,192,21,,
2016-11-04,173,18,,
2016-11-11,190,16,,
2016-11-18,178,18,,
2016-11-25,175,19,,
2016-12-02,197,27,,
2016-12-09,183,27,,
2016-12-16,177,13,,
2016-12-23,182,18,,
2016-12-30,201,24,,
2017-01-06,193,26,,
2017-01-13,168,13,,
2017-01-20,178,23,,
2017-01-27,178,22,,
2017-02-03,181,19,,
2017-02-10,168,21,,
2017-02-17,183,16,,
2017-02-24,193,24,,
2017-03-03,201,29,,
2017-03-10,187,24,,
2017-03-17,195,22,,
2017-03-24,187,17,,
2017-03-31,208,27,,
2017-04-07,200,20,,
2017-04-14,190,20,,
2017-04-21,222,27,,
2017-04-28,184,17,,
2017-05-05,200,20,,
2017-05-12,187,24,,
2017-05-19,193,17,,
2017-05-26,189,21,,
2017-06-02,203,29,,
2017-06-09,197,25,,
2017-06-16,194,19,,
2017-06-23,206,19,,
2017-06-30,192,17,,
2017-07-07,190,18,,
2017-07-14,194,21,,
2017-07-21,204,23,,
2017-07-28,203,19,,
2017-08-04,205,18,,
2017-08-11,199,16,,
2017-08-18,213,19,,
2017-08-25,208,15,,
2017-09-01,221,30,,
2017-09-08,211,20,,
2017-09-15,212,19,,
2017-09-22,201,21,,
2017-09-29,209,15,,
2017-10-06,203,26,,
2017-10-13,208,17,,
2017-10-20,227,23,,
2017-10-27,213,19,,
2017-11-03,192,22,,
2017-11-10,204,21,,
2017-11-17,216,20,,
2017-11-24,222,27,,
2017-12-01,226,14,,
2017-12-08,208,28,,
2017-12-15,221,31,,
2017-12-22,203,14,,
2017-12-29,202,19,,
2018-01-05,198,18,,
2018-01-12,192,14,,
2018-01-19,209,22,,
2018-01-26,203,23,,
2018-02-02,208,20,,
2018-02-09,198,17,,
2018-02-16,205,15,,
2018-02-23,208,26,,
2018-03-02,204,19,,
2018-03-09,206,19,,
2018-03-16,204,17,,
2018-03-23,192,18,,
2018-03-30,193,21,,
2018-04-06,214,25,,
2018-04-13,212,27,,
2018-04-20,200,20,,
2018-04-27,193,17,,
2018-05-04,223,30,,
2018-05-11,223,21,,
2018-05-18,226,30,,
2018-05-25,212,19,,
2018-06-01,215,35,,
2018-06-08,219,22,,
2018-06-15,230,40,,
2018-06-22,211,19,,
2018-06-29,231,17,,
2018-07-06,213,20,,
2018-07-13,237,31,,
2018-07-20,229,22,,
2018-07-27,224,26,,
2018-08-03,228,22,,
2018-08-10,241,33,,
2018-08-17,225,25,,
2018-08-24,211,19,,
2018-08-31,232,26,,
2018-09-07,214,33,,
2018-09-14,238,34,,
2018-09-21,201,23,,
2018-09-28,224,40,,
2018-10-05,215,23,,
2018-10-12,231,28,,
2018-10-19,216,35,,
2018-10-26,219,27,,
2018-11-02,233,38,,
2018-11-09,219,30,,
2018-11-16,237,34,,
2018-11-23,228,35,,
2018-11-30,207,29,,
2018-12-07,213,33,,
2018-12-14,230,28,,
2018-12-21,207,25,,
2018-12-28,211,26,,
2019-01-04,225,21,,
2019-01-11,212,22,,
2019-01-18,189,23,,
2019-01-25,209,26,,
2019-02-01,214,21,,
2019-02-08,234,34,,
2019-02-15,216,27,,
2019-02-22,223,21,,
2019-03-01,218,21,,
2019-03-08,227,29,,
2019-03-15,219,31,,
2019-03-22,196,20,,
2019-03-29,221,30,,
2019-04-05,212,28,,
2019-04-12,223,30,,
2019-04-19,229,21,,
2019-04-26,205,26,,
2019-05-03,226,30,,
2019-05-10,206,23,,
2019-05-17,230,29,,
2019-05-24,225,27,,
2019-05-31,222,15,,
2019-06-07,212,32,,
2019-06-14,229,28,,
2019-06-21,196,17,,
2019-06-28,224,27,,
2019-07-05,203,19,,
2019-07-12,237,27,,
2019-07-19,233,26,,
2019-07-26,224,22,,
2019-08-02,257,36,,
2019-08-09,221,24,,
2019-08-16,221,24,,
2019-08-23,213,21,,
2019-08-30,240,24,,
2019-09-06,235,28,,
2019-09-13,238,33,,
2019-09-20,212,26,,
2019-09-27,215,30,,
2019-10-04,218,19,,
2019-10-11,236,28,,
2019-10-18,228,33,,
2019-10-25,244,36,,
2019-11-01,244,31,,
2019-11-08,227,34,,
2019-11-15,226,30,,
2019-11-22,226,33,,
2019-11-29,238,51,,
2019-12-06,238,39,,
2019-12-13,233,36,,
2019-12-20,231,38,,
2019-12-27,218,31,,
2020-01-03,243,33,,
2020-01-10,242,24,,
2020-01-17,240,43,,
2020-01-24,214,39,,
2020-01-31,236,34,,
2020-02-07,232,33,,
2020-02-14,236,38,,
2020-02-21,204,42,,
2020-02-28,240,40,,
2020-03-06,208,26,,
2020-03-13,226,37,,
2020-03-20,252,31,,
2020-03-27,229,32,,
2020-04-03,234,29,,
2020-04-10,256,40,,
2020-04-17,240,33,,
2020-04-24,258,42,,
2020-05-01,224,36,,
2020-05-08,242,46,,
2020-05-15,210,30,,
2020-05-22,223,34,,
2020-05-29,188,26,,
2020-06-05,207,32,,
2020-06-12,171,12,,
2020-06-19,178,21,,
2020-06-26,165,23,,
2020-07-03,184,19,,
2020-07-10,166,12,,
2020-07-17,192,14,,
2020-07-24,183,20,,
2020-07-31,201,14,,
2020-08-07,194,19,,
2020-08-14,170,14,,
2020-08-21,221,26,,
2020-08-28,221,16,,
2020-09-04,213,23,,
2020-09-11,211,18,,
2020-09-18,207,15,,
2020-09-25,197,16,,
2020-10-02,196,18,,
2020-10-09,229,25,,
2020-10-16,208,21,,
2020-10-23,211,18,,
2020-10-30,237,30,,
2020-11-06,210,23,,
2020-11-13,224,18,,
2020-11-20,233,28,,
2020-11-27,237,21,,
2020-12-04,243,40,,
2020-12-11,234,36,,
2020-12-18,220,23,,
2020-12-25,234,25,,
2021-01-01,226,20,,
2021-01-08,229,31,,
2021-01-15,231,29,,
2021-01-22,221,24,,
2021-01-29,221,20,,
2021-02-05,239,24,,
2021-02-12,226,23,,
2021-02-19,225,26,,
2021-02-26,258,38,,
2021-03-05,238,28,,
2021-03-12,244,24,,
2021-03-19,225,25,,
2021-03-26,114,16,,
2021-04-02,187,27,,
2021-04-09,318,36,,
2021-04-16,216,16,,
2021-04-23,228,28,,
2021-04-30,211,19,,
2021-05-07,233,28,,
2021-05-14,230,20,,
2021-05-21,230,31,,
2021-05-28,231,16,,
2021-06-04,206,19,,
2021-06-11,217,18,,
2021-06-18,218,28,,
2021-06-25,218,16,,
2021-07-02,236,23,,
2021-07-09,209,28,,
2021-07-16,233,20,,
2021-07-23,235,26,,
2021-07-30,259,20,,
2021-08-06,237,20,,
2021-08-13,255,23,,
2021-08-20,258,24,,
2021-08-27,255,18,,
2021-09-03,267,17,,
2021-09-10,272,18,,
2021-09-17,260,24,,
2021-09-24,266,19,,
2021-10-01,265,29,,
2021-10-08,254,20,,
2021-10-15,249,25,,
2021-10-22,278,34,,
2021-10-29,240,17,,
2021-11-05,251,30,,
2021-11-12,231,26,,
2021-11-19,282,25,,
2021-11-26,275,23,,
2021-12-03,259,20,,
2021-12-10,274,18,,
2021-12-17,242,18,,
2021-12-24,263,32,,
2021-12-31,240,20,,
2022-01-07,240,18,,
2022-01-14,220,19,252,
2022-01-21,242,21,271,
2022-01-28,250,23,263,
2022-02-04,238,15,290,
2022-02-11,248,21,281,
2022-02-18,247,26,262,
2022-02-25,247,15,257,
2022-03-04,247,30,270,
2022-03-11,239,26,279,
2022-03-18,232,24,265,
2022-03-25,215,27,269,
2022-04-01,264,34,266,
2022-04-08,242,32,274,
2022-04-15,260,25,259,
2022-04-22,259,42,303,
2022-04-29,265,41,255,
2022-05-06,236,31,302,
2022-05-13,277,41,273,
2022-05-20,264,43,275,
2022-05-27,266,44,290,
2022-06-03,248,34,277,
2022-06-10,271,33,280,
2022-06-17,261,35,287,
2022-06-24,278,51,297,
2022-07-01,296,53,287,
2022-07-08,282,39,291,
2022-07-15,285,45,327,
2022-07-22,278,53,304,
2022-07-29,316,46,315,
2022-08-05,293,58,321,
2022-08-12,312,46,302,
2022-08-19,293,48,325,
2022-08-26,317,49,313,
2022-09-02,288,46,333,
2022-09-09,297,47,312,
2022-09-16,298,36,297,
2022-09-23,300,49,313,
2022-09-30,281,46,325,
2022-10-07,293,34,315,
2022-10-14,302,46,314,
2022-10-21,305,55,323,
2022-10-28,299,51,308,
2022-11-04,314,40,323,
2022-11-11,315,57,330,
2022-11-18,303,39,319,
2022-11-25,290,57,325,
2022-12-02,304,49,341,
2022-12-09,317,55,302,
2022-12-16,290,50,320,
2022-12-23,312,62,316,
2022-12-30,303,40,334,
2023-01-06,298,48,354,
2023-01-13,307,65,308,
2023-01-20,307,65,334,
2023-01-27,311,54,331,
2023-02-03,316,60,320,
2023-02-10,308,60,346,
2023-02-17,307,56,312,
2023-02-24,319,62,330,
2023-03-03,282,53,322,
2023-03-10,332,68,313,
2023-03-17,333,61,345,
2023-03-24,340,63,347,
2023-03-31,306,64,341,
2023-04-07,313,58,321,
2023-04-14,317,52,328,
2023-04-21,358,65,342,
2023-04-28,354,62,379,
2023-05-05,349,61,340,
2023-05-12,336,61,345,
2023-05-19,351,70,359,
2023-05-26,337,62,368,
2023-06-02,331,59,336,
2023-06-09,327,70,350,
2023-06-16,322,61,305,
2023-06-23,336,60,348,
2023-06-30,312,49,346,
2023-07-07,314,67,332,
2023-07-14,317,64,322,
2023-07-21,333,70,341,
2023-07-28,307,53,295,
2023-08-04,303,42,339,
2023-08-11,314,50,318,
2023-08-18,326,53,340,
2023-08-25,312,57,352,
2023-09-01,313,42,334,
2023-09-08,331,55,342,
2023-09-15,330,61,325,
2023-09-22,287,48,341,
2023-09-29,326,58,320,
2023-10-06,323,52,335,
2023-10-13,318,46,341,
2023-10-20,311,70,353,
2023-10-27,332,53,346,
2023-11-03,321,47,346,
2023-11-10,336,62,342,
2023-11-17,342,63,328,
2023-11-24,328,61,350,
2023-12-01,323,54,360,
2023-12-08,309,45,367,
2023-12-15,324,51,342,
2023-12-22,296,55,258,
2023-12-29,223,51,230,
2024-01-05,199,56,215,142
2024-01-12,179,37,203,132
2024-01-19,189,54,157,124
2024-01-26,137,40,150,129
2024-02-02,133,32,120,135
2024-02-09,128,33,109,139
2024-02-16,135,46,123,155
2024-02-23,152,48,142,125
2024-03-01,150,48,138,131
2024-03-08,117,35,127,131
2024-03-15,135,41,109,146
2024-03-22,119,47,106,142
2024-03-29,129,39,137,138
2024-04-05,146,46,110,139
2024-04-12,133,45,128,138
2024-04-19,134,37,114,133
2024-04-26,142,46,108,129
2024-05-03,119,37,137,118
2024-05-10,137,54,109,132
2024-05-17,139,45,117,130
2024-05-24,141,51,134,137
2024-05-31,119,40,106,137
2024-06-07,119,38,88,133
2024-06-14,133,35,106,138
2024-06-21,119,47,117,119
2024-06-28,113,41,110,125
2024-07-05,132,42,104,124
2024-07-12,110,40,116,130
2024-07-19,122,38,106,139
2024-07-26,129,35,109,123
2024-08-02,132,44,102,137
2024-08-09,123,44,103,130
2024-08-16,142,53,119,140
2024-08-23,149,45,106,134
2024-08-30,113,36,108,139
2024-09-06,118,40,94,127
2024-09-13,95,33,92,136
2024-09-20,131,47,96,124
2024-09-27,137,47,101,136
2024-10-04,124,42,101,131
2024-10-11,108,40,97,147
2024-10-18,106,38,97,144
2024-10-25,108,39,87,122
2024-11-01,115,39,89,121
2024-11-08,113,35,106,141
2024-11-15,116,42,95,123
2024-11-22,98,39,100,139
2024-11-29,110,35,88,121
2024-12-06,113,45,111,144
2024-12-13,118,30,82,135
2024-12-20,106,37,110,116
2024-12-27,107,37,91,128
2025-01-03,94,34,92,120
2025-01-10,98,28,89,130
2025-01-17,123,39,96,133
2025-01-24,106,35,91,139
2025-01-31,126,32,105,132
2025-02-07,80,22,92,138
2025-02-14,118,35,85,140
2025-02-21,115,39,106,121
2025-02-28,102,31,97,129
2025-03-07,116,42,97,131
2025-03-14,120,41,101,138
2025-03-21,117,38,112,122
2025-03-28,131,37,95,126
2025-04-04,127,40,106,148
2025-04-11,119,39,121,132
2025-04-18,129,45,101,123
2025-04-25,110,31,101,136
2025-05-02,121,36,106,140
2025-05-09,110,33,100,126
2025-05-16,120,40,99,140
2025-05-23,118,48,93,136
2025-05-30,116,31,105,119
2025-06-06,110,32,99,147
2025-06-13,122,37,122,133
2025-06-20,115,36,95,140
2025-06-27,121,42,105,127
2025-07-04,123,44,94,141
2025-07-11,132,47,118,128
2025-07-18,111,24,93,121
2025-07-25,132,34,98,119
2025-08-01,133,32,98,129
2025-08-08,121,38,117,143
2025-08-15,130,34,125,133
2025-08-22,130,40,85,132
2025-08-29,119,41,113,123
2025-09-05,133,32,117,142
2025-09-12,139,45,103,129
2025-09-19,138,37,106,130
2025-09-26,142,30,113,132
2025-10-03,139,48,116,128
2025-10-10,116,33,118,136
2025-10-17,148,43,122,143
2025-10-24,130,31,134,136
2025-10-31,138,37,103,125
2025-11-07,145,45,138,132
2025-11-14,147,38,136,145
2025-11-21,136,39,128,142
2025-11-28,135,36,130,133
2025-12-05,133,39,127,137
2025-12-12,149,43,113,126
2025-12-19,146,48,135,125
2025-12-26,147,47,114,142
2026-01-02,121,33,133,131
2026-01-09,132,35,117,135
2026-01-16,120,32,129,136
2026-01-23,134,37,108,133
2026-01-30,144,36,117,144
2026-02-06,123,34,123,132
2026-02-13,164,52,139,139
2026-02-20,143,39,150,151
2026-02-27,149,35,147,130
2026-03-06,153,33,128,22
2026-03-13,124,41,149,6
2026-03-20,147,51,165,2
2026-03-27,153,50,172,2
2026-04-03,167,58,168,9
