Date,World Seaborne Iron Ore Trade Mt [98794],Iron Ore Bn Tonne-Miles [534399],World Seaborne Minor Bulk Trade Mt [98800],Minor Bulk Bn Tonne-Miles [534401]
1990-01-01,355.77076,1864.38473,775.73204,
1991-01-01,362.82694,1892.66155,762.7746,
1992-01-01,342.62414,1787.09477,777.00038,
1993-01-01,358.29342,1886.06363,796.22766,
1994-01-01,383.20418,2040.64355,857.71387,
1995-01-01,404.21005,2155.63594,904.19473,
1996-01-01,391.74485,2099.08231,928.51942,
1997-01-01,426.22751,2303.61794,985.8892,
1998-01-01,423.02043,2173.54459,1012.9097,
1999-01-01,398.75686,2122.4797,1093.15084,5496.34216
2000-01-01,446.81164,2369.84895,1155.54266,5788.76676
2001-01-01,449.26922,2466.0928,1169.33616,5737.51002
2002-01-01,478.14472,2606.97976,1232.05743,6044.807
2003-01-01,513.91602,2809.73416,1307.11845,6488.83515
2004-01-01,589.32591,3309.71118,1425.43377,6915.00821
2005-01-01,655.98406,3700.73347,1512.87251,7142.87308
2006-01-01,708.71285,4082.66337,1589.67023,7939.85792
2007-01-01,777.55302,4568.47648,1720.7305,8621.21282
2008-01-01,842.3074,4860.75468,1688.84007,8379.12156
2009-01-01,918.16266,5610.48996,1474.70405,7573.33132
2010-01-01,992.74071,5917.89607,1675.51533,8377.74279
2011-01-01,1055.48442,6433.44151,1793.91058,9027.38044
2012-01-01,1113.21169,6810.89255,1845.14444,9208.39734
2013-01-01,1190.81981,7067.18084,1923.8298,9423.13106
2014-01-01,1344.59378,7761.67321,1969.985,9984.31496
2015-01-01,1358.80491,7750.42564,2016.71121,10267.98241
2016-01-01,1424.56363,8108.13813,2007.59509,10505.3215
2017-01-01,1478.65892,8345.57535,2083.32303,11150.65109
2018-01-01,1479.59216,8318.98268,2175.15734,11694.95986
2019-01-01,1458.09697,8134.91058,2198.73888,11793.12283
2020-01-01,1507.22345,8572.60393,2155.98806,11783.65828
2021-01-01,1520.76899,8627.51548,2278.40603,12537.97032
2022-01-01,1477.03425,8318.3216,2209.57401,12679.55558
2023-01-01,1546.01034,8838.70748,2241.56375,13175.95858
2024-01-01,1603.28212,9450.53955,2327.46066,13794.75229
2025-01-01,1638.80267,9751.86302,2427.18947,14508.24725
2026-01-01,1678.32386,10027.83477,2493.84346,14919.60262
2027-01-01,1704.91688,10346.30713,2545.48418,15241.99492
